ID	TITLE	CREATOR	FORMAT	PUBLICATION DATES	CONTRIBUTORS	PUBLICATION	PHYSICAL DETAILS	ISBNS	OCLC	SERIES	ISSNS	PRECEDING TITLES	SUCCEEDING TITLES	CREDITS	CARTOGRAPHIC DATA	FINDING AIDS
37	How to do your research project : a guide for students in education and applied social sciences	Gary Thomas	Books			Los Angeles : SAGE Publications, 2009.		1847874428, 9781847874429, 9781847874436, 1847874436	ocn401159535							
38	Practical finite element modeling in earth science using Matlab	Guy Simpson	Books			Chichester, UK ; Hoboken, NJ : John Wiley & Sons, 2017.		9781119248651, 1119248655, 9781119248644, 1119248647, 9781119248668, 1119248663, 9781119248620	ocn973733540							
39	Modeling complex data for creating information	J.-E. Dubois, N. Gershon (eds.)	Books		Dubois, J. E. (Jacques-Emile), 1920-,Gershon, Nahum,	Berlin ; New York : Springer ; Paris : CODATA, ©1996.		9783642801990, 3642801994, 3540610693, 9783540610694, 9783642802010, 364280201X	ocn680620872	Data and knowledge in a changing world,						
40	Data on federal research and development investments a pathway to modernization	Panel on Modernizing the Infrastructure of the National Science Foundation Federal Funds Survey, Committee on National Statistics, Division of Behavioral and Social Sciences and Education, National Research Council of the National Academies	Books		Council, National Research,	Washington, D.C. : National Academies Press, c2010.		1282554468, 9786612554469, 0309145244								
41	Information processing systems for management	Donna Hussain, K.M. Hussain	Books		Hussain, Khateeb M., 1924-,	Homewood, Ill. : R.D. Irwin, 1981.		9780256024821, 0256024820	ocm07511300	Irwin series in information and decision sciences,						
42	State of the data union	NASA Office of Space Science and Applications	Journals, Magazines, Newspapers	1992-	United States. Office of Space Science and Applications. Information Systems Branch,United States. Office of Space Science. Information Systems Branch,	[Washington, D.C.] : National Aeronautics and Space Administration, Office of Space Science and Applications, Information Systems Branch, [1993?-]			ocm31999946	NASA technical memorandum,						
43	Location privacy protection in mobile networks	by Xinxin Liu, Xiaolin Li	Books		Li, Xiaolin, author,	New York : Springer, 2013.		146149074X, 9781461490746, 9781461490739	ocn863056260	SpringerBriefs in computer science,						
44	Survey of social science computing systems.	Edmund D. Meyers, Jr	Books		Project IMPRESS,	Hanover, N.H. : Project IMPRESS, Dartmouth College, 1969.			ocm00847328							
45	Predictive modeling applications in actuarial science	edited by Edward W. Frees, University of Wisconsin, Madison, Richard A. Derrig, Opal Consulting LLC, Providence, Rhode Island, Glenn Meyers, ISO Innovative Analytics, Jersey City, New Jersey	Books		Frees, Edward W,Derrig, Richard A,Meyers, Glenn,	New York : Cambridge University Press, 2014-		9781107029873, 1107029872, 1139989995, 9781139989992	ocn873724352	International series on actuarial science,						
46	Computer programming in basic	Joseph P. Pavlovich [and] Thomas E. Tahan	Books		Tahan, Thomas E.,	[San Francisco] : [Holden-Day], [1971]		9780816266531, 0816266530	ocm00156805	Holden-Day computer and information sciences series,						
47	Fourth generation data : a guide to data analysis for new and old systems	Dan Tasker	Books			New York : Prentice Hall, [1989] ©1989		9780133295580, 0133295583, 9780724804313, 0724804315	ocm18222869							
48	Spatial data in geographic information system format on agricultural chemical use, land use, cropping practices in United States	by William A. Battaglin and Donald A. Goolsby ; prepared in cooperation with the U.S. Environmental Protection Agency	Books		Goolsby, D. A,United States. Environmental Protection Agency,Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	Denver, Colo. : U.S. Dept. of the Interior, U.S. Geological Survey ; Denver, CO : Earth Science Information Center, Open-File Reports Section [distributor], 1995.			ocm32286879	Water-resources investigations report ; 94-4176,						
49	Improving measures of science, technology, and innovation interim report	Panel on Developing Science, Technology, and Innovation Indicators for the Future, Robert E. Litan, Andrew W. Wyckoff and Kaye Husbands Fealing, editors ; National Research Council of the National Academies	Books		Litan, Robert E., 1950-,Wyckoff, Andrew W,Fealing, Kaye Husbands,National Research Council (U.S.),National Academies of Sciences, Engineering, and Medicine (U.S.),	Washington, D.C. : National Academies Press, 2012.		1280123532, 9786613527394, 030925390X								
50	Atmospheric science (AS) and ocean science (OS)	[editors], Chun-Chieh Wu, Jianping Gan	Books		Wu, Chun-Chieh,Gan, Jianping,	Singapore ; Hackensack, NJ : World Scientific, c2012.		9781283850797, 1283850796, 9789814405683, 981440568X	ocn821180516	Advances in geosciences ; v. 28,						
51	Apollo 13 photographic data package		Books			Greenbelt, Md., [publisher not identified], 1970.			ocm00155489	NSSDC ; 70-18,						
52	Biological and medical data analysis : 7th international symposium, ISBMDA 2006, Thessaloniki, Greece, December 7-8, 2006 : proceedings	Nicos Maglaveras ... [and others] (eds.)	Books		Maglaveras, N. (Nicos),	Berlin ; New York : Springer, [2006] ©2006		3540680632, 9783540680635	ocm77565115	Lecture notes in computer science ; 4345,Lecture notes in computer science. Lecture notes in bioinformatics,LNCS sublibrary. Bioinformatics,						
53	Algorithmic aspects of cloud computing : first International Workshop, ALGOCLOUD 2015, Patras, Greece, September 14-15, 2015. Revised selected papers	Ioannis Karydis, Spyros Sioutas, Peter Triantafillou, Dimitrios Tsoumakos (eds.)	Books		Karydis, Ioannis, editor,Sioutas, Spyros, editor,Triantafillou, Peter, 1963- editor,Tsoumakos, Dimitrios, editor,	Cham : Springer, 2016.		9783319299198, 3319299190, 9783319299181	ocn942003147	Lecture notes in computer science ; 9511,LNCS sublibrary. Theoretical computer science and general issues,						
54	Empirical research and writing : a political science student's practical guide	Leanne C. Powner	Books			Thousand Oaks, California : CQ Press, an imprint of SAGE, [2015] ©2015		9781483369631, 1483369633, 9781483370651, 1483370658	ocn898157448							
55	The new science of metagenomics : revealing the secrets of our microbial planet	Committee On Metagenomics: Challenges and Functional Applications, Board on Life Sciences, Division on Earth and Life Studies, National Research Council of the National Academies	Books			Washington, D.C. : National Academies Press, [2007] ©2007		9780309106771, 030910677X, 0309106761, 9780309106764	ocn182530929							
56	Knowledge science, engineering and management : 7th International Conference, KSEM 2014, Sibiu, Romania, October 16-18, 2014, proceedings	Robert Buchmann, Claudiu Vasile Kifor, Jian Yu (eds.)	Books		Buchmann, Robert, editor,Kifor, Claudiu Vasile, editor,Yu, Jian, editor,	Cham : Springer, 2014.		3319120964, 9783319120966, 9783319120959	ocn893857334	Lecture notes in computer science ; 8793,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,						
57	Electronic payment systems	Donal O'Mahony, Michael Peirce, Hitesh Tewari	Books		Peirce, M. A. (Michael A.),Tewari, Hitesh,	Boston, MA : Artech House, [1997] ©1997		9780890069257, 0890069255	ocm36621773	Artech House computer science library,						
58	Visual data exploration and analysis IV : 12-13 February, 1997, San Jose, California	Georges G. Grinstein, Robert F. Erbacher, chairs/editors ; sponsored by IS&T--the Society for Imaging Science and Technology, SPIE--the International Society for Optical Engineering	Books		Grinstein, Georges G,Erbacher, Robert F,IS & T--the Society for Imaging Science and Technology,Society of Photo-optical Instrumentation Engineers,Society of Photographic Instrumentation Engineers,SPIE (Society),	Bellingham, Washington : SPIE, [1997] ©1997		9780819424280, 0819424285	ocm36817711	Proceedings of SPIE--the International Society for Optical Engineering ; v. 3017,						
59	Statistics and data analysis in geochemical prospecting	edited by R.J. Howarth	Books		Howarth, Richard J. (Richard John),	Amsterdam ; New York : Elsevier Scientific Pub. Co. ; New York, N.Y. : Distributors for the United States and Canada, Elsevier Science Pub. Co., 1983.		9780444420381, 044442038X	ocm08132123	Handbook of exploration geochemistry ; v. 2,						
60	A VLSI architecture for concurrent data structures	by William J. Dally	Books			Boston : Kluwer Academic, [1987] ©1987		9780898382358, 0898382351	ocm15860352	Kluwer international series in engineering and computer science ; SECS 27,Kluwer international series in engineering and computer science. VLSI, computer architecture, and digital signal processing,						
61	Learning disabilities sourcebook : basic information about disorders such as dyslexia, visual and auditory processing deficits, attention deficit/hyperactivity disorder, and autism, along with statistical and demographic data, reports on current research initiatives, an explanation of the assessment process, and a special section for adults with learning disabilities	edited by Linda M. Shin	Books		Shin, Linda M,	Detroit, MI : Omnigraphics, [1998] ©1998		9780780802100, 0780802101	ocm38120680	Health reference series; v. 33,						
62	High priority research and data needs : interim functional step four	the Center for the Environment & Man, inc. ; Philip B. Cheney	Books		Cheney, Philip B,Nassau-Suffolk Regional Planning Board. Marine Resources Council,	Hartford, Conn. : The Center, 1970.			ocm06238873							
63	USGS integrated drought science	by Andrea C. Ostroff [and six others]	Books		Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	Reston, Virginia : U.S. Department of the Interior, U.S. Geological Survey, 2017.			ocn991595929	U.S. Geological Survey circular ; 1430,						
64	Hydrogeologic data for the northern Rocky Mountains intermontane basins, Montana	by DeAnn M. Dutton ... [and others]	Books		Dutton, DeAnn M,Geological Survey (U.S.),Geographical and Geological Survey of the Rocky Mountain Region (U.S.),Geographical Surveys West of the 100th Meridian (U.S.),Geological and Geographical Survey of the Territories (U.S.),United States. Department of the Interior,	Helena, Mont. : U.S. Dept. of the Interior, U.S. Geological Survey ; Denver, CO : Earth Science Information Center, Open-File Reports Section [distributor], [1995]			ocm36411019	U.S. Geological Survey open-file report ; 95-143,						
65	Access to research data in the 21st century an on going dialogue among interested parties : report of a workshop	Science, Technology, and Law Panel, Policy and Global Affairs, National Research Council	Books		National Academy of Sciences U.S., Policy and global Affairs Staff,Staff, National Research Council,	Washington, D.C. : National Academy Press, c2002.		1280184515, 9786610184514, 0309508398		Compass series,						
66	Error control, cryptology, and speech compression : Workshop on Information Protection, Moscow, Russia, December 6-9, 1993 : selected papers	Andrew Chmora, Stephen B. Wicker (eds.)	Books		Chmora, Andrew, 1958-,Wicker, Stephen B,	Berlin ; New York : Springer-Verlag, [1994] ©1994		9780387582658, 0387582657, 9783540582656, 3540582657	ocm30703629	Lecture notes in computer science ; 829,						
67	Preliminary compilation of data for retrospective world interval July 26-August 14, 1972	compiled by J. Virginia Lincoln and Hope I. Leighton ; prepared by World Data Center A for Solar-Terrestrial Physics, NOAA	Books		Lincoln, J. Virginia, compiler,Leighton, Hope I., compiler,United States. Environmental Science Services Administration. Research Laboratories,Environmental Research Laboratories (U.S.),	Asheville, N.C. : U.S. Department of Commerce, National Oceanic and Atmospheric Administration, Environmental Data Service, 1972.			ocn704460902	Report UAG ; 21,						
68	The Mathematical Sciences' Role in Homeland Security : Proceedings of a Workshop	Board on Mathematical Sciences and Their Applications, Division on Engineering and Physical Sciences, National Research Council of the National Academies	Books		National Research Council (U.S.). Board on Mathematical Sciences and Their Applications,National Research Council (U.S.). Board on Mathematical Sciences,National Academies of Sciences, Engineering, and Medicine (U.S.). Board on Mathematical Sciences and Their Applications,	Washington, D.C. : National Academies Press, [2004] ©2004		0309531497, 9780309531498, 0309090350, 9780309090353	ocm55638042							
69	Stopping short? : evidence on contributions to long-term savings from aggregate and micro data	by Sarah Smith	Books		Suntory and Toyota International Centres for Economics and Related Disciplines,London School of Economics and Political Science. Financial Markets Group,Suntory-Toyota International Centre for Economics and Related Disciplines,	London : London School of Economics and Political Science, 2004.			ocm55133784	LSE Financial Markets Group discussion paper series ; no. 485,LSE Financial Markets Group discussion paper series. UBS paper ; 021,						
70	The interpretation of science; selected essays.	Edited, with an introd., by A.H. Johnson	Books			Indianapolis : Bobbs-Merrill, [1961]			ocm00526501	Library of liberal arts; no. 117,						
71	Nuclear data in science and technology; proceedings of the Symposium on Applications of Nuclear Data in Science and Technology held by the International Atomic Energy Agency in Paris, 12-16 March 1973		Books		International Atomic Energy Agency,	Vienna : International Atomic Energy Agency [sold in the U.S. by UNIPUB, inc., New York], 1973.			ocm00842291	Proceedings series (International Atomic Energy Agency) ; 343,						
72	SPSS 15.0 guide to data analysis	Marija J. Norušis	Books		SPSS Inc,	Upper Saddle River, N.J. : Prentice Hall, 2006.		0131593897, 9780131593893	ocm85847804							
73	Marine science contents tables. Actualités des sciences de la mer. Indices de revistas sobre ciencias marinas		Journals, Magazines, Newspapers	Vol. 3 (1968)-v. 31, no. 5/6 (1996)	Food and Agriculture Organization of the United Nations. Fishery Resources and Environment Division. Research Information Unit,Food and Agriculture Organization of the United Nations. Fishery Information, Data, and Statistics Service,Food and Agriculture Organization of the United Nations. Fishery Information, Data and Statistics Unit,Food and Agriculture Organization of the United Nations. Fisheries Department,	[Rome] : Food and Agriculture Organization of the United Nations.			ocm01714356		0025-3308	Current contents in marine sciences,				
74	Patient adherence to medical treatment regimens : bridging the gap between behavioral science and biomedicine	Alan J. Christensen	Books			New Haven, CT : Yale University Press, [2004] ©2004		9780300103496, 0300103492	ocm54415443	Current perspectives in psychology,						
75	U.S. and Soviet Progress in Space : Summary Data Through 1979 and a Forward Look		Books			[Place of publication not identified] : [publisher not identified], 1980.										
76	Environmental studies of Port Valdez. Data volume.	Edited by D. W. Hood, W. E. Shiels and E. J. Kelley	Books		Hood, D. W. (Donald Wilbur), 1918- editor,Shiels, W. E., editor,Kelley, E. J. (Eleanor Johnson), 1936- editor,	Fairbanks, [publisher not identified], 1973-			ocm01253079	Occasional publication ; no. 3A,						
77	Bibliographic data useful in the study of marine algae	[Harold J. Humm]	Books			Gloucester Point, Va. : Virginia Institute of Marine Science, 1962.			ocm00042255	Special scientific report (Virginia Institute of Marine Science) ; no. 29,						
78	Climatological data. West Indies and Caribbean		Journals, Magazines, Newspapers	Vol. 1, no. 1 (Jan. 1921)-		Asheville [N.C.] : Environmental Science Services Administration, Environmental Data Service.			ocm01490924							
79	Doing data science	Rachel Schutt and Cathy O'Neil	Books		O'Neil, Cathy, author,	First edition. Sebastopol, CA : O'Reilly Media, 2013.		1449358659, 9781449358655	ocn827841776							
80	Data evaluation theory and practice for materials properties	Ronald G. Munro	Books		National Institute of Standards and Technology (U.S.),United States. National Bureau of Standards,United States. Department of Commerce. Technology Administration,	[Gaithersburg, Md.] : U.S. Dept. of Commerce, Technology Administration, National Institute of Standards and Technology, [2003]			ocn646531737	NIST recommended practice guide,NIST special publication ; 960-11,						
81	Security assessment in vehicular networks	Suguo Du, Haojin Zhu	Books		Zhu, Haojin, 1980-,	New York, NY : Springer New York : Imprint: Springer, 2013.		9781461493570, 1461493579, 9781461493563	ocn862577738	SpringerBriefs in computer science,						
82	Data structures : management and storage		Books		United Nations. Statistical Commission,United Nations. Economic Commission for Europe,United Nations. Economic and Social Council,	New York : United Nations, 1973.			ocm00860089	Statistical standards and studies ; no. 28,						
