,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,label
60,247,a2738,b3422,"""New horizons in design science : broadening the research agenda : 10th International Conference, DESRIST 2015, Dublin, Ireland, May 20-22, 2015, proceedings""","""Brian Donnellan, Markus Helfert, Jim Kenneally, Debra VanderMeer, Marcus Rothenberger, Robert Winter (eds.)""","""Cham : Springer, 2015.""","""Books""",9783319187143,"""Lecture notes in computer science ; 9073,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""New horizons in design science : broadening the research agenda : 10th International Conference, DESRIST 2015, Dublin, Ireland, May 20-22, 2015, Proceedings  ""","""Donnellan, Brian,""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319187143,"""Lecture notes in computer science ; 9073. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xiv, 506 pages)""",1
167,713,a5139,b1241,"""Model and data engineering : 2nd International Conference, MEDI 2012, Poitiers, France, October 3-5, 2012. Proceedings""","""Alberto Abelló, Ladjel Bellatreche, Boualem Benatallah (eds.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642336096,"""Lecture notes in computer science ; 7602,LNCS sublibrary. Programming and software engineering,""","""nan""","""Model and data engineering : 2nd International Conference, MEDI 2012, Poitiers, France, October 3-5, 2012. Proceedings  ""","""AbellÃ³, Alberto. | Bellatreche, Ladjel, | Benatallah, Boualem.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642336096,"""Lecture notes in computer science ; 7602. LNCS sublibrary. SL 2, Programming and software engineering.""","""1 online resource.""",1
280,1224,a3357,b1121,"""Software and data technologies : 7th International Conference, ICSOFT 2012, Rome, Italy, July 24-27, 2012, revised selected papers""","""José Cordeiro, Slimane Hammoudi, Marten van Sinderen (eds.)""","""Berlin, Heidelberg : Springer Berlin Heidelberg : Imprint: Springer, 2013. ©2013""","""Books""",9783642454042,"""Communications in computer and information science ; 411,""","""nan""","""Software and data technologies : 7th International Conference, ICSOFT 2012, Rome, Italy, July 24-27, 2012, revised selected papers  ""","""Cordeiro, JosÃ©, | Hammoudi, Slimane, | Sinderen, Marten J. van,""","""Heidelberg""","""Electronic books.""",9783642454042,"""Communications in computer and information science ; 411. 1865-0929""","""1 online resource (xii, 219 pages)""",1
110,476,a4059,b6257,"""The role of scientific and technical data and information in the public domain : proceedings of a symposium""","""Julie M. Esanu and Paul F. Uhlir, editors ; Steering Committee on the Role of Scientific and Technical Data and Information in the Public Domain, Office of International Scientific and Technical Information Programs, Board on International Scientific Organizations, Policy and Global Affairs Division, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2003] ©2003""","""Books""",9780309088503,"""nan""","""nan""","""Cyber security : recovery and reconstitution of critical networks : hearing before the Federal Financial Management, Government Information, and International Security...""","""United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs. Subcommittee on Federal Financial Management, Government Information, and International Security.""","""Washington""","""nan""",9780160788727,"""United States. Congress. Senate. S. hrg. ; 109-893.""","""iv, 229 p. ; 24 cm.""",0
21,68,a4619,b928,"""Machine learning and data mining in pattern recognition : 7th international conference, MLDM 2011, New York, NY, USA, August 30-September 3, 2011 : proceedings""","""Petra Perner (ed.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642231995,"""Lecture notes in computer science ; 6871,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",0
29,118,a73,b687,"""Evaluation of environmental data for regulatory and impact assessment""","""S. Ramamoorthy and E. Baddaloo""","""Amsterdam ; Elsevier ; 1991. New York, NY : Distributors for the United States and Canada, Elsevier Science Pub. Co., 1991.""","""Books""",9780444885302,"""Studies in environmental science ; 41,""","""nan""","""Evaluation of environmental data for regulatory and impact assessment ""","""Ramamoorthy, S.""","""Amsterdam ; Elsevier ; 1991.""","""Electronic books.""",9780444885302,"""Studies in environmental science ; 41.""","""1 online resource (x, 466 p.)""",1
146,640,a4059,b260,"""The role of scientific and technical data and information in the public domain : proceedings of a symposium""","""Julie M. Esanu and Paul F. Uhlir, editors ; Steering Committee on the Role of Scientific and Technical Data and Information in the Public Domain, Office of International Scientific and Technical Information Programs, Board on International Scientific Organizations, Policy and Global Affairs Division, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2003] ©2003""","""Books""",9780309088503,"""nan""","""nan""","""Privacy and data security : protecting consumers in the modern world : hearing before the Committee on Commerce, Science, and Transportation, United States Senate, One Hundred...""","""United States. Congress. Senate. Committee on Commerce, Science, and Transportation.""","""Washington""","""nan""",9780160901225,"""United States. Congress. Senate. S. hrg. ; 112-152.""","""iv, 91 p. ; 24 cm.""",0
16,61,a235,b928,"""Machine learning and data mining in pattern recognition : first international workshop, MLDM'99, Leipzig, Germany, September 16-18, 1999 : proceedings""","""Petra Perner, Maria Petrou (eds.)""","""Berlin ; New York : Springer, [1999] ©1999""","""Books""",9783540665991,"""Lecture notes in computer science ; 1715,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",0
56,224,a2596,b3245,"""Financial cryptography and data security : 9th international conference, FC 2005, Roseau, the Commonwealth of Dominica, February 28-March 3, 2005 : revised papers""","""Andrew S. Patrick, Moti Yung (eds.)""","""Berlin ; New York : Springer, [2005] ©2005""","""Books""",9783540266563,"""Lecture notes in computer science. 3570,""","""nan""","""Information security and cryptology : 6th international conference, Inscrypt 2010, Shanghai, China, October 20-24, 2010 : revised selected papers  ""","""Lai, Xuejia. | Yung, Moti. | Lin, Dongdai.""","""Berlin ; Springer, Â©2011.""","""Electronic books. | Conference papers and proceedings.""",9783642215186,"""Lecture notes in computer science ; 6584. 0302-9743""","""1 online resource (xiv, 524 pages)""",0
75,308,a1876,b1198,"""Data management in grid and peer-to-peer systems : second international conference, Globe 2009, Linz, Austria, September 1-2, 2009 : proceedings""","""Abdelkader Hameurlain, A Min Tjoa (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642037153,"""Lecture notes in computer science ; 5697,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Database and Expert Systems Applications : 24th International Conference, DEXA 2013, Prague, Czech Republic, August 26-29, 2013 : proceedings. Part I  ""","""Decker, Hendrik, | LhotskÃ¡, Lenka, | Link, Sebastian, | Basl, Josef, | Tjoa, A. Min,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642402852,"""Lecture notes in computer science ; 8055. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xxiv, 465 pages)""",0
109,454,a5280,b6257,"""Computer aided innovation of new materials : proceedings of the First International Conference and Exhibition on Computer Applications to Materials Science and Engineering-CAMSE '90, Sunshine City, Ikebukuro, Tokyo, Japan, August 28-31, 1990""","""edited by Masao Doyama [and others] ; organized by the Organizing Committee of the First International Conference on Computer Applications to Materials Science and Engineering [and] the Nikkan Kogyo Shimbun, Ltd""","""Amsterdam ; North-Holland ; 1991. New York, N.Y., U.S.A. : Elsevier Science Pub. Co. [distributor], 1991.""","""Books""",9780444597335,"""nan""","""nan""","""Cyber security : recovery and reconstitution of critical networks : hearing before the Federal Financial Management, Government Information, and International Security...""","""United States. Congress. Senate. Committee on Homeland Security and Governmental Affairs. Subcommittee on Federal Financial Management, Government Information, and International Security.""","""Washington""","""nan""",9780160788727,"""United States. Congress. Senate. S. hrg. ; 109-893.""","""iv, 229 p. ; 24 cm.""",0
175,732,a3913,b2244,"""Transactions on computational science XVII""","""Marina L. Gavrilova, C. J. Kenneth Tan (eds.)""","""Berlin ; New York : Springer, [2013] ©2013""","""Books""",9783642358401,"""Lecture notes in computer science ; 7420,""","""nan""","""Transactions on computational science VIII ""","""Gavrilova, Marina L. | Tan, C. J. Kenneth""","""Berlin ; Springer, c2010.""","""Electronic books.""",9783642162367,"""Lecture notes in computer science ; 6260.""","""1 online resource (xiv, 166 p.)""",0
201,823,a4679,b730,"""Advances in intelligent data analysis VIII : 8th International Symposium on Intelligent Data Analysis, IDA 2009, Lyon, France, August 31-September 2, 2009 : proceedings""","""Niall M. Adams ... [and others] (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642039157,"""Lecture notes in computer science ; 5772,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Advances in intelligent data analysis IX : 9th international symposium, IDA 2010, Tucson, AZ, USA, May 19-21, 2010 : proceedings  ""","""Cohen, Paul R. | Adams, Niall M., | Berthold, M.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642130625,"""Lecture notes in computer science ; 6065. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xiii, 260 p.)""",0
161,705,a5485,b1449,"""Information security and privacy : 7th Australasian Conference, ACISP 2002, Melbourne, Australia, July 3-5, 2002 : proceedings""","""Lynn Batten, Jennifer Seberry (eds.)""","""Berlin ; New York : Springer, [2002] ©2002""","""Books""",9783540438618,"""Lecture notes in computer science. 2384,""","""nan""","""Information security and privacy : 17th Australasian Conference, ACISP 2012, Wollongong, NSW, Australia, July 9-11, 2012. Proceedings  ""","""Susilo, Willy. | Mu, Yi, | Seberry, Jennifer,""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642314483,"""Lecture notes in computer science ; 7372. 1611-3349 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiv, 460 pages)""",0
4,8,a3834,b4003,"""Graph-grammars and their application to computer science : 2nd international workshop, Haus Ohrbeck, Germany, October 4-8, 1982""","""under the auspices of the European Association for Theoretical Computer Science ; edited by Hartmut Ehrig, Manfred Nagl and Grzegorz Rozenberg""","""Berlin ; New York : Springer-Verlag, 1983.""","""Books""",9780387123103,"""Lecture notes in computer science ; 153,""","""nan""","""Graph-grammars and their application to computer science and biology : international workshop, Bad Honnef, October 30-November 3, 1978  ""","""Claus, Volker, | Ehrig, Hartmut. | Rozenberg, Grzegorz.""","""Berlin ; Springer-Verlag, 1979.""","""Electronic books. | Conference proceedings.""",9783540350910,"""Lecture notes in computer science ; 73. 0302-9743""","""1 online resource (vii, 477 p.)""",0
96,382,a5399,b592,"""Transactions on large-scale data- and knowledge-centered systems III : special issue on data and knowledge management in grid and P2P systems""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner (eds.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642230745,"""Lecture notes in computer science ; 6790,Lecture notes in computer science. Journal subline,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems II ""","""Hameurlain, Abdelkader.""","""Berlin ; Springer, c2010.""","""Electronic books.""",9783642161759,"""Lecture notes in computer science ; 6380.""","""1 online resource (vii, 140 p.""",0
166,712,a4324,b2853,"""Transactions on computational science XXVIII : special issue on cyberworlds and cybersecurity""","""Marina L. Gavrilova, C.J. Kenneth Tan, Alexei Sourin (eds.)""","""Berlin : Springer, 2016.""","""Books""",9783662530900,"""Lecture notes in computer science ; 9590,""","""nan""","""Transactions on computational science V : special issue on cognitive knowledge representation  ""","""Gavrilova, Marina L.""","""Berlin""","""Electronic books.""",9783642020971,"""Lecture notes in computer science ; 5540.""","""1 online resource (xii, 236 p.)""",0
61,248,a4792,b3742,"""Doing science : design, analysis, and communication of scientific research""","""Ivan Valiela""","""Second edition. Oxford ; New York : Oxford University Press, 2009.""","""Books""",9780195385731,"""nan""","""nan""","""Doing science : design, analysis, and communication of scientific research  ""","""Valiela, Ivan.""","""Oxford ; Oxford University Press, 2009.""","""nan""",9780195385731,"""nan""","""x, 333 p.""",1
67,281,a3243,b3079,"""Algebraic methodology and software technology : 13th international conference, AMAST 2010, Lac-Beauport, QC, Canada, June 23-25, 2010 : revised selected papers""","""Michael Johnson, Dusko Pavlovic (eds.)""","""Berlin ; New York : Springer, [2011] ©2011""","""Books""",9783642177965,"""Lecture notes in computer science ; 6486,""","""nan""","""Algebraic methodology and software technology : 13th international conference, AMAST 2010, Lac-Beauport, QC, Canada, June 23-25, 2010 : revised selected papers  ""","""Johnson, Michael, | PavloviÄ, Dusko.""","""Berlin ; Springer, Â©2011.""","""Electronic books. | Conference papers and proceedings.""",9783642177965,"""Lecture notes in computer science ; 6486. 0302-9743""","""1 online resource (x, 235 pages)""",1
137,580,a2052,b518,"""Big Data Factories Collaborative Approaches""","""Sorin Adam Matei, Nicolas Jullien, Sean P. Goggins, editors""","""Cham : Springer, 2017.""","""Books""",9783319591865,"""Computational social sciences,""","""nan""","""Big Data Factories : Collaborative Approaches  ""","""Matei, Sorin Adam. | Jullien, Nicolas. | Goggins, Sean P.""","""Cham""","""Electronic books.""",9783319591865,"""Computational social sciences.""","""1 online resource (141 p.)""",1
198,820,a4059,b730,"""The role of scientific and technical data and information in the public domain : proceedings of a symposium""","""Julie M. Esanu and Paul F. Uhlir, editors ; Steering Committee on the Role of Scientific and Technical Data and Information in the Public Domain, Office of International Scientific and Technical Information Programs, Board on International Scientific Organizations, Policy and Global Affairs Division, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2003] ©2003""","""Books""",9780309088503,"""nan""","""nan""","""Advances in intelligent data analysis IX : 9th international symposium, IDA 2010, Tucson, AZ, USA, May 19-21, 2010 : proceedings  ""","""Cohen, Paul R. | Adams, Niall M., | Berthold, M.""","""Berlin ; Springer, c2010.""","""Electronic books. | Conference papers and proceedings.""",9783642130625,"""Lecture notes in computer science ; 6065. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xiii, 260 p.)""",0
262,1142,a1355,b5366,"""The Semantic Web and Web Science : 8th Chinese Conference, CSWS 2014, Wuhan, China, August 8-12, 2014, revised selected papers""","""edited by Dongyan Zhao, Jianfeng Du, Haofen Wang, Peng Wang, Donghong Ji, Jeff Z. Pan""","""Heidelberg : Springer, 2014.""","""Books""",9783662454954,"""Communications in computer and information science ; 480,""","""nan""","""Natural language processing and Chinese computing : Third CCF Conference, NLPCC 2014, Shenzhen, China, December 5-9, 2014. Proceedings  ""","""Zong, Chengqing, | Nie, Jian-Yun, | Zhao, Dongyan, | Feng, Yansong,""","""Berlin""","""Electronic books.""",9783662459249,"""Communications in computer and information science ; 496. 1865-0929""","""1 online resource (xviii, 474 p.)""",0
279,1219,a1743,b5294,"""High performance computing in science and engineering '16 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2016""","""Wolfgang E. Nagel, Dietmar H. Kröner, Michael M. Resch, editors""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319470665,"""nan""","""nan""","""High performance computing in science and engineering '15 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2015  ""","""Nagel, Wolfgang E., | KrÃ¶ner, Dietmar, | Resch, Michael,""","""Cham""","""Electronic books.""",9783319246338,"""nan""","""1 online resource (ix, 701 pages)""",0
40,170,a1750,b4848,"""Applied cryptography and network security : 14th International Conference, ACNS 2016, Guildford, UK, June 19-22, 2016. Proceedings""","""Mark Manulis, Ahmad-Reza Sadeghi, Steve Schneider (eds.)""","""Cham : Springer, 2016.""","""Books""",9783319395555,"""Lecture notes in computer science ; 9696,LNCS sublibrary. Security and cryptology,""","""nan""","""Cryptology and network security : 11th international conference, CANS 2012, Darmstadt, Germany, December 12-14, 2012, proceedings  ""","""Pieprzyk, Josef, | Sadeghi, Ahmad-Reza. | Manulis, Mark.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642354045,"""Lecture notes in computer science ; 7712. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xvi, 309 pages)""",0
268,1159,a1876,b159,"""Data management in grid and peer-to-peer systems : second international conference, Globe 2009, Linz, Austria, September 1-2, 2009 : proceedings""","""Abdelkader Hameurlain, A Min Tjoa (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642037153,"""Lecture notes in computer science ; 5697,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Availability, reliability, and security in information systems : IFIP WG 8.4, 8.9, TC 5 International Cross-Domain Conference, CD-ARES 2016, and Workshop on Privacy Aware...""","""Buccafurri, Francesco, | Holzinger, Andreas, | Kieseberg, Peter, | Tjoa, A. Min, | Weippl, Edgar R.,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319455075,"""Lecture notes in computer science ; 9817. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xii, 267 pages)""",0
13,55,a2737,b5957,"""Fraud analytics using descriptive, predictive, and social network techniques : guide to data science for fraud detection""","""Bart Baesens, Veronique Van Vlasselaer, Wouter Verbeke""","""Hoboken, New Jersey : John Wiley & Sons, 2015. ©2015""","""Books""",9781119146834,"""Wiley and SAS Business Series,""","""nan""","""Profit drive business analytics : a practitioner's guide to transforming big data into added value  ""","""Verbeke, Wouter, 1983-""","""Hoboken, New Jersey""","""Electronic books.""",9781119286998,"""nan""","""1 online resource.""",0
107,441,a270,b4041,"""The case for international sharing of scientific data : a focus on developing countries, proceedings of a symposium""","""Kathie Bailey Mathae and Paul F. Uhlir, editors ; Committee on the Case of International Sharing of Scientific Data: A Focus on Developing Countries ; Board on International Scientific Organizations ; Board on Research Data and Information ; Policy and Global Affairs ; in collaboration with the Committee on Freedom and Responsibility in the Conduct of Science ; International Council for Science ; National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2012] ©2012""","""Books""",9780309301589,"""nan""","""nan""","""Signal Transduction in Photoreceptor Cells : Proceedings of an International Workshop Held at the Research Centre JÃ¼lich, JÃ¼lich, Fed. Rep. of Germany, 8-11 August 1990  ""","""Hargrave, Paul A.""","""Berlin, Heidelberg""","""Electronic books.""",9783642764820,"""Research reports in physics.""","""1 online resource (xi, 318 pages)""",0
