_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,label
55,a2737,b5957,"""Fraud analytics using descriptive, predictive, and social network techniques : guide to data science for fraud detection""","""Bart Baesens, Veronique Van Vlasselaer, Wouter Verbeke""","""Hoboken, New Jersey : John Wiley & Sons, 2015. ©2015""","""Books""",9781119146834,"""Wiley and SAS Business Series,""","""nan""","""Profit drive business analytics : a practitioner's guide to transforming big data into added value  ""","""Verbeke, Wouter, 1983-""","""Hoboken, New Jersey""","""Electronic books.""",9781119286998,"""nan""","""1 online resource.""",0
56,a1353,b26,"""Soft Methods for Data Science""","""edited by Maria Brigida Ferraro, Paolo Giordani, Barbara Vantaggi, Marek Gagolewski, María Ángeles Gil, Przemysław Grzegorzewski, Olgierd Hryniewicz""","""Cham : Springer International Publishing : Imprint : Springer, 2017.""","""Books""",9783319429724,"""Advances in intelligent systems and computing ; 456,""","""nan""","""Soft methods for data science  ""","""Ferraro, Maria Brigida,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319429724,"""Advances in intelligent systems and computing ; v. 456.""","""1 online resource.""",1
60,a2493,b928,"""Machine learning and data mining in pattern recognition : 5th international conference, MLDM 2007, Leipzig, Germany, July 18-20, 2007 : proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2007] ©2007""","""Books""",9783540734987,"""Lecture notes in computer science ; 4571,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",0
61,a235,b928,"""Machine learning and data mining in pattern recognition : first international workshop, MLDM'99, Leipzig, Germany, September 16-18, 1999 : proceedings""","""Petra Perner, Maria Petrou (eds.)""","""Berlin ; New York : Springer, [1999] ©1999""","""Books""",9783540665991,"""Lecture notes in computer science ; 1715,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",0
62,a5198,b928,"""Machine learning and data mining in pattern recognition : 11th International Conference, MLDM 2015, Hamburg, Germany, July 20-21, 2015, proceedings""","""Petra Perner (ed.)""","""Cham : Springer, 2015.""","""Books""",9783319210247,"""Lecture notes in computer science ; 9166,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",0
63,a3494,b928,"""Machine learning and data mining in pattern recognition : 8th International Conference, MLDM 2012, Berlin, Germany, July 13-20, 2012. Proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642315374,"""Lecture notes in computer science ; 7376,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",0
65,a3960,b928,"""Advances in data mining : applications and theoretical aspects : 12th Industrial Conference, ICDM 2012, Berlin, Germany, July 13-20, 2012. Proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642314889,"""Lecture notes in computer science ; 7377,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",0
67,a4451,b928,"""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, 2009.""","""Books""",9783642030703,"""Lecture notes in computer science ; 5632,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",1
68,a4619,b928,"""Machine learning and data mining in pattern recognition : 7th international conference, MLDM 2011, New York, NY, USA, August 30-September 3, 2011 : proceedings""","""Petra Perner (ed.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642231995,"""Lecture notes in computer science ; 6871,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",0
70,a2498,b1556,"""Scaling OpenMP for Exascale Performance and Portability : 13th International Workshop on OpenMP, IWOMP 2017, Stony Brook, NY, USA, September 20-22, 2017, Proceedings""","""edited by Bronis R. de Supinski, Stephen L. Olivier, Christian Terboven, Barbara M. Chapman, Matthias S. Müller""","""Cham : Springer International Publishing : Imprint: Springer, 2017.""","""Books""",9783319655789,"""Lecture notes in computer science ; 10468,""","""nan""","""OpenMP in the era of low power devices and accelerators : 9th International Workshop on OpenMP, IWOMP 2013, Canberra, ACT, Australia, September 16-18, 2013. Proceedings  ""","""Rendell, Alistair P., | Chapman, Barbara, | MÃ¼ller, Matthias S.,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642406980,"""Lecture notes in computer science ; 8122, 0302-9743 LNCS sublibrary. SL 2, Programming and software engineering.""","""1 online resource (x, 201 pages)""",0
73,a4912,b2368,"""Data hiding techniques in Windows OS : a practical approach to investigation and defense""","""Nihad Admad Hassan, Rami Hijazi ; Helvi Salminen, technical editor""","""Cambridge, MA : Syngress [2016] ©2017""","""Books""",9780128044964,"""nan""","""nan""","""Data hiding techniques in Windows OS : a practical approach to investigation and defense  ""","""Hassan, Nihad Ahmad""","""Cambridge, MA""","""Electronic books.""",9780128044964,"""nan""","""1 online resource""",1
74,a3359,b4291,"""Machine learning and cybernetics : 13th International Conference, Lanzhou, China, July 13-16, 2014, proceedings""","""Xizhao Wang, Witold Pedrycz, Patrick Chan, Qiang He (Eds.)""","""Berlin : Springer, 2014. ©2014""","""Books""",9783662456521,"""Communications in computer and information science ; 481,""","""nan""","""Machine learning and cybernetics : 13th International Conference, Lanzhou, China, July 13-16, 2014, proceedings  ""","""Wang, Xizhao, | Pedrycz, Witold, | Chan, Patrick, | He, Qiang,""","""Berlin""","""Electronic books.""",9783662456521,"""Communications in computer and information science ; 481, 1865-0929""","""1 online resource (xiv, 462 pages)""",1
80,a1971,b6141,"""Advances in visual computing : first international symposium, ISVC 2005, Lake Tahoe, NV, USA, December 5-7, 2005 : proceedings""","""George Bebis ... [and others] (eds.)""","""Berlin ; New York : Springer, 2005.""","""Books""",9783540307501,"""Lecture notes in computer science. 3804,""","""nan""","""Advances in visual computing : second international symposium, ISVC 2006, Lake Tahoe, NV, USA, November 6-8, 2006 : proceedings  ""","""Bebis, George.""","""Berlin ; Springer, c2006.""","""Electronic books.""",9783540486312,"""Lecture notes in computer science, 4291-4292 0302-9743 ;""","""2 v.""",0
88,a2000,b6680,"""Advances in computer and computational sciences : proceedings of ICCCCS 2016. Volume 1""","""Sanjiv K. Bhatia, Krishn K. Mishra, Shailesh Tiwari, Vivek Kumar Singh, editors""","""Singapore : Springer, 2017.""","""Books""",9789811037702,"""Advances in intelligent systems and computing ; v. 553,""","""nan""","""Information systems design and intelligent applications : proceedings of Third International Conference INDIA 2016. Volume 3  ""","""Satapathy, Suresh Chandra, | Mandal, Jyotsna Kumar, | Udgata, Siba K., | Bhateja, Vikrant,""","""[New Delhi]""","""Electronic books. | Conference papers and proceedings.""",9788132227571,"""Advances in intelligent systems and computing ; 435. 2194-5357""","""1 online resource (xviii, 669 pages)""",0
89,a2925,b6680,"""Pattern recognition and machine intelligence : 7th International Conference, PReMI 2017, Kolkata, India, December 5-8, 2017, Proceedings""","""B. Uma Shankar, Kuntal Ghosh, Deba Prasad Mandal, Shubhra Sankar Ray, David Zhang, Sankar K. Pal (eds.)""","""Cham : Springer, 2017.""","""Books""",9783319699004,"""Lecture notes in computer science ; 10597,LNCS sublibrary. Image processing, computer vision, pattern recognition, and graphics,""","""nan""","""Information systems design and intelligent applications : proceedings of Third International Conference INDIA 2016. Volume 3  ""","""Satapathy, Suresh Chandra, | Mandal, Jyotsna Kumar, | Udgata, Siba K., | Bhateja, Vikrant,""","""[New Delhi]""","""Electronic books. | Conference papers and proceedings.""",9788132227571,"""Advances in intelligent systems and computing ; 435. 2194-5357""","""1 online resource (xviii, 669 pages)""",0
106,a4938,b3064,"""Open data structures : an introduction""","""Pat Morin""","""Edmonton : AU Press, 2013- Minneapolis : Open Textbook Library ©2013-""","""Books""",9781927356395,"""Open paths to enriched learning ; 2,Open Textbook Library,""","""nan""","""Open data structures : an introduction  ""","""Morin, Pat""","""Edmonton""","""Electronic textbooks.""",9781927356395,"""Open paths to enriched learning ; 2.""","""1 online resource""",1
118,a73,b687,"""Evaluation of environmental data for regulatory and impact assessment""","""S. Ramamoorthy and E. Baddaloo""","""Amsterdam ; Elsevier ; 1991. New York, NY : Distributors for the United States and Canada, Elsevier Science Pub. Co., 1991.""","""Books""",9780444885302,"""Studies in environmental science ; 41,""","""nan""","""Evaluation of environmental data for regulatory and impact assessment ""","""Ramamoorthy, S.""","""Amsterdam ; Elsevier ; 1991.""","""Electronic books.""",9780444885302,"""Studies in environmental science ; 41.""","""1 online resource (x, 466 p.)""",1
120,a3369,b900,"""Principles of geographical information systems""","""Peter A. Burrough and Rachael A. McDonnell""","""New York : Oxford University Press, 1998.""","""Books""",9780198233657,"""Spatial information systems,Spatial information series,""","""nan""","""Principles of geographical information systems  ""","""Burrough, P. A.""","""Oxford""","""nan""",9780198742845,"""nan""","""pages cm""",1
122,a2839,b163,"""Data science : 30th British International Conference on Databases, BICOD 2015, Edinburgh, UK, July 6-8, 2015, proceedings""","""Sebastian Maneth (ed.)""","""Cham : Springer, 2015.""","""Books""",9783319204246,"""Lecture notes in computer science ; 9147,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data science : 30th British International Conference on Databases, BICOD 2015, Edinburgh, UK, July 6-8, 2015, Proceedings  ""","""Maneth, Sebastian,""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319204246,"""Lecture notes in computer science ; 9147. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xx, 221 pages)""",1
124,a3463,b2151,"""Big data, little data, no data : scholarship in the networked world""","""Christine L. Borgman""","""Cambridge, Massachusetts : The MIT Press, [2015]""","""Books""",9780262028561,"""nan""","""nan""","""Big data, little data, no data : scholarship in the networked world  ""","""Borgman, Christine L., 1951-""","""Cambridge, Massachusetts""","""nan""",9780262028561,"""nan""","""xxv, 383 pages ; 24 cm""",1
127,a796,b1678,"""Intelligent information and database systems : 8th Asian Conference, ACIIDS 2016, Da Nang, Vietnam, March 14-16, 2016, Proceedings. Part II""","""Ngoc Thanh Nguyen, Bogdan Trawiński, Hamido Fujita, Tzung-Pei Hong (eds.)""","""Cham : Springer, 2016.""","""Books""",9783662493908,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 9622,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Intelligent information and database systems : 4th Asian Conference, ACIIDS 2012, Kaohsiung, Taiwan, March 19-21, 2012, Proceedings. Part II  ""","""Pan, Jeng-Shyang. | Chen, Shyi-Ming. | Nguyen, Ngoc Thanh""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642284908,"""Lecture notes in computer science ; 7197. Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xx, 575 pages).""",0
131,a1750,b3614,"""Applied cryptography and network security : 14th International Conference, ACNS 2016, Guildford, UK, June 19-22, 2016. Proceedings""","""Mark Manulis, Ahmad-Reza Sadeghi, Steve Schneider (eds.)""","""Cham : Springer, 2016.""","""Books""",9783319395555,"""Lecture notes in computer science ; 9696,LNCS sublibrary. Security and cryptology,""","""nan""","""Public key cryptography-- PKC 2012 : 15th International Conference on Practice and Theory in Public Key Cryptography, Darmstadt, Germany, May 21-23, 2012. Proceedings  ""","""Fischlin, Marc. | Buchmann, Johannes. | Manulis, Mark.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642300578,"""Lecture notes in computer science ; 7293. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiv, 734 pages).""",0
132,a5583,b1671,"""Computational linguistics and intelligent text processing : 5th International Conference, CICLing 2004, Seoul, Korea, February 15-21, 2004 : proceedings""","""Alexander Gelbukh, ed""","""Berlin ; New York : Springer, [2004] ©2004""","""Books""",9783540210061,"""Lecture notes in computer science. 2945,""","""nan""","""Computational linguistics and intelligent text processing : 13th International Conference, CICLing 2012, New Delhi, India, March 11-17, 2012, proceedings. Part I  ""","""Gelbukh, Alexander,""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642286049,"""Lecture notes in computer science ; 7181. LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xxiii, 617 pages).""",0
135,a5441,b4182,"""High performance computing in science and engineering '15 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2015""","""Wolfgang E. Nagel, Dietmar H. Kröner, Michael M. Resch, editors""","""Cham : Springer, 2016.""","""Books""",9783319246338,"""nan""","""nan""","""High performance computing in science and engineering '09 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2009  ""","""Nagel, Wolfgang E. | KrÃ¶ner, Dietmar. | Resch, Michael.""","""Berlin ; Springer-Verlag, Â©2010.""","""Electronic books. | Congresses. | Conference proceedings.""",9783642046650,"""nan""","""1 online resource (xii, 551 pages)""",0
138,a4781,b4182,"""ITiCSE 2002 : proceedings of the 7th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education, June 24-28, 2002, Aarhus, Denmark""","""conference co-chairs, Michael E. Caspersen, Dan Joyce ; program co-chairs, Don Goelman, Ian Utting ; proceedings editor & ACM coordinator, David Finkel""","""New York : Association for Computing Machinery, [2002] ©2002""","""Books""",9781581134995,"""SIGCSE bulletin. v. 34, no. 3 (Sept. 2002),""","""nan""","""High performance computing in science and engineering '09 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2009  ""","""Nagel, Wolfgang E. | KrÃ¶ner, Dietmar. | Resch, Michael.""","""Berlin ; Springer-Verlag, Â©2010.""","""Electronic books. | Congresses. | Conference proceedings.""",9783642046650,"""nan""","""1 online resource (xii, 551 pages)""",0
165,a3813,b3051,"""Algorithms and data structures : 12th international symposium, WADS 2011, New York, NY, USA, August 15-17, 2011 : proceedings""","""Frank Dehne, John Iacono, Jörg-Rüdiger Sack (eds.)""","""Berlin ; New York : Springer, [2011] ©2011""","""Books""",9783642223006,"""Lecture notes in computer science ; 6844,LNCS sublibrary. Theoretical computer science and general issues,""","""nan""","""Algorithms and data structures : 14th International Symposium, WADS 2015, Victoria, BC, Canada, August 5-7, 2015 : proceedings  ""","""Dehne, F. | Sack, J.-R. | Stege, Ulrike.""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319218403,"""Lecture notes in computer science ; (NL-LeOCL)215138600 9214. 1611-3349 LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xiii, 646 pages).""",0
