,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,label
74,307,a3376,b1198,"""Availability, reliability, and security in information systems : IFIP WG 8.4, 8.9, TC 5 International Cross-Domain Conference, CD-ARES 2016, and Workshop on Privacy Aware Machine Learning for Health Data Science, PAML 2016, Salzburg, Austria, August 31 - September 2, 2016, Proceedings""","""Francesco Buccafurri, Andreas Holzinger, Peter Kieseberg, A Min Tjoa, Edgar Weippl (eds.)""","""Switzerland : Springer, 2016.""","""Books""",9783319455075,"""Lecture notes in computer science ; 9817,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Database and Expert Systems Applications : 24th International Conference, DEXA 2013, Prague, Czech Republic, August 26-29, 2013 : proceedings. Part I  ""","""Decker, Hendrik, | LhotskÃ¡, Lenka, | Link, Sebastian, | Basl, Josef, | Tjoa, A. Min,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642402852,"""Lecture notes in computer science ; 8055. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xxiv, 465 pages)""",0
270,1162,a1137,b159,"""Deep learning and data labeling for medical applications : first International Workshop, LABELS 2016, and second International Workshop, DLMIA 2016, held in conjunction with MICCAI 2016, Athens, Greece, October 21, 2016, Proceedings""","""Gustavo Carneiro, Diana Mateus, Loïc Peter, Andrew Bradley, João Manuel R. S. Tavares, Vasileios Belagiannis, João Paulo Papa, Jacinto C. Nascimento, Marco Loog, Zhi Lu, Jaime S. Cardoso, Julien Cornebise (eds.)""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319469768,"""Lecture notes in computer science ; 10008,LNCS sublibrary. Image processing, computer vision, pattern recognition, and graphics,""","""nan""","""Availability, reliability, and security in information systems : IFIP WG 8.4, 8.9, TC 5 International Cross-Domain Conference, CD-ARES 2016, and Workshop on Privacy Aware...""","""Buccafurri, Francesco, | Holzinger, Andreas, | Kieseberg, Peter, | Tjoa, A. Min, | Weippl, Edgar R.,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319455075,"""Lecture notes in computer science ; 9817. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xii, 267 pages)""",0
90,358,a4258,b4518,"""The Medical Library Association guide to data management for librarians""","""edited by Lisa Federer""","""Lanham, Maryland : Rowman & Littlefield, [2016]""","""Books""",9781442264267,"""Medical Library Association books,""","""nan""","""The Medical Library Association guide to data management for librarians  ""","""Federer, Lisa,""","""Lanham""","""Electronic books.""",9781442264281,"""Medical Library Association books.""","""1 online resource.""",0
229,931,a5640,b907,"""Transactions on large-scale data- and knowledge-centered systems XXXIII""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Reza Akbarinia, Esther Pacitti (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662556962,"""Lecture notes in computer science ; 10430,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems X : special issue on database- and expert-systems applications  ""","""Hameurlain, Abdelkader,""","""Berlin ; Springer, Â©2013.""","""Electronic books.""",9783642412219,"""Lecture notes in computer science ; 8220.""","""1 online resource (x, 199 pages).""",0
164,708,a105,b2853,"""Transactions on computational science V : special issue on cognitive knowledge representation""","""Marina L. Gavrilova ... [and others] (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642020971,"""Lecture notes in computer science ; 5540,""","""nan""","""Transactions on computational science V : special issue on cognitive knowledge representation  ""","""Gavrilova, Marina L.""","""Berlin""","""Electronic books.""",9783642020971,"""Lecture notes in computer science ; 5540.""","""1 online resource (xii, 236 p.)""",1
190,804,a625,b685,"""Transactions on large-scale data- and knowledge-centered systems X : special issue on database- and expert-systems applications""","""Abdelkader Hameurlain [and 5 more] (eds.)""","""Berlin ; New York : Springer, [2013] ©2013""","""Books""",9783642412219,"""Lecture notes in computer science ; 8220,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XIX : special issue on big data and open data  ""","""Hameurlain, Abdelkader,""","""Heidelberg""","""Electronic books.""",9783662465622,"""Lecture notes in computer science ; 8990. 0302-9743""","""1 online resource (ix, 129 pages)""",0
103,427,a254,b3231,"""Algebraic methodology and software technology : 6th international conference, AMAST'97, Sydney, Australia, December 13-17, 1997 : proceedings""","""Michael Johnson (ed.)""","""Berlin ; New York : Springer, [1997] ©1997""","""Books""",9783540638889,"""Lecture notes in computer science. 1349,""","""nan""","""Algebraic methodology and software technology : 6th international conference, AMAST '97, Sydney, Australia, December 13-17, 1997 : proceedings  ""","""Johnson, Michael.""","""Berlin ; Springer-Verlag, c1997.""","""Electronic books. | Conference proceedings.""",9783540696612,"""Lecture notes in computer science ; 1349. 0302-9743""","""1 online resource (x, 594 p.)""",1
124,536,a5393,b2293,"""Post-quantum cryptography : 4th International Workshop, PQCrypto 2011, Taipei, Taiwan, November 29 - December 2, 2011. Proceedings""","""Bo-Yin Yang (ed.)""","""Heidelberg ; New York : Springer-Verlag Berlin Heidelberg, [2011] ©2011""","""Books""",9783642254055,"""Lecture notes in computer science ; 7071,""","""nan""","""Post-quantum cryptography : 4th International Workshop, PQCrypto 2011, Taipei, Taiwan, November 29 - December 2, 2011. Proceedings  ""","""Yang, Bo-Yin.""","""Heidelberg ; Springer-Verlag Berlin Heidelberg, Â©2011.""","""Electronic books. | Conference papers and proceedings.""",9783642254055,"""Lecture notes in computer science ; 7071.""","""1 online resource (x, 294 pages)""",1
129,557,a2714,b2276,"""Trends and applications in knowledge discovery and data mining : PAKDD 2016 Workshops, BDM, MLSDA, PACC, WDMBF, Auckland, New Zealand, April 19, 2016, Revised Selected Papers""","""edited by Huiping Cao, Jinyan Li, Ruili Wang""","""Switzerland : Springer, 2016.""","""Books""",9783319429960,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 9794,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Trends and Applications in Knowledge Discovery and Data Mining : PAKDD 2015 Workshops: BigPMA, VLSP, QIMIE, DAEBH, Ho Chi Minh City, Vietnam, May 19-21, 2015. Revised Selected...""","""Li, Xiao-Li. | Cao, Tru. | Lim, Ee-Peng. | Zhou, Zhi-Hua. | Ho, Tu-Bao. | Cheung, David.""","""Cham""","""Electronic books.""",9783319256603,"""Lecture notes in computer science ; 9441. 0302-9743 Lecture notes in computer science. Lecture notes in artificial intelligence. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xv, 289 p.)""",0
222,906,a651,b385,"""Data integration in the life sciences : 12th International Conference, DILS 2017, Luxembourg, Luxembourg, November 14-15, 2017, Proceedings""","""Marcos Da Silveira, Cédric Pruski, Reinhard Schneider (eds.)""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319697512,"""Lecture notes in computer science ; 10649,Lecture notes in computer science. Lecture notes in bioinformatics,LNCS sublibrary. Bioinformatics,Lecture notes in computer science. Lecture notes in bioinformatics,LNCS sublibrary. Bioinformatics,""","""nan""","""Data integration in the life sciences : 12th International Conference, DILS 2017, Luxembourg, Luxembourg, November 14-15, 2017, Proceedings  ""","""Da Silveira, Marcos, | Pruski, CÃ©dric, | Schneider, Reinhard,""","""Cham, Switzerland""","""Electronic books.""",9783319697512,"""Lecture notes in computer science ; 10649. 0302-9743 Lecture notes in computer science. Lecture notes in bioinformatics. LNCS sublibrary. SL 8, Bioinformatics.""","""1 online resource (vii, 109 pages)""",1
116,509,a3595,b826,"""Intelligent data engineering and automated learning--IDEAL 2000 : data mining, financial engineering, and intelligent agents : second international conference, Shatin, N.T., Hong Kong, China, December 13-15, 2000 : proceedings""","""Kwong Sak Leung, Lai-wan Chan, Helen Meng (eds.)""","""Berlin ; New York : Springer, [2000] ©2000""","""Books""",9783540414506,"""Lecture notes in computer science. 1983,""","""nan""","""Intelligent data engineering and automated learning - IDEAL 2000 : data mining, financial engineering, and intelligent agents : second international conference, Shatin, N.T.,...""","""Leung, Kwong Sak, | Chan, Lai-wan. | Meng, Helen.""","""Berlin ; Springer, 2000.""","""Electronic books. | Conference proceedings.""",9783540444916,"""Lecture notes in computer science ; 1983. 0302-9743""","""1 online resource (xvi, 573 pages)""",1
194,808,a1638,b685,"""Transactions on large-scale data- and knowledge-centered systems XXIII : selected papers from FDSE 2014""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Tran Khanh Dang, Nam Thoai (Eds.)""","""Berlin : Springer, [2016] ©2016""","""Books""",9783662491751,"""Lecture notes in computer science ; 9480,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XIX : special issue on big data and open data  ""","""Hameurlain, Abdelkader,""","""Heidelberg""","""Electronic books.""",9783662465622,"""Lecture notes in computer science ; 8990. 0302-9743""","""1 online resource (ix, 129 pages)""",0
286,1246,a2147,b3251,"""Theory and practice in distributed systems : international workshop, Dagstuhl Castle, Germany, September 5-9, 1994 : selected papers""","""K.P. Birman, F. Mattern, A. Schiper (eds.)""","""Berlin ; New York : Springer, [1995] ©1995""","""Books""",9783540600428,"""Lecture notes in computer science ; 938,""","""nan""","""Progress in cryptology - LATINCRYPT 2014 : third International Conference on Cryptology and Information Security in Latin America FlorianÃ³polis, Brazil, September 17-19, 2014...""","""Aranha, Diego F., | Menezes, A. J.""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319162959,"""Lecture notes in computer science ; 8895. 0302-9743""","""1 online resource (xii, 387 pages)""",0
234,955,a4784,b266,"""Data analysis and statistics for geography, environmental science, and engineering""","""Miguel F. Acevedo""","""Boca Raton : CRC Press, [2013] ©2013""","""Books""",9781439885017,"""nan""","""nan""","""Data analysis and statistics for geography, environmental science, and engineering  ""","""Acevedo, Miguel F.""","""Boca Raton""","""nan""",9781439885017,"""nan""","""xxi, 535 p.""",1
295,1278,a4868,b2326,"""Techniques and environments for big data analysis : parallel, cloud, and grid computing""","""Bhabani Shankar Prasad Mishra, Satchidananda Dehuri, Euiwhan Kim, Gi-Name Wang, editors""","""[Cham] : Springer, 2016.""","""Books""",9783319275208,"""Studies in big data ; 17,""","""nan""","""Techniques and environments for big data analysis : parallel, cloud, and grid computing  ""","""Mishra, Bhabani Shankar Prasad, | Dehuri, Satchidananda, | Kim, Euiwhan, | Wang, Gi-Name,""","""[Cham]""","""Electronic books.""",9783319275208,"""Studies in big data ; 17.""","""1 online resource.""",1
92,372,a4676,b2547,"""Proceedings of the International Conference of Computational Methods in Sciences and Engineering 2010 (ICCMSE-2010) : Kos, Greece, 3-8 October 2010""","""editors, Theodore E. Simos, George Maroulis ; sponsoring organizations, European Society of Computational Methods in Sciences, Engineering and Technology""","""[Melville, New York] : AIP Publishing, 2015.""","""Books""",9780735412828,"""AIP conference proceedings (Online) ; no. 1642,""","""nan""","""Proceedings of the International Conference of Computational Methods in Sciences and Engineering 2003 (ICCMSE 2003) : Kastoria, Greece, September 12-16  ""","""Simos, T. E.""","""River Edge, N.J.""","""nan""",9812385959,"""nan""","""xxii, 694 p.""",0
66,279,a120,b3079,"""Financial cryptography and data security : FC 2015 International Workshops, BITCOIN, WAHC, and Wearable, San Juan, Puerto Rico, January 30, 2015, revised selected papers""","""edited by Michael Brenner, Nicolas Christin, Benjamin Johnson, Kurt Rohloff""","""Heidelberg : Springer, 2015.""","""Books""",9783662480519,"""Lecture notes in computer science ; 8976,LNCS sublibrary. Security and cryptology,""","""nan""","""Algebraic methodology and software technology : 13th international conference, AMAST 2010, Lac-Beauport, QC, Canada, June 23-25, 2010 : revised selected papers  ""","""Johnson, Michael, | PavloviÄ, Dusko.""","""Berlin ; Springer, Â©2011.""","""Electronic books. | Conference papers and proceedings.""",9783642177965,"""Lecture notes in computer science ; 6486. 0302-9743""","""1 online resource (x, 235 pages)""",0
8,41,a4779,b2500,"""Graph data model and its data language""","""Hideko S. Kunii""","""Tokyo ; New York : Springer-Verlag, [1990] ©1990""","""Books""",9780387700588,"""nan""","""nan""","""Graph Data Model : and Its Data Language  ""","""Kunii, Hideko S.""","""Tokyo""","""Electronic books.""",9784431681144,"""nan""","""1 online resource (XVI, 106 pages)""",1
122,527,a2369,b4917,"""Trends in functional programming : 15th International Symposium, TFP 2014, Soesterberg, The Netherlands, May 26-28, 2014, revised selected papers""","""Jurriaan Hage, Jay McCarthy (eds.)""","""Cham : Springer, 2015.""","""Books""",9783319146751,"""Lecture notes in computer science ; 8843,LNCS sublibrary. Theoretical computer science and general issues,""","""nan""","""Trends in functional programming : 16th International Symposium, TFP 2015, Sophia Antipolis, France, June 3-5, 2015. Revised selected papers  ""","""Serrano, Manuel, | Hage, Jurriaan,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319391106,"""Lecture notes in computer science ; 9547. 0302-9743 LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (vii, 157 pages)""",0
219,888,a2737,b66,"""Fraud analytics using descriptive, predictive, and social network techniques : guide to data science for fraud detection""","""Bart Baesens, Veronique Van Vlasselaer, Wouter Verbeke""","""Hoboken, New Jersey : John Wiley & Sons, 2015. ©2015""","""Books""",9781119146834,"""Wiley and SAS Business Series,""","""nan""","""Analytics in a big data world : the essential guide to data science and its applications  ""","""Baesens, Bart.""","""Hoboken, New Jersey""","""Electronic books.""",9781119204183,"""Wiley and SAS business series.""","""1 online resource.""",0
150,674,a420,b5252,"""Measuring data quality for ongoing improvement a data quality assessment framework""","""Laura Sebastian-Coleman""","""Waltham, Mass. : Elsevier, 2013.""","""Books""",9781283933186,"""The Morgan Kaufmann Series on Business Intelligence,""","""nan""","""Measuring data quality for ongoing improvement : a data quality assessment framework  ""","""Sebastian-Coleman, Laura.""","""Burlington""","""Electronic books.""",9780123977540,"""nan""","""1 online resource""",1
176,733,a4324,b2244,"""Transactions on computational science XXVIII : special issue on cyberworlds and cybersecurity""","""Marina L. Gavrilova, C.J. Kenneth Tan, Alexei Sourin (eds.)""","""Berlin : Springer, 2016.""","""Books""",9783662530900,"""Lecture notes in computer science ; 9590,""","""nan""","""Transactions on computational science VIII ""","""Gavrilova, Marina L. | Tan, C. J. Kenneth""","""Berlin ; Springer, c2010.""","""Electronic books.""",9783642162367,"""Lecture notes in computer science ; 6260.""","""1 online resource (xiv, 166 p.)""",0
182,760,a666,b302,"""Learn computer science with Swift : computation concepts, programming paradigms, data management, and modern component architectures with Swift and Playgrounds""","""Jesse Feiler""","""[Berkeley, CA] : Apress, 2018.""","""Books""",9781484230664,"""nan""","""nan""","""Learn computer science with Swift : computation concepts, programming paradigms, data management, and modern component architectures with Swift and Playgrounds  ""","""Feiler, Jesse""","""[Berkeley, CA]""","""Electronic books.""",9781484230664,"""nan""","""1 online resource""",1
299,1290,a4371,b1096,"""Data privacy management, autonomous spontaneous security, and security assurance : 9th International Workshop, DPM 2014, 7th International Workshop, SETOP 2014, and 3rd International Workshop, QASA 2014, Wroclaw, Poland, September 10-11, 2014, revised selected papers""","""Joaquin Garcia-Alfaro [and more] (eds.)""","""Cham : Springer, 2015.""","""Books""",9783319170169,"""Lecture notes in computer science ; 8872,LNCS sublibrary. Security and cryptology,""","""nan""","""Foundations and practice of security : 5th International Symposium, FPS 2012, Montreal, QC, Canada, October 25-26, 2012, Revised selected papers  ""","""Garcia-Alfaro, Joaquin, | Cuppens, FrÃ©dÃ©ric, | Cuppens-Boulahia, Nora, | Miri, Ali, | Tawbi, Nadia,""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642371196,"""Lecture notes in computer science ; 7743. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (381 pages)""",0
5,13,a5626,b6767,"""Computational intelligence in data mining. Volume 2 : Proceedings of the International Conference on CIDM, 5-6 December 2015""","""Himansu Sekhar Behera, Durga Prasad Mohapatra, editors""","""India : Springer, 2016.""","""Books""",9788132227311,"""Advances in intelligent systems and computing ; v. 411,""","""nan""","""Advanced computing, networking and informatics. Volume 2 : proceedings of the 3rd International Conference on Advanced Computing, Networking, and Informatics (ICACNI 2015)  ""","""Nagar, Atulya K., | Mohapatra, Durga Prasad, | Chaki, Nabendu,""","""New Delhi ; New York""","""Electronic books. | Conference papers and proceedings.""",9788132225294,"""Smart innovation, systems, and technologies ; 44. 2190-3018""","""1 online resource.""",0
223,908,a5146,b695,"""Transactions on large-scale data- and knowledge-centered systems XXV""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner (eds.)""","""Berlin : Springer, 2016.""","""Books""",9783662495346,"""Lecture notes in computer science ; 9620,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXIX  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland,""","""Berlin, Germany""","""Electronic books.""",9783662540374,"""Lecture notes in computer science ; 10120. 0302-9743""","""1 online resource (vii, 135 pages)""",0
