,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details
21,21,a1853,b3713,"""Modeling complex data for creating information""","""J.-E. Dubois, N. Gershon (eds.)""","""Berlin ; New York : Springer ; Paris : CODATA, [1996] ©1996""","""Books""",9783540610694,"""Data and knowledge in a changing world,""","""nan""","""Modeling complex data for creating information ""","""Dubois, J. E. | Gershon, Nahum.""","""Berlin ; Springer ; Â©1996.""","""Electronic books.""",9783642801990,"""Data and knowledge in a changing world.""","""1 online resource (xx, 277 pages)"""
25,25,a4461,b478,"""Ethical choices in research : managing data, writing reports, and publishing results in the social sciences""","""Harris Cooper""","""Washington, DC : American Psychological Association, [2016]""","""Books""",9781433821684,"""nan""","""nan""","""Ethical choices in research : managing data, writing reports, and publishing results in the social sciences  ""","""Cooper, Harris M.""","""Washington, DC""","""Electronic books.""",9781433821691,"""nan""","""1 online resource."""
27,27,a3127,b1784,"""The diatoms : applications for the environmental and earth sciences""","""edited by John Smol, Eugene Stoermer""","""Second edition. Cambridge ; New York : Cambridge University Press, 2010.""","""Books""",9780521509961,"""nan""","""nan""","""The diatoms : applications for the environmental and earth sciences  ""","""Smol, J. P. | Stoermer, Eugene F.,""","""Cambridge ; Cambridge University Press, Â©2010.""","""Electronic books.""",9780511909658,"""nan""","""1 online resource (xviii, 667 pages)"""
29,29,a4179,b1784,"""The Future of copyright in a digital environment : proceedings of the Royal Academy Colloquium organized by the Royal Netherlands Academy of Sciences (KNAW) and the Institute for Information Law, (Amsterdam, 6-7 July 1995)""","""editor, P. Bernt Hugenholtz ; contributors, Egbert J. Dommering ... [and others]""","""The Hague ; London : Kluwer Law International, 1996.""","""Books""",9789041102676,"""Information law series ; 4,""","""nan""","""The diatoms : applications for the environmental and earth sciences  ""","""Smol, J. P. | Stoermer, Eugene F.,""","""Cambridge ; Cambridge University Press, Â©2010.""","""Electronic books.""",9780511909658,"""nan""","""1 online resource (xviii, 667 pages)"""
33,33,a832,b25,"""R for data science : learn and explore the fundamentals of data science with R""","""Dan Toomey""","""Birmingham, England : Packt Publishing, 2014. ©2014""","""Books""",9781784392659,"""Community experience distilled,""","""nan""","""R for data science  ""","""Toomey, Dan""","""Birmingham, UK""","""Electronic books.""",9781784392659,"""Community experience distilled.""","""1 online resource"""
34,34,a2503,b3575,"""Handbook of massive data sets""","""edited by James Abello, Panos M. Pardalos, and Mauricio G.C. Resende""","""Dordrecht ; London : Kluwer Academic, [2002] ©2002""","""Books""",9781402004896,"""Massive computing ; 4,""","""nan""","""Handbook of massive data sets  ""","""Abello, James M. | Pardalos, P. M. | Resende, Mauricio G. C.,""","""Dordrecht ; London""","""Electronic books. | Handbooks and manuals.""",9781461500056,"""Massive computing ; 4.""","""1 online resource (xii, 1223 pages)"""
46,46,a1504,b6503,"""Studying science teacher identity : theoretical, methodological and empirical explorations""","""edited by Lucy Avraamidou""","""Rotterdam [The Netherlands] ; Boston : Sense Pub., 2016. Rotterdam [The Netherlands] ; Boston : Sense Pub., 2016.""","""Books""",9789463005289,"""New directions in mathematics and science education ; v. 30,""","""nan""","""Studying science teacher identity : theoretical, methodological and empirical explorations  ""","""Avraamidou, Lucy,""","""Rotterdam [The Netherlands] ; Sense Pub., 2016.""","""Electronic books.""",9789463005289,"""New directions in mathematics and science education ; v. 30.""","""1 online resource (viii, 332 pages)"""
60,60,a1867,b4544,"""Advances in cryptology, CRYPTO '98 : 18th Annual International Conference, Santa Barbara, California, USA, August 23-27, 1998 : proceedings""","""Hugo Krawczyk, (ed)""","""Berlin ; New York : Springer, [1998] ©1998""","""Books""",9783540648925,"""Lecture notes in computer science. 1462,""","""nan""","""Public-key cryptography-- PKC 2014 : 17th International Conference on Practice and Theory in Public-Key Cryptography, Buenos Aires, Argentina, March 26-28, 2014 : proceedings  ""","""Krawczyk, Hugo,""","""Berlin""","""Electronic books.""",9783642546310,"""Lecture notes in computer science ; 8383. 1611-3349 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource"""
61,61,a4859,b4225,"""Applied Computer Sciences in Engineering 4th Workshop on Engineering Applications, WEA 2017, Cartagena, Colombia, September 27-29, 2017, Proceedings""","""edited by Juan Carlos Figueroa-García, Eduyn Ramiro López-Santana, José Luis Villa-Ramírez, Roberto Ferro-Escobar""","""Cham : Springer International Publishing : Imprint: Springer, 2017.""","""Books""",9783319669632,"""Communications in Computer and Information Science, 742,""","""nan""","""Applied Computer Sciences in Engineering : 4th Workshop on Engineering Applications, WEA 2017, Cartagena, Colombia, September 27-29, 2017, Proceedings  ""","""Figueroa-GarcÃ­a, Juan Carlos. | LÃ³pez-Santana, Eduyn Ramiro. | Villa-RamÃ­rez, JosÃ© Luis. | Ferro-Escobar, Roberto.""","""Cham""","""Electronic books.""",9783319669632,"""Communications in computer and information science ; 742. 1865-0929""","""1 online resource (xvii, 681 p.)"""
62,62,a3787,b520,"""Data analysis and signal processing in chromatography""","""Attila Felinger""","""Amsterdam ; New York : Elsevier, 1998.""","""Books""",9780444820662,"""Data handling in science and technology ; v. 21,""","""nan""","""Data analysis and signal processing in chromatography ""","""Felinger, Attila.""","""Amsterdam ; Elsevier, 1998.""","""Electronic books.""",9780444820662,"""Data handling in science and technology ; v. 21.""","""1 online resource (xii, 414 p.)"""
64,64,a5684,b6602,"""Field research in political science : practices and principles""","""Diana Kapiszewski, Lauren M. MacLean, Benjamin L. Read""","""Cambridge, United Kingdom : Cambridge University Press, 2015.""","""Books""",9781107006034,"""Strategies for social inquiry,""","""nan""","""Field research in political science : practices and principles  ""","""Kapiszewski, Diana""","""Cambridge, United Kingdom""","""nan""",9780521184830,"""Strategies for social inquiry.""","""455 pages ; 26 cm."""
70,70,a4395,b5629,"""Text data management and analysis : a practical introduction to information retrieval and text mining""","""ChengXiang Zhai, Sean Massung""","""First Edition. [New York, NY] : ACM Books ; [San Rafael, California] : Morgan & Claypool, [2016] ©2016""","""Books""",9781970001198,"""ACM books ; 12,""","""nan""","""Text data management and analysis : a practical introduction to information retrieval and text mining  ""","""Zhai, ChengXiang""","""[New York]""","""Electronic books.""",9781970001174,"""ACM books ; #12. 2374-6777""","""1 online resource (xx, 510 pages)"""
71,71,a3984,b3152,"""Algorithms and data structures : 15th International Symposium, WADS 2017, St. John's, NL, Canada, July 31-August 2, 2017, Proceedings""","""edited by Faith Ellen, Antonina Kolokolova, Jörg-Rüdiger Sack""","""Cham : Springer, 2017.""","""Books""",9783319621272,"""Lecture notes in computer science ; 10389,""","""nan""","""Algorithms and data structures : 15th International Symposium, WADS 2017, St. John's, NL, Canada, July 31-August 2, 2017, Proceedings  ""","""Ellen, Faith, | Kolokolova, Antonina, | Sack, J.-R.""","""Cham""","""Electronic books.""",9783319621272,"""Lecture notes in computer science ; 10389. 0302-9743""","""1 online resource (xx, 594 pages)"""
77,77,a5174,b6492,"""Nursing uses of computers and information science : proceedings of the IFIP-IMIA International Symposium on Nursing Uses of Computers and Information Science, Calgary, Alberta, Canada, 1-3 May 1985""","""edited by Kathryn J. Hannah, Evelyn J. Guillemin, and Dorothy N. Conklin ; organized by the International Medical Informatics Association (IMIA), a special interest group of the International Federation for Information Processing (IFIP), with the support of the Conference Office of the University of Calgary""","""Amsterdam ; New York : North-Holland ; New York, N.Y., U.S.A. : Sole distributors for the U.S.A. and Canada, Elsevier Science Pub. Co., 1985.""","""Books""",9780444879042,"""nan""","""nan""","""Proceedings of the Third Annual Conference on Evolutionary Programming, 24-26 Feb 94, San Diego, California, USA  ""","""Sebald, A. V. | Fogel, Lawrence J.""","""Singapore ; World Scientific, c1994.""","""nan""",9810218109,"""nan""","""xii, 371 p."""
78,78,a2855,b6492,"""Systems science in health care - La science des systèmes dans le domaine de la santé : proceedings of an international conference held in Paris on 5-9 July 1976""","""edited by A. M. Coblentz and J. R. Walter""","""New York : PBI, 1978.""","""Books""",9780894330674,"""nan""","""nan""","""Proceedings of the Third Annual Conference on Evolutionary Programming, 24-26 Feb 94, San Diego, California, USA  ""","""Sebald, A. V. | Fogel, Lawrence J.""","""Singapore ; World Scientific, c1994.""","""nan""",9810218109,"""nan""","""xii, 371 p."""
83,83,a72,b4213,"""Cooperative agents : applications in the social sciences""","""edited by Nicole J. Saam and Bernd Schmidt""","""Dordrecht ; Boston : Kluwer Academic, [2001] ©2001""","""Books""",9781402001901,"""Theory and decision library. Philosophy and methodology of the social sciences ; v. 32,""","""nan""","""Cooperative agents : applications in the social sciences  ""","""Saam, Nicole J. | Schmidt, Bernd,""","""Dordrecht ; Boston""","""Electronic books.""",9789401711777,"""Theory and decision library. Series A, Philosophy and methodology of the social sciences ; volume 32.""","""1 online resource (vi, 214 pages)"""
86,86,a3723,b1946,"""Autonomous intelligent systems : agents and data mining : international workshop, AIS-ADM 2005, St. Petersburg, Russia, June 6-8, 2005 : proceedings""","""Vladimir Gorodetsky, Jiming Liu, Victor A. Skormin (eds.)""","""Berlin ; New York : Springer, [2005] ©2005""","""Books""",9783540261643,"""Lecture notes in computer science ; 3505,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Computer network security : 6th international conference on mathematical methods, models and architectures for computer network security, MMM-ACNS 2012, St. Petersburg, Russia,...""","""Kotenko, Igor, | Skormin, Victor A.,""","""Heidelberg ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642337048,"""Lecture notes in computer science ; 7531. LNCS sublibrary. SL 5, Computer communication networks and telecommunications.""","""1 online resource (xiii, 318 pages)"""
96,96,a1743,b6667,"""High performance computing in science and engineering '16 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2016""","""Wolfgang E. Nagel, Dietmar H. Kröner, Michael M. Resch, editors""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319470665,"""nan""","""nan""","""Emerging Research in Computing, Information, Communication and Applications : ERCICA 2016  ""","""Shetty, N. R. | Patnaik, L. M. | Prasad, N. H. | Nalini, N.""","""Singapore""","""Electronic books.""",9789811047411,"""nan""","""1 online resource (744 p.)"""
108,108,a1359,b1024,"""Privacy in statistical databases : UNESCO Chair in Data Privacy, International Conference, PSD 2012, Palermo, Italy, September 26-28, 2012. Proceedings""","""edited by Josep Domingo-Ferrer, Ilenia Tinnirello""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642336270,"""Lecture notes in computer science ; 7556,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Privacy in statistical databases : UNESCO Chair in Data Privacy, International Conference, PSD 2012, Palermo, Italy, September 26-28, 2012. Proceedings  ""","""Domingo-Ferrer, Josep. | Tinnirello, Ilenia.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642336270,"""Lecture notes in computer science ; 7556. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource."""
109,109,a4674,b1024,"""Privacy in statistical databases : UNESCO Chair in Data Privacy, international conference, PSD 2010, Corfu, Greece, September 22-24, 2010 : proceedings""","""Josep Domingo-Ferrer, Emmanouil Magkos (eds.)""","""Berlin ; New York : Springer, 2010.""","""Books""",9783642158384,"""Lecture notes in computer science ; 6344,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Privacy in statistical databases : UNESCO Chair in Data Privacy, International Conference, PSD 2012, Palermo, Italy, September 26-28, 2012. Proceedings  ""","""Domingo-Ferrer, Josep. | Tinnirello, Ilenia.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642336270,"""Lecture notes in computer science ; 7556. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource."""
111,111,a3009,b1005,"""Digital watermarking : First International Workshop, IWDW 2002, Seoul, Korea, November 21-22, 2002 : revised papers""","""Fabien A.P. Petitcolas, Hyoung Joong Kim, (eds.)""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540012177,"""Lecture notes in computer science ; 2613,""","""nan""","""Digital forensics and watermaking : 11th International Workshop, IWDW 2012, Shanghai, China, October 31-November 3, 2012, Revised selected papers  ""","""Shi, Yun Q., | Kim, Hyoung Joong, | PÃ©rez-GonzÃ¡lez, F.""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642400995,"""Lecture notes in computer science ; 7809. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xx, 532 pages)"""
116,116,a4088,b59,"""Sports analytics and data science : winning the game with methods and models""","""Thomas W. Miller""","""Old Tappan, New Jersey : Pearson Education, 2015. ©2016""","""Books""",9780133886436,"""nan""","""nan""","""Modeling techniques in predictive analystics with Python and R : a guide to data science  ""","""Miller, Thomas W.""","""Upper Saddle River, NJ""","""Electronic books.""",9780133892123,"""nan""","""1 online resource"""
117,117,a4969,b688,"""Transactions on large-scale data- and knowledge-centered systems XXXI special issue on data and security engineering""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Tran Khanh Dang, Nam Thoai (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662541739,"""Lecture notes in computer science ; 10140,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXVI : special issue on data warehousing and knowledge discovery  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland R., | Bellatreche, Ladjel, | Mohania, Mukesh,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662497845,"""Lecture notes in computer science ; 9670. 0302-9743""","""1 online resource (xi, 109 pages)"""
118,118,a257,b688,"""Transactions on large-scale data- and knowledge-centered systems XXXV""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Sherif Sakr, Imran Razzak, Alshammari Riyad (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662561218,"""Lecture notes in computer science ; 10680,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXVI : special issue on data warehousing and knowledge discovery  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland R., | Bellatreche, Ladjel, | Mohania, Mukesh,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662497845,"""Lecture notes in computer science ; 9670. 0302-9743""","""1 online resource (xi, 109 pages)"""
119,119,a5123,b688,"""Transactions on large-scale data- and knowledge-centered systems XXIV : special issue on database- and expert-systems applications""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Hendrik Decker, Lenka Lhotska, Sebastian Link (eds.)""","""Berlin : Springer, 2016.""","""Books""",9783662492147,"""Lecture notes in computer science ; 9510,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXVI : special issue on data warehousing and knowledge discovery  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland R., | Bellatreche, Ladjel, | Mohania, Mukesh,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662497845,"""Lecture notes in computer science ; 9670. 0302-9743""","""1 online resource (xi, 109 pages)"""
120,120,a5399,b688,"""Transactions on large-scale data- and knowledge-centered systems III : special issue on data and knowledge management in grid and P2P systems""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner (eds.)""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642230745,"""Lecture notes in computer science ; 6790,Lecture notes in computer science. Journal subline,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXVI : special issue on data warehousing and knowledge discovery  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland R., | Bellatreche, Ladjel, | Mohania, Mukesh,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662497845,"""Lecture notes in computer science ; 9670. 0302-9743""","""1 online resource (xi, 109 pages)"""
121,121,a5426,b688,"""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Ladjel Bellatreche, Mukesh Mohania (eds.)""","""Heidelberg : Springer, [2015] ©2015""","""Books""",9783662463352,"""Lecture notes in computer science ; 8970,Transactions on large-scale data- and knowledge-centered systems ; 17,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXVI : special issue on data warehousing and knowledge discovery  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland R., | Bellatreche, Ladjel, | Mohania, Mukesh,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662497845,"""Lecture notes in computer science ; 9670. 0302-9743""","""1 online resource (xi, 109 pages)"""
123,123,a3403,b688,"""Transactions on large-scale data- and knowledge-centered systems XXVI : special issue on data warehousing and knowledge discovery""","""edited by Abdelkader Hameurlain, Josef Küng, Roland Wagner, Ladjel Bellatreche, Mukesh Mohania (eds.)""","""Berlin : Springer, 2016.""","""Books""",9783662497845,"""Lecture notes in computer science ; 9670,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXVI : special issue on data warehousing and knowledge discovery  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland R., | Bellatreche, Ladjel, | Mohania, Mukesh,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662497845,"""Lecture notes in computer science ; 9670. 0302-9743""","""1 online resource (xi, 109 pages)"""
124,124,a3517,b688,"""Transactions on large-scale data- and knowledge centered systems VII""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner (eds.)""","""Berlin : Springer, 2012.""","""Books""",9783642353321,"""Lecture notes in computer science ; 7720,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXVI : special issue on data warehousing and knowledge discovery  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland R., | Bellatreche, Ladjel, | Mohania, Mukesh,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662497845,"""Lecture notes in computer science ; 9670. 0302-9743""","""1 online resource (xi, 109 pages)"""
127,127,a2329,b688,"""Transactions on large-scale data- and knowledge-centered systems XXXIV : special issue on consistency and inconsistency in data-centric applications""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Hendrik Decker (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662559475,"""Lecture notes in computer science ; 10620,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXVI : special issue on data warehousing and knowledge discovery  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland R., | Bellatreche, Ladjel, | Mohania, Mukesh,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662497845,"""Lecture notes in computer science ; 9670. 0302-9743""","""1 online resource (xi, 109 pages)"""
128,128,a2349,b688,"""Transactions on large-scale data- and knowledge -centered systems XXX : special issue on cloud computing""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Klaus-Dieter Schewe, Karoly Bosa (eds.)""","""Berlin : Springer, 2016. Berlin : Springer, 2016.""","""Books""",9783662540541,"""Lecture notes in computer science ; 10130,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXVI : special issue on data warehousing and knowledge discovery  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland R., | Bellatreche, Ladjel, | Mohania, Mukesh,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662497845,"""Lecture notes in computer science ; 9670. 0302-9743""","""1 online resource (xi, 109 pages)"""
130,130,a996,b688,"""Transactions on large-scale data- and knowledge-centered systems XV : selected papers from ADBIS 2013 satellite events""","""Abdelkader Hameurlain ... [and more] (eds.)""","""Berlin : Springer, 2014.""","""Books""",9783662457610,"""Lecture notes in computer science ; 8920,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXVI : special issue on data warehousing and knowledge discovery  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland R., | Bellatreche, Ladjel, | Mohania, Mukesh,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662497845,"""Lecture notes in computer science ; 9670. 0302-9743""","""1 online resource (xi, 109 pages)"""
