,_id,ltable_ID_x,rtable_ID_x,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details
10,11,a3694,b11,"""Practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in R and Python""","""Tony Ojeda, [and three others]""","""Birmingham, [England] : Packt Publishing, 2014. ©2014""","""Books""",9781783980253,"""nan""","""nan""","""Practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in R and Python  ""","""Ojeda, Tony.""","""Birmingham, UK""","""Electronic books.""",9781783980253,"""nan""","""1 online resource"""
11,12,a3432,b12,"""Practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in R and Python""","""Tony Ojeda, Sean Patrick Murphy, Benjamin Bengfort, Abhijit Dasgupta""","""Birmingham, UK : Packt Publishing Ltd., September 2014. ©2014""","""Books""",9781783980246,"""nan""","""nan""","""Practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in R and Python  ""","""Ojeda, Tony.""","""Birmingham, UK""","""Electronic books.""",9781783980253,"""nan""","""1 online resource"""
12,13,a3694,b12,"""Practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in R and Python""","""Tony Ojeda, [and three others]""","""Birmingham, [England] : Packt Publishing, 2014. ©2014""","""Books""",9781783980253,"""nan""","""nan""","""Practical data science cookbook : 89 hands-on recipes to help you complete real-world data science projects in R and Python  ""","""Ojeda, Tony.""","""Birmingham, UK""","""Electronic books.""",9781783980253,"""nan""","""1 online resource"""
13,14,a495,b13,"""Data science and big data computing : frameworks and methodologies""","""Zaigham Mahmood, editor""","""Switzerland : Springer, 2016.""","""Books""",9783319318615,"""nan""","""nan""","""Data science and big data computing : frameworks and methodologies  ""","""Mahmood, Zaigham,""","""Switzerland""","""Electronic books.""",9783319318615,"""nan""","""1 online resource (xxi, 319 pages)"""
14,17,a4175,b14,"""Data science and big data : an environment of computational intelligence""","""Witold Pedrycz, Shyi-Ming Chen, editors""","""Cham : Springer, [2017]. ©2017""","""Books""",9783319534749,"""Studies in big data ; v. 24,""","""nan""","""Data science and big data : an environment of computational intelligence  ""","""Pedrycz, Witold, | Chen, Shyi-Ming,""","""Cham""","""Electronic books.""",9783319534749,"""Studies in big data ; v. 24.""","""1 online resource (viii, 303 pages)."""
15,18,a2484,b15,"""Python for R users : a data science approach""","""Ajay Ohri""","""Hoboken, NJ : John Wiley & Sons, 2017.""","""Books""",9781119126805,"""nan""","""nan""","""Python for R users : a data science approach  ""","""Ohri, A. (Ajay)""","""Hoboken, NJ""","""Electronic books.""",9781119126775,"""nan""","""1 online resource"""
16,19,a4368,b16,"""Neural data science : a primer with MATLAB® and Python™""","""Erik Lee Nylen, Parsec Media, New York, NY, United States, Pascal Wallisch, New York University, New York, NY United States""","""London : San Diego, CA : Academic Press, [2017]""","""Books""",9780128040980,"""nan""","""nan""","""Neural data science : a primer with MATLABÂ® and Pythonâ¢  ""","""Nylen, Erik Lee""","""London""","""Electronic books.""",9780128040980,"""nan""","""1 online resource"""
17,20,a67,b22,"""Statistics for data science : leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks""","""James D. Miller""","""Birmingham, UK : Packt Publishing, 2017. ©2017""","""Books""",9781788295345,"""nan""","""nan""","""Statistics for Data Science  ""","""Miller, James""","""Packt Publishing, 2017.""","""Electronic books.""",9781788290678,"""nan""","""1 online resource (286 p.)"""
18,22,a1353,b26,"""Soft Methods for Data Science""","""edited by Maria Brigida Ferraro, Paolo Giordani, Barbara Vantaggi, Marek Gagolewski, María Ángeles Gil, Przemysław Grzegorzewski, Olgierd Hryniewicz""","""Cham : Springer International Publishing : Imprint : Springer, 2017.""","""Books""",9783319429724,"""Advances in intelligent systems and computing ; 456,""","""nan""","""Soft methods for data science  ""","""Ferraro, Maria Brigida,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319429724,"""Advances in intelligent systems and computing ; v. 456.""","""1 online resource."""
19,24,a107,b28,"""The data science design manual""","""Steven S. Skiena""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319554440,"""Texts in computer science,Undergraduate texts in computer science,""","""nan""","""The data science design manual  ""","""Skiena, Steven S.""","""Cham, Switzerland""","""Electronic books.""",9783319554440,"""Texts in computer science, 1868-0941""","""1 online resource (xvii, 445 pages)"""
20,30,a1869,b34,"""Data science : create teams that ask the right questions and deliver real value""","""Doug Rose""","""[Berkeley, CA] : Apress, 2016.""","""Books""",9781484222539,"""nan""","""nan""","""Data science : create teams that ask the right questions and deliver real value  ""","""Rose, Doug, (Agile coach)""","""[Berkeley, CA]""","""nan""",9781484222522,"""nan""","""xix, 251 pages"""
21,31,a3334,b36,"""Federal data science : transforming government and agricultural policy using artificial intelligence""","""edited by Feras A. Batarseh, Ruixin Yang""","""London : Academic Press, 2018.""","""Books""",9780128124444,"""nan""","""nan""","""Federal data science : transforming government and agricultural policy using artificial intelligence  ""","""Batarseh, Feras, | Yang, Ruixin,""","""London""","""Electronic books.""",9780128124444,"""nan""","""1 online resource"""
22,32,a539,b39,"""Mastering Python for data science : explore the world of data science through Python and learn how to make sense of data""","""Samir Madhavan""","""Brimingham, UK : Packt Publishing, 2015. ©2015""","""Books""",9781784392628,"""Community experience distilled,""","""nan""","""Mastering Python for data science : explore the world of data science through Python and learn how to make sense of data  ""","""Madhavan, Samir""","""Brimingham, UK""","""Electronic books.""",9781784392628,"""Community experience distilled.""","""1 online resource"""
23,33,a539,b40,"""Mastering Python for data science : explore the world of data science through Python and learn how to make sense of data""","""Samir Madhavan""","""Brimingham, UK : Packt Publishing, 2015. ©2015""","""Books""",9781784392628,"""Community experience distilled,""","""nan""","""Mastering Python for data science : explore the world of data science through Python and learn how to make sense of data  ""","""Madhavan, Samir""","""Brimingham, UK""","""Electronic books.""",9781784392628,"""Community experience distilled.""","""1 online resource"""
24,34,a3975,b46,"""Perspectives on data science for software engineering""","""edited by Tim Menzies, Laurie Williams, Thomas Zimmermann""","""Cambridge, MA : Morgan Kaufmann is an imprint of Elsevier, 2016.""","""Books""",9780128042618,"""nan""","""nan""","""Perspectives on data science for software engineering  ""","""Menzies, Tim, | Williams, Laurie, | Zimmermann, Thomas,""","""Cambridge, MA""","""Electronic books.""",9780128042618,"""nan""","""1 online resource"""
25,36,a3975,b47,"""Perspectives on data science for software engineering""","""edited by Tim Menzies, Laurie Williams, Thomas Zimmermann""","""Cambridge, MA : Morgan Kaufmann is an imprint of Elsevier, 2016.""","""Books""",9780128042618,"""nan""","""nan""","""Perspectives on data science for software engineering  ""","""Menzies, Tim, | Williams, Laurie, | Zimmermann, Thomas,""","""Cambridge, MA""","""Electronic books.""",9780128042618,"""nan""","""1 online resource"""
26,41,a2695,b48,"""Process mining : data science in action""","""Wil van der Aalst""","""Second edition. Heidelberg : Springer, 2016.""","""Books""",9783662498514,"""nan""","""nan""","""Process mining : data science in action  ""","""Aalst, Wil van der""","""Heidelberg""","""Electronic books.""",9783662498514,"""nan""","""1 online resource (xix, 467 pages)"""
27,47,a3506,b49,"""Advanced statistical methods in data science""","""Ding-Geng (Din) Chen, Jiahua Chen, Xuewen Lu, Grace Y. Yi, Hao Yu, editors""","""Singapore : Springer, 2016.""","""Books""",9789811025945,"""ICSA book series in statistics,""","""nan""","""Advanced statistical methods in data science  ""","""Chen, Ding-Geng, | Chen, Jiahua, | Lu, Xuewen, | Yi, Grace, | Yu, Hao,""","""Singapore""","""Electronic books. | Conference papers and proceedings.""",9789811025945,"""ICSA book series in statistics.""","""1 online resource."""
28,54,a1759,b50,"""Data science on the Google cloud platform : implementing end-to-end real-time data pipelines: from ingest to machine learning""","""Valliappa Lakshmanan""","""First edition. Sebastopol, CA : O'Reilly Media, 2018. ©2018""","""Books""",9781491974537,"""nan""","""nan""","""Data Science on the Google Cloud Platform  ""","""Lakshmanan, Valliappa""","""O'Reilly Media, Inc., 2017.""","""Electronic books.""",9781491974551,"""nan""","""1 online resource (408 p.)"""
29,55,a3975,b51,"""Perspectives on data science for software engineering""","""edited by Tim Menzies, Laurie Williams, Thomas Zimmermann""","""Cambridge, MA : Morgan Kaufmann is an imprint of Elsevier, 2016.""","""Books""",9780128042618,"""nan""","""nan""","""Perspectives on data science for software engineering  ""","""Menzies, Tim, | Williams, Laurie, | Zimmermann, Thomas,""","""Cambridge, MA""","""Electronic books.""",9780128042618,"""nan""","""1 online resource"""
30,77,a4088,b56,"""Sports analytics and data science : winning the game with methods and models""","""Thomas W. Miller""","""Old Tappan, New Jersey : Pearson Education, 2015. ©2016""","""Books""",9780133886436,"""nan""","""nan""","""Modeling techniques in predictive analystics with Python and R : a guide to data science  ""","""Miller, Thomas W.""","""Upper Saddle River, NJ""","""Electronic books.""",9780133892123,"""nan""","""1 online resource"""
31,80,a3115,b58,"""Big data at work : the data science revolution and organizational psychology""","""edited by Scott Tonidandel, Eden B. King, and Jose M. Cortina""","""New York : Routledge, Taylor & Francis Group, 2016.""","""Books""",9781848725812,"""Organizational frontiers series,Frontiers of industrial and organizational psychology,""","""nan""","""Big data at work : the data science revolution and organizational psychology  ""","""Tonidandel, Scott. | King, Eden. | Cortina, Jose M.""","""New York""","""nan""",9781848725812,"""Organizational frontiers series.""","""xiii, 367 pages"""
32,88,a4088,b59,"""Sports analytics and data science : winning the game with methods and models""","""Thomas W. Miller""","""Old Tappan, New Jersey : Pearson Education, 2015. ©2016""","""Books""",9780133886436,"""nan""","""nan""","""Modeling techniques in predictive analystics with Python and R : a guide to data science  ""","""Miller, Thomas W.""","""Upper Saddle River, NJ""","""Electronic books.""",9780133892123,"""nan""","""1 online resource"""
33,112,a104,b66,"""Analytics in a big data world : the essential guide to data science and its applications""","""Bart Baesens""","""Hoboken, New Jersey : Wiley, 2014. ©2014""","""Books""",9781118892718,"""Wiley and SAS business series,""","""nan""","""Analytics in a big data world : the essential guide to data science and its applications  ""","""Baesens, Bart.""","""Hoboken, New Jersey""","""Electronic books.""",9781119204183,"""Wiley and SAS business series.""","""1 online resource."""
34,113,a247,b66,"""Analytics in a big data world : the essential guide to data science and its applications""","""Bart Baesens""","""Hoboken, New Jersey : Wiley, [2014]""","""Books""",9781119204183,"""Wiley and SAS business series,""","""nan""","""Analytics in a big data world : the essential guide to data science and its applications  ""","""Baesens, Bart.""","""Hoboken, New Jersey""","""Electronic books.""",9781119204183,"""Wiley and SAS business series.""","""1 online resource."""
35,114,a2468,b66,"""Analytics in a big data world : the essential guide to data science and its applications""","""Bart Baesens""","""Hoboken, New Jersey : John Wiley & Sons, Inc., [2014]""","""Books""",9781118892701,"""Wiley and SAS business series,""","""nan""","""Analytics in a big data world : the essential guide to data science and its applications  ""","""Baesens, Bart.""","""Hoboken, New Jersey""","""Electronic books.""",9781119204183,"""Wiley and SAS business series.""","""1 online resource."""
36,117,a1275,b67,"""Introduction to data science for social and policy research : collecting and organizing data with R and Python""","""José Manuel Magallanes Reyes""","""Cambridge, United Kingdom ; New York, NY : Cambridge University Press, 2017. ©2017""","""Books""",9781107117419,"""nan""","""nan""","""Introducing data science to social and policy analysts : from collecting to organizing data with R and Python  ""","""Magallanes Reyes, Jose Manuel""","""Cambridge, United Kingdom ; New York, NY""","""Electronic books.""",9781316338599,"""nan""","""1 online resource"""
37,118,a3750,b68,"""Data science : innovative developments in data analysis and clustering""","""Francesco Palumbo, Angela Montanari, Maurizio Vichi, editors""","""Cham : Springer, [2017]. ©2017""","""Books""",9783319557236,"""Studies in classification, data analysis, and knowledge organization,""","""nan""","""Data science : innovative developments in data analysis and clustering  ""","""Palumbo, Francesco, | Montanari, Angela, | Vichi, Maurizio,""","""Cham""","""Electronic books.""",9783319557236,"""Studies in classification, data analysis, and knowledge organization.""","""1 online resource."""
38,119,a3050,b68,"""Advances in data science and classification : proceedings of the 6th Conference of the International Federation of Classification Societies (IFCS-98), Università ""La Sapienza"", Rome, 21-24 July, 1998""","""Alfredo Rizzi, Maurizio Vichi, Hans-Hermann Bock, eds""","""Berlin ; New York : Springer, [1998] ©1998""","""Books""",9783540646419,"""Studies in classification, data analysis, and knowledge organization,""","""nan""","""Data science : innovative developments in data analysis and clustering  ""","""Palumbo, Francesco, | Montanari, Angela, | Vichi, Maurizio,""","""Cham""","""Electronic books.""",9783319557236,"""Studies in classification, data analysis, and knowledge organization.""","""1 online resource."""
39,121,a1776,b69,"""Soft computing in data science : third International Conference, SCDS 2017, Yogyakarta, Indonesia, November 27-28, 2017, Proceedings""","""Azlinah Mohamed, Michael W. Berry, Bee Wah Yap (eds.)""","""Singapore : Springer, 2017.""","""Books""",9789811072420,"""Communications in computer and information science ; 788,""","""nan""","""Soft computing in data science : third International Conference, SCDS 2017, Yogyakarta, Indonesia, November 27-28, 2017, Proceedings  ""","""Mohamed, Azlinah, | Berry, Michael W. | Yap, Bee Wah,""","""Singapore""","""Electronic books.""",9789811072420,"""Communications in computer and information science ; 788. 1865-0929""","""1 online resource (xvxv, 317 pages)"""
40,147,a3510,b71,"""Mathematical problems in data science : theoretical and practical methods""","""Li M. Chen, Zhixun Su, Bo Jiang""","""Cham : Springer, 2015.""","""Books""",9783319251271,"""nan""","""nan""","""Mathematical problems in data science : theoretical and practical methods  ""","""Chen, Li M.""","""Cham""","""Electronic books.""",9783319251271,"""nan""","""1 online resource (xv, 213 pages)"""
41,151,a3977,b72,"""Cyber-risk informatics : engineering evaluation with data science""","""Mehmet Sahinoglu""","""Hoboken, New Jersey : Wiley, 2016.""","""Books""",9781119087526,"""nan""","""nan""","""Cyber-risk informatics : engineering evaluation with data science  ""","""Sahinoglu, Mehmet, 1951-""","""Hoboken, New Jersey""","""Electronic books.""",9781119087533,"""nan""","""1 online resource"""
42,152,a4708,b74,"""Game theory for data science : eliciting truthful information""","""Boi Faltings, Goran Radanovic""","""[San Rafael, California] : Morgan & Claypool Publishers, [2017] ©2017""","""Books""",9781627056083,"""Synthesis lectures on artificial intelligence and machine learning ; #35,""","""nan""","""Game theory for data science : eliciting truthful information  ""","""Faltings, Boi""","""[San Rafael, California]""","""Electronic books.""",9781627056083,"""Synthesis lectures on artificial intelligence and machine learning ; # 35. 1939-4616""","""1 online resource (xv, 135 pages)"""
43,169,a1086,b91,"""Functional programming in R : advanced statistical programming for data science, analysis and finance""","""Thomas Mailund""","""[United States] : Apress, 2017. New York, NY : Distributed to the book trade worldwide by Springer, ©2017""","""Books""",9781484227466,"""nan""","""nan""","""Beginning data science in R : data analysis, visualization, and modelling for the data scientist  ""","""Mailund, Thomas""","""New York""","""Electronic books.""",9781484226711,"""nan""","""1 online resource"""
44,170,a2666,b91,"""Advanced Object-Oriented Programming in R : Statistical Programming for Data Science, Analysis and Finance""","""Thomas Mailund""","""[New York] : Springer Science and Business Media : Apress, [2017]""","""Books""",9781484229194,"""nan""","""nan""","""Beginning data science in R : data analysis, visualization, and modelling for the data scientist  ""","""Mailund, Thomas""","""New York""","""Electronic books.""",9781484226711,"""nan""","""1 online resource"""
45,172,a3029,b91,"""Beginning data science in R : data analysis, visualization, and modelling for the data scientist""","""Thomas Mailund""","""New York : Apress, [2017]. ©2017""","""Books""",9781484226711,"""nan""","""nan""","""Beginning data science in R : data analysis, visualization, and modelling for the data scientist  ""","""Mailund, Thomas""","""New York""","""Electronic books.""",9781484226711,"""nan""","""1 online resource"""
46,174,a13,b94,"""Data smart : using data science to transform information into insight""","""John W. Foreman""","""Indianapolis : Wiley, [2014] ©2014""","""Books""",9781118839867,"""nan""","""nan""","""Data smart : using data science to transform information into insight  ""","""Foreman, John W.""","""Hoboken, New Jersey""","""nan""",9781118661468,"""nan""","""xx, 409 pages"""
47,178,a2650,b94,"""Data smart : using data science to transform information into insight""","""John W. Foreman""","""Indianapolis, IN : John Wiley & Sons, [2014] ©2014""","""Books""",9781118661468,"""nan""","""nan""","""Data smart : using data science to transform information into insight  ""","""Foreman, John W.""","""Hoboken, New Jersey""","""nan""",9781118661468,"""nan""","""xx, 409 pages"""
48,182,a4406,b94,"""Data smart : using data science to transform information into insight""","""John W. Foreman""","""Indianapolis, IN : John Wiley & Sons, Inc., [2014] ©2014""","""Books""",9781118661468,"""nan""","""nan""","""Data smart : using data science to transform information into insight  ""","""Foreman, John W.""","""Hoboken, New Jersey""","""nan""",9781118661468,"""nan""","""xx, 409 pages"""
49,185,a287,b95,"""R for data science : import, tidy, transform, visualize, and model data""","""Hadley Wickham & Garrett Grolemund""","""First edition. Sebastopol, CA : O'Reilly Media, 2016. ©2017""","""Books""",9781491910368,"""nan""","""nan""","""R for data science : import, tidy, transform, visualize, and model data  ""","""Wickham, Hadley""","""Sebastopol, CA""","""nan""",9781491910399,"""nan""","""xxv, 492 pages"""
50,187,a4412,b95,"""R for data science : import, tidy, transform, visualize, and model data""","""Hadley Wickham and Garrett Grolemund""","""First edition. Sebastopol, CA : O'Reilly Media, 2016. ©2017""","""Books""",9781491910399,"""nan""","""nan""","""R for data science : import, tidy, transform, visualize, and model data  ""","""Wickham, Hadley""","""Sebastopol, CA""","""nan""",9781491910399,"""nan""","""xxv, 492 pages"""
51,189,a4088,b99,"""Sports analytics and data science : winning the game with methods and models""","""Thomas W. Miller""","""Old Tappan, New Jersey : Pearson Education, 2015. ©2016""","""Books""",9780133886436,"""nan""","""nan""","""Marketing data science : modeling techniques in predictive analytics with R and Python  ""","""Miller, Thomas W.""","""Old Tappan, New Jersey""","""Electronic books.""",9780133887662,"""nan""","""1 online resource"""
52,193,a4088,b100,"""Sports analytics and data science : winning the game with methods and models""","""Thomas W. Miller""","""Old Tappan, New Jersey : Pearson Education, 2015. ©2016""","""Books""",9780133886436,"""nan""","""nan""","""Sports analytics and data science : winning the game with methods and models  ""","""Miller, Thomas W., 1946-""","""Old Tappan, New Jersey""","""Electronic books.""",9780133887402,"""nan""","""1 online resource"""
53,196,a2952,b103,"""Introduction to data science : a Python approach to concepts, techniques and applications""","""Laura Igual, Santi Seguí ; with contributions from Jordi Vitrià... [et al.]""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319500171,"""Undergraduate topics in computer science,""","""nan""","""Introduction to data science : a Python approach to concepts, techniques and applications  ""","""Igual, Laura.""","""Cham, Switzerland""","""Electronic books.""",9783319500171,"""Undergraduate topics in computer science.""","""1 online resource."""
54,203,a1086,b105,"""Functional programming in R : advanced statistical programming for data science, analysis and finance""","""Thomas Mailund""","""[United States] : Apress, 2017. New York, NY : Distributed to the book trade worldwide by Springer, ©2017""","""Books""",9781484227466,"""nan""","""nan""","""Functional programming in R : advanced statistical programming for data science, analysis and finance  ""","""Mailund, Thomas""","""[United States]""","""Electronic books.""",9781484227466,"""nan""","""1 online resource (xv, 104 pages)"""
55,204,a2666,b105,"""Advanced Object-Oriented Programming in R : Statistical Programming for Data Science, Analysis and Finance""","""Thomas Mailund""","""[New York] : Springer Science and Business Media : Apress, [2017]""","""Books""",9781484229194,"""nan""","""nan""","""Functional programming in R : advanced statistical programming for data science, analysis and finance  ""","""Mailund, Thomas""","""[United States]""","""Electronic books.""",9781484227466,"""nan""","""1 online resource (xv, 104 pages)"""
56,205,a2752,b105,"""Metaprogramming in R advanced statistical programming for data science, analysis, and finance""","""Thomas Mailund""","""[United States] : Apress, 2017.""","""Books""",9781484228814,"""nan""","""nan""","""Functional programming in R : advanced statistical programming for data science, analysis and finance  ""","""Mailund, Thomas""","""[United States]""","""Electronic books.""",9781484227466,"""nan""","""1 online resource (xv, 104 pages)"""
57,206,a3029,b105,"""Beginning data science in R : data analysis, visualization, and modelling for the data scientist""","""Thomas Mailund""","""New York : Apress, [2017]. ©2017""","""Books""",9781484226711,"""nan""","""nan""","""Functional programming in R : advanced statistical programming for data science, analysis and finance  ""","""Mailund, Thomas""","""[United States]""","""Electronic books.""",9781484227466,"""nan""","""1 online resource (xv, 104 pages)"""
58,207,a5213,b105,"""Functional data structures in R advanced statistical programming in R""","""Thomas Mailund""","""Berkeley, CA : Apress, 2017.""","""Books""",9781484231449,"""nan""","""nan""","""Functional programming in R : advanced statistical programming for data science, analysis and finance  ""","""Mailund, Thomas""","""[United States]""","""Electronic books.""",9781484227466,"""nan""","""1 online resource (xv, 104 pages)"""
59,208,a1086,b106,"""Functional programming in R : advanced statistical programming for data science, analysis and finance""","""Thomas Mailund""","""[United States] : Apress, 2017. New York, NY : Distributed to the book trade worldwide by Springer, ©2017""","""Books""",9781484227466,"""nan""","""nan""","""Metaprogramming in R : advanced statistical programming for data science, analysis, and finance  ""","""Mailund, Thomas.""","""[United States]""","""Electronic books.""",9781484228814,"""nan""","""1 online resource"""
60,209,a2666,b106,"""Advanced Object-Oriented Programming in R : Statistical Programming for Data Science, Analysis and Finance""","""Thomas Mailund""","""[New York] : Springer Science and Business Media : Apress, [2017]""","""Books""",9781484229194,"""nan""","""nan""","""Metaprogramming in R : advanced statistical programming for data science, analysis, and finance  ""","""Mailund, Thomas.""","""[United States]""","""Electronic books.""",9781484228814,"""nan""","""1 online resource"""
61,210,a2752,b106,"""Metaprogramming in R advanced statistical programming for data science, analysis, and finance""","""Thomas Mailund""","""[United States] : Apress, 2017.""","""Books""",9781484228814,"""nan""","""nan""","""Metaprogramming in R : advanced statistical programming for data science, analysis, and finance  ""","""Mailund, Thomas.""","""[United States]""","""Electronic books.""",9781484228814,"""nan""","""1 online resource"""
62,214,a4088,b108,"""Sports analytics and data science : winning the game with methods and models""","""Thomas W. Miller""","""Old Tappan, New Jersey : Pearson Education, 2015. ©2016""","""Books""",9780133886436,"""nan""","""nan""","""Sports analytics and data science : winning the game with methods and models  ""","""Miller, Thomas W., 1946-""","""Old Tappan, New Jersey""","""Statistics. | Statistics.""",9780133886436,"""nan""","""xiii, 337 pages"""
63,217,a3051,b109,"""Computer age statistical inference : algorithms, evidence, and data science""","""Bradley Efron, Stanford University, California, Trevor Hastie, Stanford University, California""","""New York, NY : Cambridge University Press, 2016.""","""Books""",9781107149892,"""Institute of Mathematical Statistics monographs ; 5,""","""nan""","""Computer age statistical inference : algorithms, evidence, and data science  ""","""Efron, Bradley""","""New York""","""Electronic books.""",9781316576533,"""Institute of Mathematical Statistics monographs ; 5.""","""1 online resource (xx, 475 pages)"""
64,218,a3921,b109,"""Computer age statistical inference : algorithms, evidence, and data science""","""Bradley Efron [and] Trevor Hastie""","""New York : Cambridge University Press, 2016. ©2016.""","""Books""",9781316576533,"""Institute of Mathematical Statistics monographs ; 5,""","""nan""","""Computer age statistical inference : algorithms, evidence, and data science  ""","""Efron, Bradley""","""New York""","""Electronic books.""",9781316576533,"""Institute of Mathematical Statistics monographs ; 5.""","""1 online resource (xx, 475 pages)"""
65,220,a4088,b110,"""Sports analytics and data science : winning the game with methods and models""","""Thomas W. Miller""","""Old Tappan, New Jersey : Pearson Education, 2015. ©2016""","""Books""",9780133886436,"""nan""","""nan""","""Marketing data science : modeling techniques in predictive analytics with R and Python  ""","""Miller, Thomas W.""","""Old Tappan, New Jersey""","""Electronic books.""",9780133887662,"""nan""","""1 online resource"""
66,224,a4088,b111,"""Sports analytics and data science : winning the game with methods and models""","""Thomas W. Miller""","""Old Tappan, New Jersey : Pearson Education, 2015. ©2016""","""Books""",9780133886436,"""nan""","""nan""","""Web and network data science : modeling techniques in predictive analytics  ""","""Miller, Thomas W., 1946-""","""Upper Saddle River, New Jersey""","""Electronic books.""",9780133887655,"""nan""","""1 online resource"""
67,228,a4088,b112,"""Sports analytics and data science : winning the game with methods and models""","""Thomas W. Miller""","""Old Tappan, New Jersey : Pearson Education, 2015. ©2016""","""Books""",9780133886436,"""nan""","""nan""","""Sports analytics and data science : winning the game with methods and models  ""","""Miller, Thomas W., 1946-""","""Old Tappan, New Jersey""","""Electronic books.""",9780133887402,"""nan""","""1 online resource"""
