ID,Title,Author,Publication,Format,ISBN,Series,Physical Details
b19,"""data science and simulation in transportation research""","""janssens, davy, | yasar, ansar-ul-haque, | knapen, luk,""","""hershey, pa""","""electronic books.""",9781466649217,"""advances in data mining and database management (admdm) book series.""","""1 online resource"""
b20,"""julia for data science : explore the world of data science from scratch with julia by your side""","""joshi, anshul""","""birmingham, uk""","""electronic books.""",9781783553860,"""nan""","""1 online resource"""
b21,"""julia for data science : explore the world of data science from scratch with julia by your side""","""joshi, anshul""","""birmingham, uk""","""electronic books.""",9781783553860,"""nan""","""1 online resource"""
b22,"""statistics for data science""","""miller, james""","""packt publishing, 2017.""","""electronic books.""",9781788290678,"""nan""","""1 online resource (286 p.)"""
b24,"""beginning data science with r""","""pathak, manas a.""","""cham""","""electronic books.""",9783319120669,"""nan""","""1 online resource (xi, 157 pages)"""
b25,"""r for data science""","""toomey, dan""","""birmingham, uk""","""electronic books.""",9781784392659,"""community experience distilled.""","""1 online resource"""
b26,"""soft methods for data science""","""ferraro, maria brigida,""","""switzerland""","""electronic books. | conference papers and proceedings.""",9783319429724,"""advances in intelligent systems and computing ; v. 456.""","""1 online resource."""
b27,"""data science for dummies""","""pierson, lillian""","""hoboken, new jersey""","""electronic books.""",9781119327653,"""--for dummies.""","""1 online resource"""
b28,"""the data science design manual""","""skiena, steven s.""","""cham, switzerland""","""electronic books.""",9783319554440,"""texts in computer science, 1868-0941""","""1 online resource (xvii, 445 pages)"""
b29,"""r for data science""","""toomey, dan""","""birmingham, uk""","""electronic books.""",9781784392659,"""community experience distilled.""","""1 online resource"""
b30,"""r fã¼r data science""","""grolemund, garrett""","""dpunkt, 2017.""","""electronic books.""",9781492065432,"""nan""","""1 online resource (502 p.)"""
b31,"""data science for dummies""","""pierson, lillian""","""hoboken, new jersey""","""electronic books.""",9781119327653,"""--for dummies.""","""1 online resource"""
b32,"""introducing data science : big data, machine learning, and more, using python tools""","""cielen, davy""","""shelter island, ny""","""electronic books.""",9781633430037,"""nan""","""1 online resource (1 volume)"""
b33,"""introducing data science : big data, machine learning, and more, using python tools""","""cielen, davy""","""shelter island, ny""","""electronic books.""",9781633430037,"""nan""","""1 online resource"""
b34,"""data science : create teams that ask the right questions and deliver real value""","""rose, doug, (agile coach)""","""[berkeley, ca]""","""nan""",9781484222522,"""nan""","""xix, 251 pages"""
b35,"""business intelligence, analytics, and data science : a managerial perspective""","""sharda, ramesh""","""boston""","""nan""",9780134633282,"""nan""","""xxvi, 486 pages ; 26 cm"""
b36,"""federal data science : transforming government and agricultural policy using artificial intelligence""","""batarseh, feras, | yang, ruixin,""","""london""","""electronic books.""",9780128124444,"""nan""","""1 online resource"""
b37,"""parallel computing for data science : with examples in r, c++ and cuda""","""matloff, norman s.""","""boca raton, fl""","""electronic books.""",9781466587038,"""chapman & hall/crc the r series (crc press)""","""1 online resource (xxiii, 310 pages)"""
b39,"""mastering python for data science : explore the world of data science through python and learn how to make sense of data""","""madhavan, samir""","""brimingham, uk""","""electronic books.""",9781784392628,"""community experience distilled.""","""1 online resource"""
b40,"""mastering python for data science : explore the world of data science through python and learn how to make sense of data""","""madhavan, samir""","""brimingham, uk""","""electronic books.""",9781784392628,"""community experience distilled.""","""1 online resource"""
b41,"""python data science essentials : become an efficient data science practitioner by thoroughly understanding the key concepts of python""","""boschetti, alberto""","""birmingham, uk""","""electronic books.""",9781785287893,"""community experience distilled.""","""1 online resource"""
b42,"""python data science essentials : become an efficient data science practitioner by thoroughly understanding the key concepts of python""","""boschetti, alberto""","""birmingham, uk""","""electronic books.""",9781785287893,"""community experience distilled.""","""1 online resource"""
b43,"""mastering java for data science : building data science applications in java""","""grigorev, alexey""","""birmingham, uk""","""electronic books.""",9781785887390,"""nan""","""1 online resource"""
b44,"""mastering java for data science : building data science applications in java""","""grigorev, alexey""","""birmingham, uk""","""electronic books.""",9781785887390,"""nan""","""1 online resource"""
b45,"""data science and simulation in transportation research""","""janssens, davy, | yasar, ansar-ul-haque, | knapen, luk,""","""hershey, pennsylvania""","""nan""",9781466649200,"""nan""","""xxiv, 433 pages"""
b46,"""perspectives on data science for software engineering""","""menzies, tim, | williams, laurie, | zimmermann, thomas,""","""cambridge, ma""","""electronic books.""",9780128042618,"""nan""","""1 online resource"""
b47,"""perspectives on data science for software engineering""","""menzies, tim, | williams, laurie, | zimmermann, thomas,""","""cambridge, ma""","""electronic books.""",9780128042618,"""nan""","""1 online resource"""
b48,"""process mining : data science in action""","""aalst, wil van der""","""heidelberg""","""electronic books.""",9783662498514,"""nan""","""1 online resource (xix, 467 pages)"""
b49,"""advanced statistical methods in data science""","""chen, ding-geng, | chen, jiahua, | lu, xuewen, | yi, grace, | yu, hao,""","""singapore""","""electronic books. | conference papers and proceedings.""",9789811025945,"""icsa book series in statistics.""","""1 online resource."""
b50,"""data science on the google cloud platform""","""lakshmanan, valliappa""","""o'reilly media, inc., 2017.""","""electronic books.""",9781491974551,"""nan""","""1 online resource (408 p.)"""
b51,"""perspectives on data science for software engineering""","""menzies, tim, | williams, laurie, | zimmermann, thomas,""","""cambridge, ma""","""electronic books.""",9780128042618,"""nan""","""1 online resource"""
b52,"""new advances in statistics and data science""","""chen, ding-geng, | jin, zhezhen, | li, gang, | li, yi, | liu, aiyi, | zhao, yichuan,""","""cham, switzerland""","""electronic books.""",9783319694160,"""icsa book series in statistics.""","""1 online resource."""
b53,"""data science, classification, and related methods : proceedings of the fifth conference of the international federation of classification societies (ifcs-96), kobe, japan, march...""","""hayashi, chikio,""","""tokyo ; springer, â©1998.""","""electronic books. | conference papers and proceedings.""",9784431659501,"""studies in classification, data analysis, and knowledge organization.""","""1 online resource (xv, 780 pages)"""
b55,"""data science algorithms in a week : data analysis, machine learning, and more""","""natingga, dã¡vid""","""birmingham, uk""","""electronic books.""",9781787282742,"""nan""","""1 online resource"""
b56,"""modeling techniques in predictive analystics with python and r : a guide to data science""","""miller, thomas w.""","""upper saddle river, nj""","""electronic books.""",9780133892123,"""nan""","""1 online resource"""
b58,"""big data at work : the data science revolution and organizational psychology""","""tonidandel, scott. | king, eden. | cortina, jose m.""","""new york""","""nan""",9781848725812,"""organizational frontiers series.""","""xiii, 367 pages"""
b59,"""modeling techniques in predictive analystics with python and r : a guide to data science""","""miller, thomas w.""","""upper saddle river, nj""","""electronic books.""",9780133892123,"""nan""","""1 online resource"""
b60,"""data science and social research : epistemology, methods, technology and applications""","""lauro, n. c. | amaturo, e. | grassia, maria gabriella. | aragona, b. | marino, marina.""","""cham""","""electronic books.""",9783319554778,"""studies in classification, data analysis, and knowledge organization.""","""1 online resource (291 p.)."""
b61,"""python data science cookbook : over 60 practical recipes to help you explore python and its robust data science capabilities""","""subramanian, gopi""","""birmingham, uk""","""electronic books.""",9781784393663,"""quick answers to common problems.""","""1 online resource"""
b62,"""python data science cookbook : over 60 practical recipes to help you explore python and its robust data science capabilities""","""subramanian, gopi""","""birmingham, uk""","""electronic books.""",9781784393663,"""quick answers to common problems.""","""1 online resource"""
b63,"""between data science and applied data analysis : proceedings of the 26th annual conference of the gesellschaft fã¼r klassifikation e.v., university of mannheim, july 22-24, 2002""","""schader, martin.""","""berlin, heidelberg""","""electronic books. | statistics.""",9783642189913,"""studies in classification, data analysis, and knowledge organization.""","""1 online resource (xiii, 693 pages)"""
b65,"""jupyter for data science : exploratory analysis, statistical modeling, machine learning, and data visualization with jupyter""","""toomey, dan""","""birmingham, uk""","""electronic books.""",9781785883293,"""nan""","""1 online resource"""
b66,"""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey""","""electronic books.""",9781119204183,"""wiley and sas business series.""","""1 online resource."""
b67,"""introducing data science to social and policy analysts : from collecting to organizing data with r and python""","""magallanes reyes, jose manuel""","""cambridge, united kingdom ; new york, ny""","""electronic books.""",9781316338599,"""nan""","""1 online resource"""
b68,"""data science : innovative developments in data analysis and clustering""","""palumbo, francesco, | montanari, angela, | vichi, maurizio,""","""cham""","""electronic books.""",9783319557236,"""studies in classification, data analysis, and knowledge organization.""","""1 online resource."""
b69,"""soft computing in data science : third international conference, scds 2017, yogyakarta, indonesia, november 27-28, 2017, proceedings""","""mohamed, azlinah, | berry, michael w. | yap, bee wah,""","""singapore""","""electronic books.""",9789811072420,"""communications in computer and information science ; 788. 1865-0929""","""1 online resource (xvxv, 317 pages)"""
b70,"""data science : second international conference, icds 2015 sydney, australia, august 8-9, 2015. proceedings""","""zhang, chengqi, | huang, wei, | shi, yong, | yu, philip s. | zhu, yangyong, | tian, yingjie, | zhang, peng, | he, jing,""","""cham""","""electronic books.""",9783319244747,"""lecture notes in computer science ; 9208. 0302-9743 lncs sublibrary. sl 3, information systems and applications, incl. internet/web, and hci.""","""1 online resource (x, 194 p.)"""
b71,"""mathematical problems in data science : theoretical and practical methods""","""chen, li m.""","""cham""","""electronic books.""",9783319251271,"""nan""","""1 online resource (xv, 213 pages)"""
b72,"""cyber-risk informatics : engineering evaluation with data science""","""sahinoglu, mehmet, 1951-""","""hoboken, new jersey""","""electronic books.""",9781119087533,"""nan""","""1 online resource"""
b73,"""strategies in biomedical data science : driving force for innovation""","""etchings, jay, 1966-""","""hoboken, new jersey""","""electronic books.""",9781119255970,"""wiley and sas business series.""","""1 online resource"""
b74,"""game theory for data science : eliciting truthful information""","""faltings, boi""","""[san rafael, california]""","""electronic books.""",9781627056083,"""synthesis lectures on artificial intelligence and machine learning ; # 35. 1939-4616""","""1 online resource (xv, 135 pages)"""
b75,"""strategies in biomedical data science : driving force for innovation""","""etchings, jay, 1966-""","""hoboken, new jersey""","""electronic books.""",9781119255970,"""wiley and sas business series.""","""1 online resource"""
b76,"""r data science essentials : learn the essence of data science and visualization using r in no time at all""","""koushik, raja b.""","""birmingham, uk""","""electronic books.""",9781785286360,"""community experience distilled.""","""1 online resource"""
b77,"""scala for data science : leverage the power of scala to build scalable, robust data science applications""","""bugnion, pascal""","""birmingham, uk""","""electronic books.""",9781785289385,"""community experience distilled.""","""1 online resource"""
b78,"""python data science essentials : become an efficient data science practitioner by understanding python's key concepts""","""boschetti alberto""","""birmingham, uk""","""electronic books.""",9781786462831,"""nan""","""1 online resource"""
b79,"""java for data science : examine the techniques and java tools supporting the growing field of data science""","""reese, richard m.""","""birmingham, uk""","""electronic books.""",9781785281242,"""nan""","""1 online resource"""
b80,"""data science with python : unleash the power of python and its robust data science capabilities : a course in four modules""","""thakur, ankita""","""birmingham, [england]""","""electronic books.""",9781786468413,"""nan""","""1 online resource"""
b81,"""r data science essentials : learn the essence of data science and visualization using r in no time at all""","""koushik, raja b.""","""birmingham, uk""","""electronic books.""",9781785286360,"""community experience distilled.""","""1 online resource"""
b82,"""scala for data science : leverage the power of scala to build scalable, robust data science applications""","""bugnion, pascal""","""birmingham, uk""","""electronic books.""",9781785289385,"""community experience distilled.""","""1 online resource"""
b83,"""data science with python : unleash the power of python and its robust data science capabilities : a course in four modules""","""thakur, ankita""","""birmingham, [england]""","""electronic books.""",9781786468413,"""nan""","""1 online resource"""
b84,"""python data science essentials : become an efficient data science practitioner by understanding python's key concepts""","""boschetti alberto""","""birmingham, uk""","""electronic books.""",9781786462831,"""nan""","""1 online resource"""
b85,"""java for data science : examine the techniques and java tools supporting the growing field of data science""","""reese, richard m.""","""birmingham, uk""","""electronic books.""",9781785281242,"""nan""","""1 online resource"""
b87,"""learning apache mahout : acquire practical skills in big data analytics and explore data science with apache mahout""","""tiwary, chandramani""","""birmingham, uk""","""electronic books.""",9781783555222,"""community experience distilled.""","""1 online resource"""
b88,"""learning apache mahout : acquire practical skills in big data analytics and explore data science with apache mahout""","""tiwary, chandramani""","""birmingham, uk""","""electronic books.""",9781783555222,"""community experience distilled.""","""1 online resource"""
b89,"""machine learning algorithms : reference guide for popular algorithms for data science and machine learning""","""bonaccorso, giuseppe""","""birmingham, uk""","""electronic books.""",9781785884511,"""nan""","""1 online resource"""
b90,"""machine learning algorithms : reference guide for popular algorithms for data science and machine learning""","""bonaccorso, giuseppe""","""birmingham, uk""","""electronic books.""",9781785884511,"""nan""","""1 online resource"""
b91,"""beginning data science in r : data analysis, visualization, and modelling for the data scientist""","""mailund, thomas""","""new york""","""electronic books.""",9781484226711,"""nan""","""1 online resource"""
b92,"""clojure for data science : statistics, big data, and machine learning for clojure programmers""","""garner, henry""","""birmingham, uk""","""electronic books.""",9781784397500,"""community experience distilled.""","""1 online resource"""
b93,"""getting started with data science : making sense of data with analytics""","""haider, murtaza""","""boston""","""electronic books.""",9780133991246,"""nan""","""1 online resource"""
b94,"""data smart : using data science to transform information into insight""","""foreman, john w.""","""hoboken, new jersey""","""nan""",9781118661468,"""nan""","""xx, 409 pages"""
b95,"""r for data science : import, tidy, transform, visualize, and model data""","""wickham, hadley""","""sebastopol, ca""","""nan""",9781491910399,"""nan""","""xxv, 492 pages"""
b96,"""data science algorithms in a week : data analysis, machine learning, and more""","""natingga, dã¡vid""","""birmingham, uk""","""electronic books.""",9781787282742,"""nan""","""1 online resource"""
b97,"""clojure for data science : statistics, big data, and machine learning for clojure programmers""","""garner, henry""","""birmingham, uk""","""electronic books.""",9781784397500,"""community experience distilled.""","""1 online resource"""
b98,"""getting started with data science : making sense of data with analytics""","""haider, murtaza""","""boston""","""electronic books.""",9780133991246,"""nan""","""1 online resource"""
b99,"""marketing data science : modeling techniques in predictive analytics with r and python""","""miller, thomas w.""","""old tappan, new jersey""","""electronic books.""",9780133887662,"""nan""","""1 online resource"""
b100,"""sports analytics and data science : winning the game with methods and models""","""miller, thomas w., 1946-""","""old tappan, new jersey""","""electronic books.""",9780133887402,"""nan""","""1 online resource"""
b101,"""practical data science with hadoop and spark : designing and building effective analytics at scale""","""medelevitch, ofer""","""boston""","""electronic books.""",9780134029733,"""nan""","""1 online resource"""
b102,"""data science and complex networks : real cases studies with python""","""caldarelli, guido""","""oxford""","""electronic books.""",9780191782916,"""nan""","""1 online resource"""
b103,"""introduction to data science : a python approach to concepts, techniques and applications""","""igual, laura.""","""cham, switzerland""","""electronic books.""",9783319500171,"""undergraduate topics in computer science.""","""1 online resource."""
b104,"""financial analytics with r : building a laptop laboratory for data science""","""bennett, mark j. (mark joseph), 1959-""","""cambridge, united kingdom""","""electronic books. | databases.""",9781316584460,"""nan""","""1 online resource (xvi, 377 pages)"""
b105,"""functional programming in r : advanced statistical programming for data science, analysis and finance""","""mailund, thomas""","""[united states]""","""electronic books.""",9781484227466,"""nan""","""1 online resource (xv, 104 pages)"""
b106,"""metaprogramming in r : advanced statistical programming for data science, analysis, and finance""","""mailund, thomas.""","""[united states]""","""electronic books.""",9781484228814,"""nan""","""1 online resource"""
b108,"""sports analytics and data science : winning the game with methods and models""","""miller, thomas w., 1946-""","""old tappan, new jersey""","""statistics. | statistics.""",9780133886436,"""nan""","""xiii, 337 pages"""
b109,"""computer age statistical inference : algorithms, evidence, and data science""","""efron, bradley""","""new york""","""electronic books.""",9781316576533,"""institute of mathematical statistics monographs ; 5.""","""1 online resource (xx, 475 pages)"""
b110,"""marketing data science : modeling techniques in predictive analytics with r and python""","""miller, thomas w.""","""old tappan, new jersey""","""electronic books.""",9780133887662,"""nan""","""1 online resource"""
b111,"""web and network data science : modeling techniques in predictive analytics""","""miller, thomas w., 1946-""","""upper saddle river, new jersey""","""electronic books.""",9780133887655,"""nan""","""1 online resource"""
b112,"""sports analytics and data science : winning the game with methods and models""","""miller, thomas w., 1946-""","""old tappan, new jersey""","""electronic books.""",9780133887402,"""nan""","""1 online resource"""
b113,"""practical data science with hadoop and spark : designing and building effective analytics at scale""","""medelevitch, ofer""","""boston""","""electronic books.""",9780134029733,"""nan""","""1 online resource"""
b114,"""mastering spark for data science : master the techniques and sophisticated analytics used to construct spark-based solutions that scale to deliver production-grade data science...""","""morgan, andrew""","""birmingham, uk""","""electronic books.""",9781785888281,"""nan""","""1 online resource"""
b115,"""mastering spark for data science : master the techniques and sophisticated analytics used to construct spark-based solutions that scale to deliver production-grade data science...""","""morgan, andrew""","""birmingham, uk""","""electronic books.""",9781785888281,"""nan""","""1 online resource"""
b116,"""hands-on devops : explore the concept of continuous delivery and integrate it with data science concepts""","""vadapalli, sricharan""","""birmingham, uk""","""electronic books.""",9781788476041,"""nan""","""1 online resource"""
b117,"""advances in data science and classification : proceedings of the 6th conference of the international federation of classification societies (ifcs-98) universitã  ""la sapienza"",...""","""rizzi, alfredo.""","""berlin, heidelberg""","""electronic books.""",9783642722530,"""studies in classification, data analysis, and knowledge organization.""","""1 online resource (xv, 682 pages)"""
b118,"""trends in applied knowledge-based systems and data science : 29th international conference on industrial engineering and other applications of applied intelligent systems,...""","""fujita, hamido, | ali, moonis, | selamat, ali, | sasaki, jun, | kurematsu, masaki,""","""switzerland""","""electronic books. | conference papers and proceedings.""",9783319420073,"""lecture notes in computer science. lecture notes in artificial intelligence ; 9799. lncs sublibrary. sl 7, artificial intelligence.""","""1 online resource (xviii, 1021 pages)"""
b119,"""soft computing in data science : second international conference, scds 2016, kuala lumpur, malaysia, september 21-22, 2016, proceedings""","""berry, michael w., | hj. mohamed, azlinah, | wah, yap bee,""","""singapore""","""electronic books. | conference papers and proceedings.""",9789811027772,"""communications in computer and information science ; 652. 1865-0929""","""1 online resource (xix, 311 pages)"""
b120,"""ipython interactive computing and visualization cookbook : over 100 hands-on recipes to sharpen your skills in high-performance numerical computing and data science with python""","""rossant, cyrille.""","""birmingham, uk""","""electronic books.""",9781783284825,"""nan""","""1 online resource"""
b121,"""python : real world machine learning : learn to solve challenging data science problems by building powerful machine learning models using python""","""joshi, prateek""","""birmingham, uk""","""electronic books.""",9781787120679,"""nan""","""1 online resource"""
b122,"""python : real world machine learning : learn to solve challenging data science problems by building powerful machine learning models using python""","""joshi, prateek""","""birmingham, uk""","""electronic books.""",9781787120679,"""nan""","""1 online resource"""
b123,"""ipython interactive computing and visualization cookbook : over 100 hands-on recipes to sharpen your skills in high-performance numerical computing and data science with python""","""rossant, cyrille.""","""birmingham, uk""","""electronic books.""",9781783284825,"""nan""","""1 online resource"""
b124,"""scala : guide for data science professionals : scala will be a valuable tool to have on hand during your data science journey for everything from data cleaning to cutting-edge...""","""bugnion, pascal""","""birmingham, uk""","""electronic books.""",9781787281035,"""nan""","""1 online resource"""
b125,"""scala : guide for data science professionals : scala will be a valuable tool to have on hand during your data science journey for everything from data cleaning to cutting-edge...""","""bugnion, pascal""","""birmingham, uk""","""electronic books.""",9781787281035,"""nan""","""1 online resource"""
b126,"""spark for data science : analyze your data and delve deep into the world of machine learning with the latest spark version, 2.0""","""duvvuri, srinivas""","""birmingham, uk""","""electronic books.""",9781785884771,"""nan""","""1 online resource"""
b127,"""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey""","""electronic books.""",9781119204183,"""wiley and sas business series.""","""1 online resource."""
b128,"""simulation for data science with r : harness actionable insights from your data with computational statistics and simulations using r""","""templ, matthias""","""birmingham, uk""","""electronic books.""",9781785885877,"""community experience distilled.""","""1 online resource"""
b129,"""principles of data science : learn the techniques and math you need to start making sense of your data""","""ozdemir, sinan""","""birmingham, uk""","""electronic books.""",9781785888922,"""nan""","""1 online resource"""
b130,"""java : data science made easy : data collection, processing, analysis, and more : a course in two modules.""","""reese, richard m.""","""birmingham, uk""","""electronic books.""",9781788479189,"""nan""","""1 online resource"""
b131,"""hands-on data science and python machine learning : perform data mining and machine learning efficiently using python and spark""","""kane, frank""","""birmingham, uk""","""electronic books.""",9781787280229,"""nan""","""1 online resource"""
b132,"""statistics for data science : leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks""","""miller, james d., (software consultant)""","""birmingham, uk""","""electronic books.""",9781788295345,"""nan""","""1 online resource"""
b133,"""simulation for data science with r : harness actionable insights from your data with computational statistics and simulations using r""","""templ, matthias""","""birmingham, uk""","""electronic books.""",9781785885877,"""community experience distilled.""","""1 online resource"""
b134,"""spark for data science : analyze your data and delve deep into the world of machine learning with the latest spark version, 2.0""","""duvvuri, srinivas""","""birmingham, uk""","""electronic books.""",9781785884771,"""nan""","""1 online resource"""
b135,"""principles of data science : learn the techniques and math you need to start making sense of your data""","""ozdemir, sinan""","""birmingham, uk""","""electronic books.""",9781785888922,"""nan""","""1 online resource"""
b136,"""java : data science made easy : data collection, processing, analysis, and more : a course in two modules.""","""reese, richard m.""","""birmingham, uk""","""electronic books.""",9781788479189,"""nan""","""1 online resource"""
b137,"""hands-on data science and python machine learning : perform data mining and machine learning efficiently using python and spark""","""kane, frank""","""birmingham, uk""","""electronic books.""",9781787280229,"""nan""","""1 online resource"""
b138,"""docker for data science : building scalable and extensible data infrastructure around the jupyter notebook server""","""cook, joshua.""","""[s.l.]""","""electronic books.""",9781484230121,"""nan""","""1 online resource"""
b139,"""data science in r : a case studies approach to computational reasoning and problem solving""","""nolan, deborah ann""","""boca raton, fl""","""electronic books.""",9781482234824,"""chapman & hall/crc the r series (crc press)""","""1 online resource (xxiii, 505 pages)"""
b140,"""soft computing in data science : first international conference, scds 2015, putrajaya, malaysia, september 2-3, 2015, proceedings""","""berry, michael w., | mohamed, azlinah hj., | wah, yap bee,""","""singapore""","""electronic books.""",9789812879363,"""communications in computer and information science ; 545. 1865-0929""","""1 online resource (xi, 270 pages)"""
b141,"""data science in r : a case studies approach to computational reasoning and problem solving""","""nolan, deborah ann""","""boca raton""","""nan""",9781482234817,"""chapman & hall/crc the r series (crc press)""","""xxiii, 515 pages"""
b142,"""apache spark for data science cookbook : overinsightful 90 recipes to get lightning-fast analytics with apache spark""","""chitturi, padma priya""","""birmingham, uk""","""electronic books.""",9781785288807,"""nan""","""1 online resource"""
b143,"""apache spark 2.x cookbook : cloud-ready recipes to do analytics and data science on apache spark""","""yadav, rishi""","""birmingham, uk""","""electronic books.""",9781787127517,"""nan""","""1 online resource"""
b144,"""data science in r : a case studies approach to computational reasoning and problem solving""","""nolan, deborah ann""","""boca raton, fl""","""electronic books.""",9781482234824,"""chapman & hall/crc the r series (crc press)""","""1 online resource (xxiii, 505 pages)"""
b145,"""apache spark for data science cookbook : overinsightful 90 recipes to get lightning-fast analytics with apache spark""","""chitturi, padma priya""","""birmingham, uk""","""electronic books.""",9781785288807,"""nan""","""1 online resource"""
b146,"""java data science cookbook : explore the power of mllib, dl4j, weka and more""","""shams, rushdi""","""birmingham, uk""","""electronic books.""",9781787127654,"""nan""","""1 online resource"""
b147,"""apache spark 2.x cookbook : cloud-ready recipes to do analytics and data science on apache spark""","""yadav, rishi""","""birmingham, uk""","""electronic books.""",9781787127517,"""nan""","""1 online resource"""
b148,"""fraud analytics using descriptive, predictive, and social network techniques : a guide to data science for fraud detection""","""baesens, bart.""","""hoboken, new jersey""","""electronic books.""",9781119146827,"""wiley and sas business series.""","""1 online resource."""
b149,"""mastering parallel programming with r : master the robust features of r parallel programming to accelerate your data science computations""","""chapple, simon r.""","""birmingham, uk""","""electronic books.""",9781784394622,"""community experience distilled.""","""1 online resource"""
b150,"""advanced machine learning with python : solve challenging data science problems by mastering cutting-edge machine learning techniques  in python""","""hearty, john""","""birmingham, uk""","""electronic books.""",9781784393830,"""community experience distilled.""","""1 online resource"""
b151,"""java data science cookbook : explore the power of mllib, dl4j, weka and more""","""shams, rushdi""","""birmingham, uk""","""electronic books.""",9781787127654,"""nan""","""1 online resource"""
b152,"""advanced object-oriented programming in r : statistical programming for data science, analysis and finance""","""mailund, thomas""","""[new york]""","""electronic books.""",9781484229194,"""nan""","""1 online resource"""
b153,"""recent applications of harmonic analysis to function spaces, differential equations, and data science : novel methods in harmonic analysis. volume 2""","""pesenso, isaac, | gia, quoc thong le, | mayeli, azita, | mhaskar, h. n. | zhou, ding-xuan,""","""cham""","""electronic books.""",9783319555560,"""applied and numerical harmonic analysis.""","""1 online resource."""
b154,"""mastering parallel programming with r : master the robust features of r parallel programming to accelerate your data science computations""","""chapple, simon r.""","""birmingham, uk""","""electronic books.""",9781784394622,"""community experience distilled.""","""1 online resource"""
b155,"""advanced machine learning with python : solve challenging data science problems by mastering cutting-edge machine learning techniques  in python""","""hearty, john""","""birmingham, uk""","""electronic books.""",9781784393830,"""community experience distilled.""","""1 online resource"""
b156,"""mastering data analysis with r : gain clear insights into your data and solve real-world data science problems with r--from data munging to modeling and visualization""","""darã³czi, gergely""","""birmingham, uk""","""electronic books.""",9781783982035,"""community experience distilled.""","""1 online resource"""
b157,"""mastering data analysis with r : gain clear insights into your data and solve real-world data science problems with r--from data munging to modeling and visualization""","""darã³czi, gergely""","""birmingham, uk""","""electronic books.""",9781783982035,"""community experience distilled.""","""1 online resource"""
