ID,Title,Author,Publication,Format,ISBN,Series,Physical Details
b5636,"""Multi-disciplinary Trends in Artificial Intelligence : 9th International Workshop, MIWAI 2015, Fuzhou, China, November 13-15, 2015, Proceedings  ""","""Bikakis, Antonis. | Zheng, Xianghan.""","""Cham""","""Electronic books.""",9783319261812,"""Lecture notes in computer science ; 9426. 0302-9743 LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xx, 458 p.)"""
b2500,"""Graph Data Model : and Its Data Language  ""","""Kunii, Hideko S.""","""Tokyo""","""Electronic books.""",9784431681144,"""nan""","""1 online resource (XVI, 106 pages)"""
b6927,"""Scientific papers and presentations ""","""Davis, Martha, 1935-""","""Burlington, Mass.""","""Electronic books.""",9780120884247,"""Effective communication skills in science.""","""1 online resource (xix, 356 p.)"""
b4426,"""Design and use of relational databases in chemistry  ""","""O'Donnell, T. J.""","""Boca Raton, FL""","""Electronic books. | Databases.""",9781420064438,"""nan""","""1 online resource (xii, 229 pages)"""
b6888,"""Modeling and simulation in HPC and cloud systems  ""","""KoÅodziej, Joanna, | Pop, Florin, | Dobre, Ciprian,""","""Cham, Switzerland""","""Electronic books.""",9783319737676,"""Studies in big data ; v. 36.""","""1 online resource."""
b6206,"""Geometric Modelling : Dagstuhl 2002  ""","""Hahmann, S. (Stefanie)""","""Vienna""","""Electronic books.""",9783709105870,"""nan""","""1 online resource (viii, 248 p.)"""
b3359,"""Applied cryptanalysis : breaking ciphers in the real world  ""","""Stamp, Mark.""","""Hoboken, N.J.""","""nan""",9780470114865,"""nan""","""xix, 401 p."""
b1554,"""Advanced computing  ""","""Bader, Michael | Bungartz, H.-J. | Weinzierl, Tobias,""","""Heidelberg""","""Electronic books.""",9783642387623,"""Lecture notes in computational science and engineering ; 93. 1439-7358""","""1 online resource (xii, 240 pages)"""
b914,"""Applied mathematics : data compression, spectral methods, fourier analysis, wavelets, and applications  ""","""Chui, C. K.""","""Paris, France""","""Electronic books.""",9789462390096,"""Mathematics textbooks for science and engineering ; v.2.""","""1 online resource."""
b4351,"""System i disaster recovery planning  ""","""Dolewski, Richard.""","""Lewisville, Tex.""","""Electronic books.""",9781583470671,"""nan""","""1 online resource (vi, 598 p.)"""
b3581,"""The Book of GENESIS : Exploring Realistic Neural Models with the GEneral NEural SImulation System  ""","""Bower, James M.""","""New York, NY""","""Electronic books.""",9781461216346,"""nan""","""1 online resource (xxiv, 458 pages)"""
b1113,"""Applied cryptography and network security : 10th International Conference, ACNS 2012, Singapore, June 26-29, 2012. Proceedings  ""","""Bao, Feng, | Samarati, Pierangela. | Zhou, Jianying.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642312847,"""Lecture notes in computer science ; 7341. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource."""
b1561,"""Topics in performance evaluation, measurement and characterization : third TPC Technology Conference, TPCTC 2011, Seattle, WA, USA, August 29-September 3, 2011, Revised selected...""","""Nambiar, Raghunath. | Poess, Meikel.""","""Berlin ; Springer, Â©2012.""","""Electronic books.""",9783642326271,"""Lecture notes in computer science ; 7144. 1611-3349 LNCS sublibrary. SL 2, Programming and software engineering.""","""1 online resource (xiv, 212 pages)"""
b3210,"""Advanced Fuzzy Systems Design and Applications ""","""Jin, Yaochu.""","""Heidelberg""","""Electronic books.""",9783790817713,"""Studies in fuzziness and soft computing ; 112.""","""1 online resource (x, 271 pages)"""
b5957,"""Profit drive business analytics : a practitioner's guide to transforming big data into added value  ""","""Verbeke, Wouter, 1983-""","""Hoboken, New Jersey""","""Electronic books.""",9781119286998,"""nan""","""1 online resource."""
b1494,"""The practice of enterprise modeling : 6th IFIP WG 8.1 Working Conference, PoEM 2013, Riga, Latvia, November 6-7, 2013, Proceedings  ""","""Grabis, JÄnis,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642416415,"""Lecture notes in business information processing ; 165. 1865-1348""","""1 online resource (xiv, 293 pages)"""
b2700,"""Computer Algebra with LISP and REDUCE : an Introduction to Computer-aided Pure Mathematics  ""","""Brackx, F.""","""Dordrecht""","""Electronic books.""",9789401135023,"""Mathematics and Its Applications ; 72.""","""1 online resource (xi, 264 pages)."""
b26,"""Soft methods for data science  ""","""Ferraro, Maria Brigida,""","""Switzerland""","""Electronic books. | Conference papers and proceedings.""",9783319429724,"""Advances in intelligent systems and computing ; v. 456.""","""1 online resource."""
b562,"""Transactions on data hiding and multimedia security IX : Special Issue on Visual Cryptography  ""","""Shi, Yun Q., | Liu, Feng, | Yan, Weiqi,""","""Heidelberg""","""Electronic books.""",9783642550461,"""Lecture notes in computer science ; 8363. 0302-9743""","""1 online resource (x, 131 pages)"""
b1626,"""Advances in computer science and education ""","""Xie, Anne. | Huang, Xiong.""","""Heidelberg [Germany]""","""Electronic books.""",9783642279454,"""Advances in intelligent and soft computing ; 140. 1867-5662""","""1 online resource (xvi, 480 pages)"""
b6855,"""Harley Hahn's Emacs field guide  ""","""Hahn, Harley, 1952-""","""[United States]""","""Electronic books.""",9781484217030,"""nan""","""1 online resource (xxi, 276 pages)"""
b4530,"""Rewriting Techniques and Applications : 3rd International Conference, RTA-89 Chapel Hill, North Carolina, USA April 3-5, 1989 Proceedings  ""","""Dershowitz, Nachum.""","""Berlin, Heidelberg""","""Electronic books.""",9783540461494,"""Lecture notes in computer science ; 355. 0302-9743""","""1 online resource"""
b928,"""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)"""
b5665,"""iOS forensics cookbook : over 20 recipes that will enable you to handle and extract data from iOS devices for forensics  ""","""Birani, Bhanu""","""Birmingham, UK""","""Electronic books.""",9781785285356,"""Quick answers to common problems.""","""1 online resource"""
b714,"""Air flow management in raised floor data centers  ""","""Arghode, Vaibhav K.""","""Cham""","""Electronic books.""",9783319258928,"""SpringerBriefs in applied sciences and technology.""","""1 online resource"""
b1556,"""OpenMP in the era of low power devices and accelerators : 9th International Workshop on OpenMP, IWOMP 2013, Canberra, ACT, Australia, September 16-18, 2013. Proceedings  ""","""Rendell, Alistair P., | Chapman, Barbara, | MÃ¼ller, Matthias S.,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642406980,"""Lecture notes in computer science ; 8122, 0302-9743 LNCS sublibrary. SL 2, Programming and software engineering.""","""1 online resource (x, 201 pages)"""
b3045,"""Large-scale scientific computing : 11th International Conference, LSSC 2017, Sozopol, Bulgaria, June 5-9, 2017, Revised selected papers  ""","""Lirkov, Ivan, | Margenov, Svetozar,""","""Cham, Switzerland""","""Electronic books.""",9783319734415,"""Lecture notes in computer science ; 10665. 0302-9743 LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xv, 610 pages)"""
b5037,"""Enterprise Integration and Modeling: The Metadatabase Approach ""","""Hsu, Cheng.""","""Boston, MA""","""Electronic books.""",9781461523635,"""nan""","""1 online resource (xv, 239 pages)"""
b5937,"""High Performance Computing - HiPC 2003 : 10th International Conference, Hyderabad, India, December 17-20, 2003. Proceedings. ""","""Pinkston, Timothy Mark.""","""Berlin ; Springer-Verlag Berlin Heidelberg, 2003.""","""Electronic books.""",9783540245964,"""Lecture notes in computer science ; 2913, 0302-9743""","""1 online resource."""
b5840,"""SIGMA : a knowledge-based aerial image understanding system  ""","""Matsuyama, Takashi, 1951-""","""New York""","""Electronic books.""",9781489908674,"""Advances in computer vision and machine intelligence.""","""1 online resource (xvi, 277 pages)"""
b6710,"""Salesforce.com lightning process builder and visual workflow : a practical guide to model-driven development on the Force.com platform  ""","""Keel, Jonathan""","""[United States]""","""Electronic books.""",9781484216910,"""nan""","""1 online resource"""
b2368,"""Data hiding techniques in Windows OS : a practical approach to investigation and defense  ""","""Hassan, Nihad Ahmad""","""Cambridge, MA""","""Electronic books.""",9780128044964,"""nan""","""1 online resource"""
b1319,"""Designing privacy enhancing technologies : International Workshop on Design Issues in Anonymity and Unobservability, Berkeley, CA, USA, July 25-26, 2000 : proceedings  ""","""Federrath, Hannes.""","""Berlin ; Springer, 2001.""","""Electronic books. | Conference proceedings.""",9783540447023,"""Lecture notes in computer science ; 2009.""","""1 online resource (x, 230 p.)"""
b5021,"""Mathematical Foundations of Computer Science 2004 : 29th International Symposium, MFCS 2004, Prague, Czech Republic, August 22-27, 2004. Proceedings  ""","""Fiala, JiÅÃ­.""","""Berlin, Heidelberg""","""Electronic books.""",9783540286295,"""Lecture notes in computer science ; 3153. 0302-9743""","""1 online resource (XIV, 902 p.)"""
b4866,"""Fundamentals of Information Systems ""","""Polle, Torsten.""","""Boston, MA""","""Electronic books.""",9781461551379,"""International series in engineering and computer science ; 496.""","""1 online resource (ix, 185 pages)."""
b885,"""Increasing seismic safety by combining engineering technologies and seismological data : [proceedings of the NATO Advanced Research Workshop on Increasing Seismic Safety by...""","""Mucciarelli, Marco. | Herak, Marijan. | Cassidy, John.""","""Dordrecht""","""Electronic books. | Conference papers and proceedings.""",9781402091964,"""NATO science for peace and security series. Series C, Environmental security.""","""1 online resource (xvii, 382 pages)"""
b4291,"""Machine learning and cybernetics : 13th International Conference, Lanzhou, China, July 13-16, 2014, proceedings  ""","""Wang, Xizhao, | Pedrycz, Witold, | Chan, Patrick, | He, Qiang,""","""Berlin""","""Electronic books.""",9783662456521,"""Communications in computer and information science ; 481, 1865-0929""","""1 online resource (xiv, 462 pages)"""
b5320,"""New frontiers in artificial intelligence : JSAI-isAI 2012 Workshops, LENLS, JURISIN, MiMI, Miyazaki, Japan, November 30 and December 1, 2012, Revised selected papers  ""","""Motomura, Yoichi, | Butler, Alastair, | Bekki, Daisuke,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642399312,"""Lecture notes in computer science ; 7856. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource (xvi, 256 pages)"""
b2830,"""Data Mining for Design and Manufacturing : Methods and Applications  ""","""Braha, Dan.""","""Boston, MA""","""Electronic books.""",9781475749113,"""Massive computing ; 3.""","""1 online resource (xviii, 524 p.)."""
b3720,"""Advances in Computational Algorithms and Data Analysis ""","""Ao, Sio-Iong. | Rieger, Burghard B. | Chen, Su-shing.""","""Dordrecht""","""Electronic books. | Conference proceedings.""",9781402089190,"""Lecture notes in electrical engineering ; 14.""","""1 online resource (vii, 588 pages)"""
b3451,"""Libraries without Limits: Changing Needs - Changing Roles : Proceedings of the 6th European Conference of Medical and Health Libraries, Utrecht, 22-27 June 1998  ""","""Bakker, Suzanne.""","""Dordrecht""","""Electronic books.""",9789401146210,"""nan""","""1 online resource (xxi, 305 p.)"""
b1584,"""Secure IT systems : 17th Nordic conference, NordSec 2012, Karlskrona, Sweden, October 31-November 2, 2012 : proceedings  ""","""JÃ¸sang, Audun. | Carlsson, Bengt,""","""Heidelberg ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642342103,"""Lecture notes in computer science ; 7617. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (x, 246 pages)"""
b3152,"""Algorithms and data structures : 15th International Symposium, WADS 2017, St. John's, NL, Canada, July 31-August 2, 2017, Proceedings  ""","""Ellen, Faith, | Kolokolova, Antonina, | Sack, J.-R.""","""Cham""","""Electronic books.""",9783319621272,"""Lecture notes in computer science ; 10389. 0302-9743""","""1 online resource (xx, 594 pages)"""
b1172,"""Effective teacher leadership : using research to inform and reform  ""","""Mangin, Melinda M. | Stoelinga, Sara Ray.""","""New York""","""nan""",9780807748404,"""nan""","""xii, 211 p."""
b1128,"""Algorithms for sensor systems : 8th International Symposium on Algorithms for Sensor Systems, Wireless Ad Hoc Networks and Autonomous Mobile Entities, ALGOSENSORS 2012,...""","""Bar-Noy, A. | MagnÃºs M. HalldÃ³rsson.""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642360923,"""Lecture notes in computer science ; 7718. LNCS sublibrary. SL 5, Computer communication networks and telecommunications.""","""1 online resource."""
b2748,"""Beginning database design : from novice to professional  ""","""Churcher, Clare.""","""New York""","""nan""",9781430242093,"""Expert's voice in databases.""","""xxv, 225 p."""
b3613,"""Advances in cryptology -- EUROCRYPT 2012 : 31st Annual International Conference on the Theory and Applications of Cryptographic Techniques, Cambridge, UK, April 15-19, 2012....""","""Pointcheval, David. | Johansson, Thomas,""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642290114,"""Lecture notes in computer science ; 7237. LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiv, 758 pages)."""
b4382,"""Introduction to nodern Fortran for the earth system sciences  ""","""Chirila, Dragos B.""","""Heidelberg""","""Electronic books.""",9783642370090,"""nan""","""1 online resource"""
b6140,"""Microcomputer applications in qualitative research ""","""Pfaffenberger, Bryan, 1949-""","""Newbury Park, Calif.""","""Electronic books.""",9781412985055,"""Qualitative research methods ; v. 14.""","""1 online resource (87 p.)"""
b6432,"""The Serbian language in the digital age ""","""Vitas, DuÅ¡ko. | Rehm, Georg. | Uszkoreit, Hans.""","""Berlin ; Springer, Â©2012.""","""Electronic books.""",9783642307553,"""White Paper Series, 2194-1416""","""1 online resource."""
b1646,"""Advances in electric and electronics ""","""Hu, Wensong.""","""Berlin ; Springer, c2012.""","""Electronic books. | Conference papers and proceedings.""",9783642287442,"""Lecture notes in electrical engineering ; 155.""","""1 online resource (xvii, 846 p.)."""
b5698,"""Scientific and statistical database management : 23rd international conference, SSDBM 2011, Portland, OR, USA, July 20-22, 2011 : proceedings  ""","""Cushing, Judith Bayard. | French, James C. | Bowers, Shawn.""","""Heidelberg""","""Electronic books.""",9783642223518,"""Lecture notes in computer science ; 6809. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xvii, 602 pages)"""
b6632,"""Classification and Ordination : Symposium on advances in vegetation science, Nijmegen, the Netherlands, May 1979  ""","""Maarel, Eddy.""","""Dordrecht""","""Electronic books.""",9789400991972,"""Advances in vegetation science ; 2.""","""1 online resource (198 pages)."""
b4907,"""Algorithms-- ESA 2000 : 8th Annual European Symposium SaarbrÃ¼cken, Germany, September 5 8, 2000 Proceedings  ""","""Paterson, Mike S.""","""Berlin ; Springer-Verlag Berlin Heidelberg, 2000.""","""Electronic books.""",9783540452539,"""Lecture notes in computer science ; 1879, 0302-9743""","""1 online resource."""
b6141,"""Advances in visual computing : second international symposium, ISVC 2006, Lake Tahoe, NV, USA, November 6-8, 2006 : proceedings  ""","""Bebis, George.""","""Berlin ; Springer, c2006.""","""Electronic books.""",9783540486312,"""Lecture notes in computer science, 4291-4292 0302-9743 ;""","""2 v."""
b5184,"""Indexing Techniques for Advanced Database Systems ""","""Bertino, Elisa.""","""Boston, MA""","""Electronic books.""",9781461562276,"""Springer International Series on Advances in Database Systems ; 8.""","""1 online resource (ix, 250 pages)."""
b2765,"""Multimedia content encryption : techniques and applications  ""","""Lian, Shiguo.""","""Boca Raton""","""nan""",9781420065275,"""nan""","""xvii, 217 p."""
b2519,"""High Performance Computing in the Geosciences ""","""Dimet, FranÃ§ois-Xavier.""","""Dordrecht""","""Electronic books. | Conference proceedings.""",9789401100335,"""NATO science series. Series C, Mathematical and physical sciences ; 462.""","""1 online resource (284 pages)."""
b6594,"""Advanced computing and communication technologies : proceedings of the 9th ICACCT, 2015  ""","""Choudhary, Ramesh K. | Mandal, Jyotsna Kumar, | Auluck, Nitin, | Nagarajaram, H. A.""","""Singapore""","""Electronic books. | Conference papers and proceedings.""",9789811010231,"""Advances in intelligent systems and computing ; 452.""","""1 online resource (xxi, 595 pages)"""
b6680,"""Information systems design and intelligent applications : proceedings of Third International Conference INDIA 2016. Volume 3  ""","""Satapathy, Suresh Chandra, | Mandal, Jyotsna Kumar, | Udgata, Siba K., | Bhateja, Vikrant,""","""[New Delhi]""","""Electronic books. | Conference papers and proceedings.""",9788132227571,"""Advances in intelligent systems and computing ; 435. 2194-5357""","""1 online resource (xviii, 669 pages)"""
b6576,"""EWork and eBusiness in architecture, engineering and construction : proceedings of the European Conference on Product and Process Modelling 2010, Cork, Republic of Ireland,...""","""Menzel, Karsten. | Scherer, R. J.""","""Leiden, Netherlands""","""Electronic books.""",9780203833773,"""nan""","""1 online resource"""
b1483,"""Adaptive and natural computing algorithms : 11th International Conference, ICANNGA 2013, Lausanne, Switzerland, April 4-6, 2013 : proceedings  ""","""Tomassini, Marco,""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642372131,"""Lecture notes in computer science ; 7824. 1611-3349 LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xiii, 506 pages)"""
b2550,"""SAS programming for researchers and social scientists ""","""Spector, Paul E.""","""Thousand Oaks, [Calif.] ; SAGE, c2001.""","""Electronic books.""",9781412985758,"""nan""","""1 online resource (xv, 231 p.)"""
b3586,"""LISP Lore: A Guide to Programming the LISP Machine ""","""Bromley, Hank.""","""Boston, MA""","""Electronic books.""",9781461319917,"""nan""","""1 online resource (368 pages)"""
b4928,"""Object-oriented data structures using Java  ""","""Dale, Nell B.""","""Sudbury, MA""","""nan""",9781449613549,"""nan""","""xxii, 799 pages"""
b2140,"""Encyclopedia of behavioral medicine ""","""Gellman, Marc D. | Turner, J. Rick.""","""New York, NY""","""Electronic books.""",9781441910059,"""Springer reference.""","""1 online resource (Ixxvii, 2116 p.)"""
b6085,"""Fuzzy Sets in Approximate Reasoning and Information Systems ""","""Bezdek, James C.""","""Boston, MA""","""Electronic books.""",9781461552437,"""Handbooks of fuzzy sets series ; 5.""","""1 online resource (xv, 514 pages)."""
b753,"""Advances in Intelligent Data Analysis XIV : 14th International Symposium, IDA 2015, Saint Etienne. France, October 22 -24, 2015. Proceedings  ""","""Fromont, Elisa. | De Bie, Tijl. | van Leeuwen, Matthijs.""","""Cham""","""Electronic books.""",9783319244655,"""Lecture notes in computer science ; 9385. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xxix, 346 p.)"""
b6086,"""Invariant Methods in Discrete and Computational Geometry : Proceedings of the CuraÃ§ao Conference, 13-17 June, 1994  ""","""White, Neil L.""","""Dordrecht""","""Electronic books.""",9789401584029,"""nan""","""1 online resource (xiv, 328 p.)"""
b3886,"""Expert systems in strategic market management  ""","""Walden, Pirkko.""","""Ãbo""","""nan""",9529616155,"""nan""","""iv, 383 p."""
b5035,"""Supercomputer research in chemistry and chemical engineering : developed from a symposium sponsored by the Division of Industrial and Engineering Chemistry of the American...""","""Jensen, Klavs F., | Truhlar, Donald G.,""","""Washington, DC""","""Electronic books. | Conference papers and proceedings.""",9780841211988,"""ACS symposium series ; 353.""","""1 online resource (vii, 436 pages)"""
b1501,"""Static analysis : 20th International Symposium, SAS 2013, Seattle, WA, USA, June 20-22, 2013. Proceedings  ""","""Logozzo, Francesco, | FÃ¤hndrich, Manuel,""","""Berlin ; Springer, Â©2013.""","""Electronic books. | Conference papers and proceedings.""",9783642388569,"""Lecture notes in computer science ; 7935. LNCS sublibrary. SL 2, Programming and software engineering.""","""1 online resource (x, 498 pages)"""
b5674,"""E-Life: Web-Enabled Convergence of Commerce, Work, and Social Life : 15th Workshop on e-Business, WEB 2015, Fort Worth, Texas, USA, December 12, 2015, Revised Selected Papers  ""","""Sugumaran, Vijayan, | Yoon, Victoria, | Shaw, Michael J.,""","""Cham""","""Electronic books.""",9783319454085,"""Lecture notes in business information processing ; 258. 1865-1348""","""1 online resource (xi, 240 pages)"""
b3797,"""SPSS demystified : a step-by-step guide to successful data analysis  ""","""Yockey, Ronald D.""","""Upper Saddle River, N.J. 07458""","""nan""",9780132238854,"""nan""","""xiii, 274 p."""
b4256,"""Graph structures for knowledge representation and reasoning : 4th International Workshop, GKR 2015, Buenos Aires, Argentina, July 25, 2015, revised selected papers  ""","""Croitoru, Madalina, | Marquis, Pierre, | Rudolph, Sebastian | Stapleton, Gem,""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319287027,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 9501. LNCS sublibrary. SL 7, Artificial intelligence.""","""1 online resource"""
b4157,"""Role of GIS in Lifting the Cloud Off Chernobyl ""","""Kolejka, JaromÃ­r.""","""Dordrecht""","""Electronic books.""",9789401005180,"""NATO science series. Series IV, Earth and environmental sciences ; 10.""","""1 online resource (171 pages)."""
