,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,jaccard
55,55,a3975,b51,"""perspectives on data science for software engineering""","""edited by tim menzies, laurie williams, thomas zimmermann""","""cambridge, ma : morgan kaufmann is an imprint of elsevier, 2016.""","""books""",9780128042618,"""nan""","""nan""","""perspectives on data science for software engineering""","""menzies, tim, | williams, laurie, | zimmermann, thomas,""","""cambridge, ma""","""electronic books.""",9780128042618,"""nan""","""1 online resource""",1.0
77,77,a4088,b56,"""sports analytics and data science : winning the game with methods and models""","""thomas w. miller""","""old tappan, new jersey : pearson education, 2015. ©2016""","""books""",9780133886436,"""nan""","""nan""","""modeling techniques in predictive analystics with python and r : a guide to data science""","""miller, thomas w.""","""upper saddle river, nj""","""electronic books.""",9780133892123,"""nan""","""1 online resource""",0.17391304347826086
80,80,a3115,b58,"""big data at work : the data science revolution and organizational psychology""","""edited by scott tonidandel, eden b. king, and jose m. cortina""","""new york : routledge, taylor & francis group, 2016.""","""books""",9781848725812,"""organizational frontiers series,frontiers of industrial and organizational psychology,""","""nan""","""big data at work : the data science revolution and organizational psychology""","""tonidandel, scott. | king, eden. | cortina, jose m.""","""new york""","""nan""",9781848725812,"""organizational frontiers series.""","""xiii, 367 pages""",1.0
88,88,a4088,b59,"""sports analytics and data science : winning the game with methods and models""","""thomas w. miller""","""old tappan, new jersey : pearson education, 2015. ©2016""","""books""",9780133886436,"""nan""","""nan""","""modeling techniques in predictive analystics with python and r : a guide to data science""","""miller, thomas w.""","""upper saddle river, nj""","""electronic books.""",9780133892123,"""nan""","""1 online resource""",0.17391304347826086
112,112,a104,b66,"""analytics in a big data world : the essential guide to data science and its applications""","""bart baesens""","""hoboken, new jersey : wiley, 2014. ©2014""","""books""",9781118892718,"""wiley and sas business series,""","""nan""","""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey""","""electronic books.""",9781119204183,"""wiley and sas business series.""","""1 online resource.""",1.0
113,113,a247,b66,"""analytics in a big data world : the essential guide to data science and its applications""","""bart baesens""","""hoboken, new jersey : wiley, [2014]""","""books""",9781119204183,"""wiley and sas business series,""","""nan""","""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey""","""electronic books.""",9781119204183,"""wiley and sas business series.""","""1 online resource.""",1.0
114,114,a2468,b66,"""analytics in a big data world : the essential guide to data science and its applications""","""bart baesens""","""hoboken, new jersey : john wiley & sons, inc., [2014]""","""books""",9781118892701,"""wiley and sas business series,""","""nan""","""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey""","""electronic books.""",9781119204183,"""wiley and sas business series.""","""1 online resource.""",1.0
117,117,a1275,b67,"""introduction to data science for social and policy research : collecting and organizing data with r and python""","""josé manuel magallanes reyes""","""cambridge, united kingdom ; new york, ny : cambridge university press, 2017. ©2017""","""books""",9781107117419,"""nan""","""nan""","""introducing data science to social and policy analysts : from collecting to organizing data with r and python""","""magallanes reyes, jose manuel""","""cambridge, united kingdom ; new york, ny""","""electronic books.""",9781316338599,"""nan""","""1 online resource""",0.6666666666666666
118,118,a3750,b68,"""data science : innovative developments in data analysis and clustering""","""francesco palumbo, angela montanari, maurizio vichi, editors""","""cham : springer, [2017]. ©2017""","""books""",9783319557236,"""studies in classification, data analysis, and knowledge organization,""","""nan""","""data science : innovative developments in data analysis and clustering""","""palumbo, francesco, | montanari, angela, | vichi, maurizio,""","""cham""","""electronic books.""",9783319557236,"""studies in classification, data analysis, and knowledge organization.""","""1 online resource.""",1.0
119,119,a3050,b68,"""advances in data science and classification : proceedings of the 6th conference of the international federation of classification societies (ifcs-98), università ""la sapienza"", rome, 21-24 july, 1998""","""alfredo rizzi, maurizio vichi, hans-hermann bock, eds""","""berlin ; new york : springer, [1998] ©1998""","""books""",9783540646419,"""studies in classification, data analysis, and knowledge organization,""","""nan""","""data science : innovative developments in data analysis and clustering""","""palumbo, francesco, | montanari, angela, | vichi, maurizio,""","""cham""","""electronic books.""",9783319557236,"""studies in classification, data analysis, and knowledge organization.""","""1 online resource.""",0.17857142857142858
121,121,a1776,b69,"""soft computing in data science : third international conference, scds 2017, yogyakarta, indonesia, november 27-28, 2017, proceedings""","""azlinah mohamed, michael w. berry, bee wah yap (eds.)""","""singapore : springer, 2017.""","""books""",9789811072420,"""communications in computer and information science ; 788,""","""nan""","""soft computing in data science : third international conference, scds 2017, yogyakarta, indonesia, november 27-28, 2017, proceedings""","""mohamed, azlinah, | berry, michael w. | yap, bee wah,""","""singapore""","""electronic books.""",9789811072420,"""communications in computer and information science ; 788. 1865-0929""","""1 online resource (xvxv, 317 pages)""",1.0
147,147,a3510,b71,"""mathematical problems in data science : theoretical and practical methods""","""li m. chen, zhixun su, bo jiang""","""cham : springer, 2015.""","""books""",9783319251271,"""nan""","""nan""","""mathematical problems in data science : theoretical and practical methods""","""chen, li m.""","""cham""","""electronic books.""",9783319251271,"""nan""","""1 online resource (xv, 213 pages)""",1.0
151,151,a3977,b72,"""cyber-risk informatics : engineering evaluation with data science""","""mehmet sahinoglu""","""hoboken, new jersey : wiley, 2016.""","""books""",9781119087526,"""nan""","""nan""","""cyber-risk informatics : engineering evaluation with data science""","""sahinoglu, mehmet, 1951-""","""hoboken, new jersey""","""electronic books.""",9781119087533,"""nan""","""1 online resource""",1.0
152,152,a4708,b74,"""game theory for data science : eliciting truthful information""","""boi faltings, goran radanovic""","""[san rafael, california] : morgan & claypool publishers, [2017] ©2017""","""books""",9781627056083,"""synthesis lectures on artificial intelligence and machine learning ; #35,""","""nan""","""game theory for data science : eliciting truthful information""","""faltings, boi""","""[san rafael, california]""","""electronic books.""",9781627056083,"""synthesis lectures on artificial intelligence and machine learning ; # 35. 1939-4616""","""1 online resource (xv, 135 pages)""",1.0
172,172,a3029,b91,"""beginning data science in r : data analysis, visualization, and modelling for the data scientist""","""thomas mailund""","""new york : apress, [2017]. ©2017""","""books""",9781484226711,"""nan""","""nan""","""beginning data science in r : data analysis, visualization, and modelling for the data scientist""","""mailund, thomas""","""new york""","""electronic books.""",9781484226711,"""nan""","""1 online resource""",1.0
174,174,a13,b94,"""data smart : using data science to transform information into insight""","""john w. foreman""","""indianapolis : wiley, [2014] ©2014""","""books""",9781118839867,"""nan""","""nan""","""data smart : using data science to transform information into insight""","""foreman, john w.""","""hoboken, new jersey""","""nan""",9781118661468,"""nan""","""xx, 409 pages""",1.0
178,178,a2650,b94,"""data smart : using data science to transform information into insight""","""john w. foreman""","""indianapolis, in : john wiley & sons, [2014] ©2014""","""books""",9781118661468,"""nan""","""nan""","""data smart : using data science to transform information into insight""","""foreman, john w.""","""hoboken, new jersey""","""nan""",9781118661468,"""nan""","""xx, 409 pages""",1.0
182,182,a4406,b94,"""data smart : using data science to transform information into insight""","""john w. foreman""","""indianapolis, in : john wiley & sons, inc., [2014] ©2014""","""books""",9781118661468,"""nan""","""nan""","""data smart : using data science to transform information into insight""","""foreman, john w.""","""hoboken, new jersey""","""nan""",9781118661468,"""nan""","""xx, 409 pages""",1.0
185,185,a287,b95,"""r for data science : import, tidy, transform, visualize, and model data""","""hadley wickham & garrett grolemund""","""first edition. sebastopol, ca : o'reilly media, 2016. ©2017""","""books""",9781491910368,"""nan""","""nan""","""r for data science : import, tidy, transform, visualize, and model data""","""wickham, hadley""","""sebastopol, ca""","""nan""",9781491910399,"""nan""","""xxv, 492 pages""",1.0
187,187,a4412,b95,"""r for data science : import, tidy, transform, visualize, and model data""","""hadley wickham and garrett grolemund""","""first edition. sebastopol, ca : o'reilly media, 2016. ©2017""","""books""",9781491910399,"""nan""","""nan""","""r for data science : import, tidy, transform, visualize, and model data""","""wickham, hadley""","""sebastopol, ca""","""nan""",9781491910399,"""nan""","""xxv, 492 pages""",1.0
193,193,a4088,b100,"""sports analytics and data science : winning the game with methods and models""","""thomas w. miller""","""old tappan, new jersey : pearson education, 2015. ©2016""","""books""",9780133886436,"""nan""","""nan""","""sports analytics and data science : winning the game with methods and models""","""miller, thomas w., 1946-""","""old tappan, new jersey""","""electronic books.""",9780133887402,"""nan""","""1 online resource""",1.0
196,196,a2952,b103,"""introduction to data science : a python approach to concepts, techniques and applications""","""laura igual, santi seguí ; with contributions from jordi vitrià... [et al.]""","""cham, switzerland : springer, 2017.""","""books""",9783319500171,"""undergraduate topics in computer science,""","""nan""","""introduction to data science : a python approach to concepts, techniques and applications""","""igual, laura.""","""cham, switzerland""","""electronic books.""",9783319500171,"""undergraduate topics in computer science.""","""1 online resource.""",1.0
203,203,a1086,b105,"""functional programming in r : advanced statistical programming for data science, analysis and finance""","""thomas mailund""","""[united states] : apress, 2017. new york, ny : distributed to the book trade worldwide by springer, ©2017""","""books""",9781484227466,"""nan""","""nan""","""functional programming in r : advanced statistical programming for data science, analysis and finance""","""mailund, thomas""","""[united states]""","""electronic books.""",9781484227466,"""nan""","""1 online resource (xv, 104 pages)""",1.0
204,204,a2666,b105,"""advanced object-oriented programming in r : statistical programming for data science, analysis and finance""","""thomas mailund""","""[new york] : springer science and business media : apress, [2017]""","""books""",9781484229194,"""nan""","""nan""","""functional programming in r : advanced statistical programming for data science, analysis and finance""","""mailund, thomas""","""[united states]""","""electronic books.""",9781484227466,"""nan""","""1 online resource (xv, 104 pages)""",0.7333333333333333
205,205,a2752,b105,"""metaprogramming in r advanced statistical programming for data science, analysis, and finance""","""thomas mailund""","""[united states] : apress, 2017.""","""books""",9781484228814,"""nan""","""nan""","""functional programming in r : advanced statistical programming for data science, analysis and finance""","""mailund, thomas""","""[united states]""","""electronic books.""",9781484227466,"""nan""","""1 online resource (xv, 104 pages)""",0.6666666666666666
207,207,a5213,b105,"""functional data structures in r advanced statistical programming in r""","""thomas mailund""","""berkeley, ca : apress, 2017.""","""books""",9781484231449,"""nan""","""nan""","""functional programming in r : advanced statistical programming for data science, analysis and finance""","""mailund, thomas""","""[united states]""","""electronic books.""",9781484227466,"""nan""","""1 online resource (xv, 104 pages)""",0.4666666666666667
208,208,a1086,b106,"""functional programming in r : advanced statistical programming for data science, analysis and finance""","""thomas mailund""","""[united states] : apress, 2017. new york, ny : distributed to the book trade worldwide by springer, ©2017""","""books""",9781484227466,"""nan""","""nan""","""metaprogramming in r : advanced statistical programming for data science, analysis, and finance""","""mailund, thomas.""","""[united states]""","""electronic books.""",9781484228814,"""nan""","""1 online resource""",0.7333333333333333
209,209,a2666,b106,"""advanced object-oriented programming in r : statistical programming for data science, analysis and finance""","""thomas mailund""","""[new york] : springer science and business media : apress, [2017]""","""books""",9781484229194,"""nan""","""nan""","""metaprogramming in r : advanced statistical programming for data science, analysis, and finance""","""mailund, thomas.""","""[united states]""","""electronic books.""",9781484228814,"""nan""","""1 online resource""",0.625
210,210,a2752,b106,"""metaprogramming in r advanced statistical programming for data science, analysis, and finance""","""thomas mailund""","""[united states] : apress, 2017.""","""books""",9781484228814,"""nan""","""nan""","""metaprogramming in r : advanced statistical programming for data science, analysis, and finance""","""mailund, thomas.""","""[united states]""","""electronic books.""",9781484228814,"""nan""","""1 online resource""",0.9230769230769231
214,214,a4088,b108,"""sports analytics and data science : winning the game with methods and models""","""thomas w. miller""","""old tappan, new jersey : pearson education, 2015. ©2016""","""books""",9780133886436,"""nan""","""nan""","""sports analytics and data science : winning the game with methods and models""","""miller, thomas w., 1946-""","""old tappan, new jersey""","""statistics. | statistics.""",9780133886436,"""nan""","""xiii, 337 pages""",1.0
217,217,a3051,b109,"""computer age statistical inference : algorithms, evidence, and data science""","""bradley efron, stanford university, california, trevor hastie, stanford university, california""","""new york, ny : cambridge university press, 2016.""","""books""",9781107149892,"""institute of mathematical statistics monographs ; 5,""","""nan""","""computer age statistical inference : algorithms, evidence, and data science""","""efron, bradley""","""new york""","""electronic books.""",9781316576533,"""institute of mathematical statistics monographs ; 5.""","""1 online resource (xx, 475 pages)""",1.0
218,218,a3921,b109,"""computer age statistical inference : algorithms, evidence, and data science""","""bradley efron [and] trevor hastie""","""new york : cambridge university press, 2016. ©2016.""","""books""",9781316576533,"""institute of mathematical statistics monographs ; 5,""","""nan""","""computer age statistical inference : algorithms, evidence, and data science""","""efron, bradley""","""new york""","""electronic books.""",9781316576533,"""institute of mathematical statistics monographs ; 5.""","""1 online resource (xx, 475 pages)""",1.0
223,223,a3061,b111,"""modeling techniques in predictive analytics : business problems and solutions with r""","""thomas w. miller""","""revised and expanded edition. upper saddle river, n.j. : pearson, [2015] ©2015""","""books""",9780133886016,"""nan""","""nan""","""web and network data science : modeling techniques in predictive analytics""","""miller, thomas w., 1946-""","""upper saddle river, new jersey""","""electronic books.""",9780133887655,"""nan""","""1 online resource""",0.2777777777777778
224,224,a4088,b111,"""sports analytics and data science : winning the game with methods and models""","""thomas w. miller""","""old tappan, new jersey : pearson education, 2015. ©2016""","""books""",9780133886436,"""nan""","""nan""","""web and network data science : modeling techniques in predictive analytics""","""miller, thomas w., 1946-""","""upper saddle river, new jersey""","""electronic books.""",9780133887655,"""nan""","""1 online resource""",0.21052631578947367
228,228,a4088,b112,"""sports analytics and data science : winning the game with methods and models""","""thomas w. miller""","""old tappan, new jersey : pearson education, 2015. ©2016""","""books""",9780133886436,"""nan""","""nan""","""sports analytics and data science : winning the game with methods and models""","""miller, thomas w., 1946-""","""old tappan, new jersey""","""electronic books.""",9780133887402,"""nan""","""1 online resource""",1.0
231,231,a3050,b117,"""advances in data science and classification : proceedings of the 6th conference of the international federation of classification societies (ifcs-98), università ""la sapienza"", rome, 21-24 july, 1998""","""alfredo rizzi, maurizio vichi, hans-hermann bock, eds""","""berlin ; new york : springer, [1998] ©1998""","""books""",9783540646419,"""studies in classification, data analysis, and knowledge organization,""","""nan""","""advances in data science and classification : proceedings of the 6th conference of the international federation of classification societies (ifcs-98) universitã  ""la sapienza"",...""","""rizzi, alfredo.""","""berlin, heidelberg""","""electronic books.""",9783642722530,"""studies in classification, data analysis, and knowledge organization.""","""1 online resource (xv, 682 pages)""",0.6153846153846154
236,236,a2507,b119,"""soft computing in data science : second international conference, scds 2016, kuala lumpur, malaysia, september 21-22, 2016, proceedings""","""michael w. berry, azlinah hj. mohamed, bee wah yap (eds.)""","""singapore : springer, 2016.""","""books""",9789811027772,"""communications in computer and information science ; 652,""","""nan""","""soft computing in data science : second international conference, scds 2016, kuala lumpur, malaysia, september 21-22, 2016, proceedings""","""berry, michael w., | hj. mohamed, azlinah, | wah, yap bee,""","""singapore""","""electronic books. | conference papers and proceedings.""",9789811027772,"""communications in computer and information science ; 652. 1865-0929""","""1 online resource (xix, 311 pages)""",1.0
240,240,a104,b127,"""analytics in a big data world : the essential guide to data science and its applications""","""bart baesens""","""hoboken, new jersey : wiley, 2014. ©2014""","""books""",9781118892718,"""wiley and sas business series,""","""nan""","""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey""","""electronic books.""",9781119204183,"""wiley and sas business series.""","""1 online resource.""",1.0
241,241,a247,b127,"""analytics in a big data world : the essential guide to data science and its applications""","""bart baesens""","""hoboken, new jersey : wiley, [2014]""","""books""",9781119204183,"""wiley and sas business series,""","""nan""","""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey""","""electronic books.""",9781119204183,"""wiley and sas business series.""","""1 online resource.""",1.0
242,242,a2468,b127,"""analytics in a big data world : the essential guide to data science and its applications""","""bart baesens""","""hoboken, new jersey : john wiley & sons, inc., [2014]""","""books""",9781118892701,"""wiley and sas business series,""","""nan""","""analytics in a big data world : the essential guide to data science and its applications""","""baesens, bart.""","""hoboken, new jersey""","""electronic books.""",9781119204183,"""wiley and sas business series.""","""1 online resource.""",1.0
253,253,a67,b132,"""statistics for data science : leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks""","""james d. miller""","""birmingham, uk : packt publishing, 2017. ©2017""","""books""",9781788295345,"""nan""","""nan""","""statistics for data science : leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks""","""miller, james d., (software consultant)""","""birmingham, uk""","""electronic books.""",9781788295345,"""nan""","""1 online resource""",1.0
268,268,a64,b138,"""docker for data science building scalable and extensible data infrastructure around the jupyter notebook server""","""joshua cook""","""[s.l.] : apress, 2017.""","""books""",9781484230121,"""nan""","""nan""","""docker for data science : building scalable and extensible data infrastructure around the jupyter notebook server""","""cook, joshua.""","""[s.l.]""","""electronic books.""",9781484230121,"""nan""","""1 online resource""",0.9333333333333333
269,269,a152,b140,"""soft computing in data science : first international conference, scds 2015, putrajaya, malaysia, september 2-3, 2015, proceedings""","""michael w. berry, azlinah hj. mohamed, yap bee wah (eds.)""","""singapore : springer, 2015.""","""books""",9789812879363,"""communications in computer and information science ; 545,""","""nan""","""soft computing in data science : first international conference, scds 2015, putrajaya, malaysia, september 2-3, 2015, proceedings""","""berry, michael w., | mohamed, azlinah hj., | wah, yap bee,""","""singapore""","""electronic books.""",9789812879363,"""communications in computer and information science ; 545. 1865-0929""","""1 online resource (xi, 270 pages)""",1.0
