,ID,Title,Author,Publication,Format,ISBN,Series,Physical Details
12,a12,"""Fundamentals of computer science""","""Andrew J.T. Colin""","""London : Macmillan, 1980.""","""Books""",9780333275528,"""Macmillan computer science series,""","""nan"""
13,a13,"""Data smart : using data science to transform information into insight""","""John W. Foreman""","""Indianapolis : Wiley, [2014] ©2014""","""Books""",9781118839867,"""nan""","""nan"""
15,a15,"""Analytical chemistry : a modern approach to analytical science""","""founding editors, R. Kellner, H.M. Widmer""","""Second edition / edited by J.-M. Mermet, M. Otto, M. Valcárcel. Weinheim ; [Great Britain] : Wiley-VCH, [2004] ©2004""","""Books""",9783527305902,"""nan""","""nan"""
16,a16,"""Mobile data access : First International Conference, MDA'99, Hong Kong, China, December 16-17, 1999 : proceedings""","""Hong Va Leong ... [and others] (eds.)""","""Berlin ; New York : Springer, [1999] ©1999""","""Books""",9783540668787,"""Lecture notes in computer science. 1748,""","""nan"""
17,a17,"""Hiding data -- selected topics : Rudolf Ahlswede's lectures on information theory 3""","""Rudolf Ahlswede ; edited by Alexander Ahlswede, Ingo Althöfer, Christian Deppe, Ulrich Tamm""","""Switzerland : Springer, 2016.""","""Books""",9783319315157,"""Foundations in signal processing, communications and networking ; v. 12,""","""nan"""
18,a18,"""Statistics for environmental science and management""","""Bryan F.J. Manly""","""Boca Raton, FL : Chapman & Hall/CRC, 2001.""","""Books""",9781584880295,"""nan""","""nan"""
20,a20,"""Shielding aspects of accelerators, targets and irradiation facilities - SATIF 7 proceedings of the seventh meeting held at Instituto Tecnológico e Nuclear (ITN) Sacavém, Portugal 17-18 May 2004""","""jointly organized by Organisation of Economic Co-operation and Development ... [et al.]""","""Paris : Nuclear Energy Agency, Organisation for Economic Co-operation and Development, 2005.""","""Books""",9789264010437,"""Nuclear Science,""","""nan"""
21,a21,"""Analyzing environmental trends using satellite data : selected cases""","""[United Nations Environment Programme, Division of Early Warning and Assessment]""","""Nairobi, Kenya : United Nations Environment Programme, Division of Early Warning and Assessment ; Sioux Falls, S.D. : United Nations Environment Programme, Division of Early Warning and Assessment--North America, [2004] ©2004""","""Books""",9789280725131,"""Environment change analysis series,""","""nan"""
23,a23,"""Practical finite element modeling in earth science using Matlab""","""Guy Simpson""","""Chichester, UK ; Hoboken, NJ : John Wiley & Sons, 2017.""","""Books""",9781119248651,"""nan""","""nan"""
24,a24,"""Modeling complex data for creating information""","""J.-E. Dubois, N. Gershon (eds.)""","""Berlin ; New York : Springer ; Paris : CODATA, ©1996.""","""Books""",9783642801990,"""Data and knowledge in a changing world,""","""nan"""
26,a26,"""Information processing systems for management""","""Donna Hussain, K.M. Hussain""","""Homewood, Ill. : R.D. Irwin, 1981.""","""Books""",9780256024821,"""Irwin series in information and decision sciences,""","""nan"""
28,a28,"""Predictive modeling applications in actuarial science""","""edited by Edward W. Frees, University of Wisconsin, Madison, Richard A. Derrig, Opal Consulting LLC, Providence, Rhode Island, Glenn Meyers, ISO Innovative Analytics, Jersey City, New Jersey""","""New York : Cambridge University Press, 2014-""","""Books""",9781107029873,"""International series on actuarial science,""","""nan"""
29,a29,"""Computer programming in basic""","""Joseph P. Pavlovich [and] Thomas E. Tahan""","""[San Francisco] : [Holden-Day], [1971]""","""Books""",9780816266531,"""Holden-Day computer and information sciences series,""","""nan"""
30,a30,"""Fourth generation data : a guide to data analysis for new and old systems""","""Dan Tasker""","""New York : Prentice Hall, [1989] ©1989""","""Books""",9780133295580,"""nan""","""nan"""
32,a32,"""Atmospheric science (AS) and ocean science (OS)""","""[editors], Chun-Chieh Wu, Jianping Gan""","""Singapore ; Hackensack, NJ : World Scientific, c2012.""","""Books""",9781283850797,"""Advances in geosciences ; v. 28,""","""nan"""
34,a34,"""Algorithmic aspects of cloud computing : first International Workshop, ALGOCLOUD 2015, Patras, Greece, September 14-15, 2015. Revised selected papers""","""Ioannis Karydis, Spyros Sioutas, Peter Triantafillou, Dimitrios Tsoumakos (eds.)""","""Cham : Springer, 2016.""","""Books""",9783319299198,"""Lecture notes in computer science ; 9511,LNCS sublibrary. Theoretical computer science and general issues,""","""nan"""
35,a35,"""Empirical research and writing : a political science student's practical guide""","""Leanne C. Powner""","""Thousand Oaks, California : CQ Press, an imprint of SAGE, [2015] ©2015""","""Books""",9781483369631,"""nan""","""nan"""
36,a36,"""The new science of metagenomics : revealing the secrets of our microbial planet""","""Committee On Metagenomics: Challenges and Functional Applications, Board on Life Sciences, Division on Earth and Life Studies, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2007] ©2007""","""Books""",9780309106771,"""nan""","""nan"""
38,a38,"""Electronic payment systems""","""Donal O'Mahony, Michael Peirce, Hitesh Tewari""","""Boston, MA : Artech House, [1997] ©1997""","""Books""",9780890069257,"""Artech House computer science library,""","""nan"""
39,a39,"""Visual data exploration and analysis IV : 12-13 February, 1997, San Jose, California""","""Georges G. Grinstein, Robert F. Erbacher, chairs/editors ; sponsored by IS&T--the Society for Imaging Science and Technology, SPIE--the International Society for Optical Engineering""","""Bellingham, Washington : SPIE, [1997] ©1997""","""Books""",9780819424280,"""Proceedings of SPIE--the International Society for Optical Engineering ; v. 3017,""","""nan"""
40,a40,"""Statistics and data analysis in geochemical prospecting""","""edited by R.J. Howarth""","""Amsterdam ; New York : Elsevier Scientific Pub. Co. ; New York, N.Y. : Distributors for the United States and Canada, Elsevier Science Pub. Co., 1983.""","""Books""",9780444420381,"""Handbook of exploration geochemistry ; v. 2,""","""nan"""
41,a41,"""A VLSI architecture for concurrent data structures""","""by William J. Dally""","""Boston : Kluwer Academic, [1987] ©1987""","""Books""",9780898382358,"""Kluwer international series in engineering and computer science ; SECS 27,Kluwer international series in engineering and computer science. VLSI, computer architecture, and digital signal processing,""","""nan"""
42,a42,"""Learning disabilities sourcebook : basic information about disorders such as dyslexia, visual and auditory processing deficits, attention deficit/hyperactivity disorder, and autism, along with statistical and demographic data, reports on current research initiatives, an explanation of the assessment process, and a special section for adults with learning disabilities""","""edited by Linda M. Shin""","""Detroit, MI : Omnigraphics, [1998] ©1998""","""Books""",9780780802100,"""Health reference series; v. 33,""","""nan"""
44,a44,"""Error control, cryptology, and speech compression : Workshop on Information Protection, Moscow, Russia, December 6-9, 1993 : selected papers""","""Andrew Chmora, Stephen B. Wicker (eds.)""","""Berlin ; New York : Springer-Verlag, [1994] ©1994""","""Books""",9780387582658,"""Lecture notes in computer science ; 829,""","""nan"""
47,a47,"""Patient adherence to medical treatment regimens : bridging the gap between behavioral science and biomedicine""","""Alan J. Christensen""","""New Haven, CT : Yale University Press, [2004] ©2004""","""Books""",9780300103496,"""Current perspectives in psychology,""","""nan"""
49,a49,"""Security assessment in vehicular networks""","""Suguo Du, Haojin Zhu""","""New York, NY : Springer New York : Imprint: Springer, 2013.""","""Books""",9781461493570,"""SpringerBriefs in computer science,""","""nan"""
51,a51,"""Model-checking based data retrieval : an application to semistructured and temporal data""","""Elisa Quintarelli""","""Berlin ; New York : Springer, [2004] ©2004""","""Books""",9783540209713,"""Lecture notes in computer science. 2917,""","""nan"""
52,a52,"""Science and technology data""","""Industry and Science Policy Sector, Industry Canada""","""[Ottawa] : Industry and Science Policy Sector, Industry Canada, [1996] ©1996""","""Books""",9780662625575,"""nan""","""nan"""
53,a53,"""Engineering software II : proceedings of the Second International Conference on Engineering Software, held at Imperial College of Science and Technology, London, March 1981""","""edited by R.A. Adey""","""Southampton [Eng.] : CML Publications, 1981.""","""Books""",9780905451039,"""nan""","""nan"""
54,a54,"""Logical foundations of computer science : 4th International Symposium, LFCS '97, Yaroslavl, Russia, July 6-12, 1997 : proceedings""","""Sergei Adian, Anil Nerode (eds.)""","""Berlin ; New York : Springer, [1997] ©1997""","""Books""",9783540630456,"""Lecture notes in computer science. 1234,""","""nan"""
55,a55,"""Survival analysis : state of the art""","""edited by John P. Klein and Prem K. Goel""","""Dordrecht ; Boston : Kluwer Academic Publishers, [1992] ©1992""","""Books""",9780792316343,"""NATO ASI series. Applied sciences ; no. 211,""","""nan"""
56,a56,"""Probabilities, data reduction and error analysis in the physical sciences""","""Daniel Taupin""","""Les Ulis Cedex, France : Editions de physique, [1988]""","""Books""",9782868830883,"""Monographies de physique,""","""nan"""
57,a57,"""The data compression book""","""Mark Nelson, Jean-Loup Gailly""","""Second edition. New York : M&T Books, [1996] ©1996""","""Books""",9781558514348,"""nan""","""nan"""
58,a58,"""Answers to science questions from the Stop faking it! guy""","""William C. Robertson ; illustrations by Brian Diskin""","""Arlington, Va. : NSTA Press, [2009] ©2009""","""Books""",9781935155249,"""nan""","""nan"""
59,a59,"""Data structures and algorithms for game developers""","""Allen Sherrod""","""1st ed. Boston, Mass. : Charles River Media, c2007. Boston, Mass. : Charles River Media, c2007.""","""Books""",9781584506638,"""nan""","""nan"""
60,a60,"""Algebraic methodology and software technology : 9th international conference, AMAST 2002, Saint-Gilles-les-Bains, Reunion Island, France, September 9-13, 2002 : proceedings""","""Hélène Kirchner, Christophe Ringeissen (eds.)""","""Berlin ; New York : Springer, [2002] ©2002""","""Books""",9783540441441,"""Lecture notes in computer science ; 2422,""","""nan"""
62,a62,"""Educating teachers of science, mathematics, and technology : new practices for the new millennium""","""Committee on Science and Mathematics Teachers Preparation, Center for Education, National Research Council""","""Washington, DC : National Academy Press, [2001] ©2001""","""Books""",9780309501422,"""nan""","""nan"""
63,a63,"""Data integration in the life sciences : 8th International Conference, DILS 2012, College Park, MD, USA, June 28-29, 2012. Proceedings""","""Olivier Bodenreider, Bastien Rance (eds.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642310409,"""Lecture notes in computer science. Lecture notes in bioinformatics,Lecture notes in computer science ; 7348,LNCS sublibrary. Bioinformatics,Lecture notes in computer science. Lecture notes in bioinformatics,LNCS sublibrary. Bioinformatics,""","""nan"""
64,a64,"""Docker for data science building scalable and extensible data infrastructure around the Jupyter Notebook Server""","""Joshua Cook""","""[S.l.] : Apress, 2017.""","""Books""",9781484230121,"""nan""","""nan"""
66,a66,"""Data modeling essentials : analysis, design, and innovation""","""Graeme C. Simsion""","""New York : Van Nostrand Reinhold, [1994] ©1994""","""Books""",9780442016548,"""VNR computer library,""","""nan"""
67,a67,"""Statistics for data science : leverage the power of statistics for data analysis, classification, regression, machine learning, and neural networks""","""James D. Miller""","""Birmingham, UK : Packt Publishing, 2017. ©2017""","""Books""",9781788295345,"""nan""","""nan"""
68,a68,"""Intelligent search on XML data : applications, languages, models, implementations, and benchmarks""","""Henk Blanken ... [and others], eds""","""Berlin ; New York : Springer, [2003] ©2003""","""Books""",9783540407683,"""Lecture notes in computer science. 2818,""","""nan"""
69,a69,"""Bioinformatics : German Conference on Bioinformatics, GCB '96, Leipzig, Germany, September 30-October 2, 1996 : selected papers""","""Ralf Hofestädt ... [and others] (eds.)""","""Berlin ; New York : Springer, [1997] ©1997""","""Books""",9783540633709,"""Lecture notes in computer science. 1278,""","""nan"""
70,a70,"""1997 IEEE Radiation Effects Data Workshop : data workshop :NSREC Snowmass 1997""","""IEEE Nuclear and Plasma Sciences Society, Institute of Electrical and Electronics Engineers, Inc""","""Piscataway, NJ : IEEE, [1997] ©1997""","""Books""",9780780340619,"""nan""","""nan"""
71,a71,"""Student projects in environmental science""","""Stuart Harrad ... [and others]""","""Chichester, England ; Hoboken, NJ : John Wiley, [2008] ©2008""","""Books""",9780470845646,"""nan""","""nan"""
72,a72,"""Cooperative agents : applications in the social sciences""","""edited by Nicole J. Saam and Bernd Schmidt""","""Dordrecht ; Boston : Kluwer Academic, [2001] ©2001""","""Books""",9781402001901,"""Theory and decision library. Philosophy and methodology of the social sciences ; v. 32,""","""nan"""
73,a73,"""Evaluation of environmental data for regulatory and impact assessment""","""S. Ramamoorthy and E. Baddaloo""","""Amsterdam ; Elsevier ; 1991. New York, NY : Distributors for the United States and Canada, Elsevier Science Pub. Co., 1991.""","""Books""",9780444885302,"""Studies in environmental science ; 41,""","""nan"""
74,a74,"""Mobile information systems leveraging volunteered geographic information for earth observation""","""Gloria Bordogna, Paolo Carrara, editors""","""Cham : Springer, [2018] ©2018""","""Books""",9783319708782,"""Earth systems data and models ; v. 4,""","""nan"""
75,a75,"""Statistics for censored environmental data using Minitab and R""","""Dennis R. Helsel""","""2nd ed. Hoboken, N.J. : Wiley, [2012] ©2012""","""Books""",9781118162729,"""Statistics in practice,""","""nan"""
76,a76,"""Beginning computer science""","""James L. Poirot [and] David N. Groves""","""Manchaca, Texas : Sterling Swift Publishing Company, 1978.""","""Books""",9780884081067,"""nan""","""nan"""
77,a77,"""Lightweight Cryptography for Security and Privacy : 4th International Workshop, LightSec 2015, Bochum, Germany, September 10-11, 2015, Revised Selected Papers""","""edited by Tim Güneysu, Gregor Leander, Amir Moradi""","""1st ed. 2016. Cham : Springer International Publishing : Imprint: Springer, 2016.""","""Books""",9783319290782,"""Lecture notes in computer science ; 9542,""","""nan"""
78,a78,"""Eddy covariance : a practical guide to measurement and data analysis""","""Marc Aubinet, Timo Vesala, Dario Papale, editors""","""Dordrecht ; New York : Springer, 2012. ©2012.""","""Books""",9789400723504,"""Springer atmospheric sciences,""","""nan"""
79,a79,"""Applied management science and spreadsheet modeling""","""Francis J. Clauss""","""Belmont, Calif. : Duxbury Press, [1996] ©1996""","""Books""",9780534258429,"""nan""","""nan"""
80,a80,"""Automation, mechanization and data handling in microbiology""","""Edited by Ann Baillie and R.J. Gilbert""","""London ; New York : Academic Press, 1970.""","""Books""",9780120736508,"""Technical series (Society for Applied Bacteriology) ; no. 4,""","""nan"""
81,a81,"""High performance computing for computational science, VECPAR 2008 : 8th International Conference, Toulouse, France, June 24-27, 2008 : revised selected papers""","""José M. Laginha M. Palma ... [and others] (eds.)""","""Berlin ; New York : Springer, [2008] ©2008""","""Books""",9783540928591,"""Lecture notes in computer science ; 5336,LNCS sublibrary. Theoretical computer science and general issues,""","""nan"""
82,a82,"""Advances in intelligent data analysis : reasoning about data : second international symposium, IDA-97, London, UK, August 4-6, 1997 : proceedings""","""Xiaohui Liu, Paul Cohen, Michael Berthold (eds.)""","""Berlin ; New York : Springer, [1997] ©1997""","""Books""",9783540633464,"""Lecture notes in computer science. 1280,""","""nan"""
83,a83,"""Recent trends in data type specification : 10th Workshop on Specification of Abstract Data Types, joint with the 5th COMPASS Workshop, S. Margherita, Italy, May 30-June 3, 1994 : selected papers""","""Egidio Astesiano, Gianna Reggio, Andrzej Tarlecki (Eds.)""","""Berlin ; New York : Springer-Verlag, [1995] ©1995""","""Books""",9783540591320,"""Lecture notes in computer science ; 906,""","""nan"""
84,a84,"""Math and science in motion : activities for middle school""","""Chris Brueningsen, Elisa Brueningsen, Bill Bower""","""Austin, TX : Texas Instruments Inc., [1997] ©1997""","""Books""",9781886309135,"""Collection Explorations,""","""nan"""
85,a85,"""Neural information processing : 24th International Conference, ICONIP 2017, Guangzhou, China, November 14-18, 2017, Proceedings. Part IV""","""Derong Liu, Shengli Xie, Yuanqing Li, Dongbin Zhao, El-Sayed M. El-Alfy (eds.)""","""Cham : Springer, 2017.""","""Books""",9783319700939,"""Lecture notes in computer science ; 10637,LNCS sublibrary. Theoretical computer science and general issues,""","""nan"""
86,a86,"""The data game : controversies in social science statistics""","""Mark H. Maier and Jennifer Imazeki""","""Fourth edition. Armonk, NY : Sharpe, [2013] ©2013""","""Books""",9780765629791,"""nan""","""nan"""
87,a87,"""Programs as data objects : Second Symposium, PADO 2001, Aarhus, Denmark, May 21-23, 2001 : proceedings""","""Olivier Danvy, Andrzej Filinski (eds.)""","""Berlin ; New York : Springer, [2001] ©2001""","""Books""",9783540420682,"""Lecture notes in computer science. 2053,""","""nan"""
89,a89,"""The whole library handbook 5 : current data, professional advice, and curiosa about libraries and library services""","""edited by George M. Eberhart ; Casey Bayer, cover design""","""5th ed. Chicago, Illinois : ALA Editions, 2013. ©2013""","""Books""",9780838996485,"""nan""","""nan"""
90,a90,"""Graph-theoretic concepts in computer science : 43rd International Workshop, WG 2017, Eindhoven, The Netherlands, June 21-23, 2017, Revised selected papers""","""Hans L. Bodlaender, Gerhard J. Woeginger (eds.)""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319687056,"""Lecture notes in computer science ; 10520,Lecture notes in computer science. Advanced research in computing and software science,LNCS sublibrary. Theoretical computer science and general issues,""","""nan"""
91,a91,"""Data mining and knowledge discovery : theory, tools, and technology VI : 12-13 April 2004, Orlando, Florida, USA""","""Belur V. Dasarathy, chair/editor ; sponsored and published by SPIE--The International Society for Optical Engineering""","""Bellingham, Wash., USA : SPIE, [2004] ©2004""","""Books""",9780819453563,"""Proceedings of SPIE--the International Society for Optical Engineering ; v. 5433,""","""nan"""
93,a93,"""Abstract data types in Java""","""Michael S. Jenkins""","""New York : McGraw-Hill, [1998] ©1998""","""Books""",9780585039077,"""McGraw-Hill Java masters,""","""nan"""
94,a94,"""Discrete and computational geometry : Japanese conference, JCDCG 2004, Tokyo, Japan, October 8-11, 2004 : revised selected papers""","""Jin Akiyama, Mikio Kano, Xuehou Tan (eds.)""","""Berlin ; New York : Springer, [2005] ©2005""","""Books""",9783540304678,"""Lecture notes in computer science. 3742,""","""nan"""
95,a95,"""The economics of financial and medical identity theft""","""L. Jean Camp, M. Eric Johnson""","""New York : Springer, [2012] ©2012""","""Books""",9781461419181,"""nan""","""nan"""
96,a96,"""Transactions on large-scale data- and knowledge-centered systems XVIII : special issue on database- and expert-systems applications""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Hendrik Decker, Lenka Lhotska, Sebastian Link (eds.)""","""Heidelberg : Springer, 2015.""","""Books""",9783662464854,"""Lecture notes in computer science ; 8980,""","""nan"""
97,a97,"""Data information literacy : librarians, data, and the education of a new generation of researchers""","""edited by Jake Carlson and Lisa R. Johnston""","""West Lafayette, Indiana : Purdue University Press, [2015] ©2015""","""Books""",9781612493510,"""Purdue information literacy handbooks,""","""nan"""
98,a98,"""ITiCSE 2001 : proceedings of the 6th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education, June 25-27, 2001, Canterbury, UK""","""conference co-chair, Sally Fincher ; conference co-chair, Bruce Klein ; program co-chair, Fintan Culwin ; program co-chair, Mike McCracken ; proceedings editor and ACM coordinator, David Finkel""","""New York : Association for Computing Machinery, [2001] ©2001""","""Books""",9781581133301,"""SIGCSE bulletin. v. 33, no. 3,""","""nan"""
99,a99,"""The accidental data scientist : big data applications and opportunities for librarians and information professionals""","""Amy L. Affelt ; foreword by Thomas H. Davenport""","""Medford, New Jersey : Information Today, Inc., 2015. ©2015""","""Books""",9781573877077,"""nan""","""nan"""
100,a100,"""Computer-readable databases : a directory and data sourcebook""","""Martha E. Williams, editor-in-chief ; Laurence Lannom, managing editor ; Carolyn G. Robins, data acquisitions editor""","""Chicago : American Library Association, 1985.""","""Books""",9780838904176,"""nan""","""nan"""
102,a102,"""Handbook of natural language processing and machine translation : DARPA global autonomous language exploitation""","""edited by Joseph Olive, Caitlin Christianson, John McCary""","""New York : Springer, 2011.""","""Books""",9781441977137,"""nan""","""nan"""
103,a103,"""When weather matters : science and services to meet critical societal needs""","""Committee on Progress and Priorities of U.S. Weather Research and Research-to-Operations Activities, Board on Atmospheric Sciences and Climate, Division on Earth and Life Studies, National Research Council""","""Washington, D.C. : National Academies Press, [2010] ©2010""","""Books""",9780309152501,"""nan""","""nan"""
104,a104,"""Analytics in a big data world : the essential guide to data science and its applications""","""Bart Baesens""","""Hoboken, New Jersey : Wiley, 2014. ©2014""","""Books""",9781118892718,"""Wiley and SAS business series,""","""nan"""
105,a105,"""Transactions on computational science V : special issue on cognitive knowledge representation""","""Marina L. Gavrilova ... [and others] (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642020971,"""Lecture notes in computer science ; 5540,""","""nan"""
107,a107,"""The data science design manual""","""Steven S. Skiena""","""Cham, Switzerland : Springer, 2017.""","""Books""",9783319554440,"""Texts in computer science,Undergraduate texts in computer science,""","""nan"""
108,a108,"""Query processing over uncertain databases""","""Lei Chen, Xiang Lian""","""[San Rafael, Calif.] : Morgan & Claypool, [2013] ©2013""","""Books""",9781608458936,"""Synthesis lectures on data management ; #33,""","""nan"""
110,a110,"""The backup book : disaster recovery from desktop to data center""","""Dorian J. Cougias, E.L. Heiberger, Karsten Koop ; Laurie O'Connell (ed.) ; foreword by David Bell ; industry forewords by Adam R. Dell, Jim Simmons, and Gary Cotshott""","""Third edition. Lecanto, FL : Schaser-Vartan Books, [2003] ©2003""","""Books""",9780972903905,"""Network frontiers field manual series,""","""nan"""
111,a111,"""Essential statistics for the pharmaceutical sciences""","""Philip Rowe""","""2nd ed. Chichester, England : Wiley, 2016. ©2016""","""Books""",9781119109075,"""nan""","""nan"""
113,a113,"""Perspectives on computer science : from the 10th anniversary symposium at the Computer Science Department, Carnegie-Mellon University""","""edited by Anita K. Jones""","""New York : Academic Press, 1977.""","""Books""",9780123894502,"""ACM monograph series,""","""nan"""
114,a114,"""Advances in computer science, Asian 2005 : data management on the Web : 10th Asian Computing Science Conference, Kunming, China, December 7-9, 2005 : proceedings""","""Stéphane Grumbach, Liying Sui, Victor Vianu (eds.)""","""Berlin ; New York : Springer, [2005] ©2005""","""Books""",9783540307679,"""Lecture notes in computer science. 3818,""","""nan"""
115,a115,"""Data-ism : the revolution transforming decision making, consumer behavior, and almost everything else""","""Steve Lohr""","""First edition. New York, NY : HarperCollins Publishers, [2015]""","""Books""",9780062226815,"""nan""","""nan"""
116,a116,"""Modelling survival data in medical research""","""D. Collett""","""First edition. London ; New York : Chapman & Hall, 1994.""","""Books""",9780412448805,"""Texts in statistical science,""","""nan"""
118,a118,"""Natural language processing with java : explore various approaches to organize and extract useful text from unstructured data using java""","""Richard M. Reese ; commissioning editor Nadeem N. Bagban ; acquisition editor Sonali Vernekar ; copy editors Pranjali Chury, Vikrant Phadke""","""Birmingham, England ; Mumbai, [India] : Packt Publishing, 2015. ©2015""","""Books""",9781784398941,"""Community experience distilled,""","""nan"""
119,a119,"""Estimation of dependences based on empirical data ; Empirical inference science : afterword of 2006""","""Vladimir Vapnik ; [Samuel Kotz, translator]""","""Reprint of 1982 edition. New York : Springer, [2006] ©2006""","""Books""",9780387342399,"""Information science and statistics,Statistics for engineering and information science,""","""nan"""
120,a120,"""Financial cryptography and data security : FC 2015 International Workshops, BITCOIN, WAHC, and Wearable, San Juan, Puerto Rico, January 30, 2015, revised selected papers""","""edited by Michael Brenner, Nicolas Christin, Benjamin Johnson, Kurt Rohloff""","""Heidelberg : Springer, 2015.""","""Books""",9783662480519,"""Lecture notes in computer science ; 8976,LNCS sublibrary. Security and cryptology,""","""nan"""
123,a123,"""Advances in intelligent data analysis IX : 9th international symposium, IDA 2010, Tucson, AZ, USA, May 19-21, 2010 ; proceedings""","""Paul R. Cohen, Niall M. Adams, Michael R. Berthold (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642130618,"""Lecture notes in computer science ; 6065,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan"""
124,a124,"""Statistics and data analysis for microarrays using R and Bioconductor""","""Sorin Draghici""","""Boca Raton, FL : CRC Press, 2012.""","""Books""",9781439809754,"""Chapman and Hall/CRC mathematical & computational biology series,""","""nan"""
125,a125,"""Time series analysis in meteorology and climatology : an introduction""","""Claude Duchon, Robert Hale""","""Chichester, West Sussex ; Hoboken, NJ : Wiley-Blackwell, 2012.""","""Books""",9781119953098,"""Advancing weather and climate science,""","""nan"""
126,a126,"""The objective monitoring of physical activity : contributions of accelerometry to epidemiology, exercise science and rehabilitation""","""Roy J. Shephard, Catrine Tudor-Locke, editors""","""Cham : Springer, 2016. Cham : Springer, 2016.""","""Books""",9783319295770,"""Springer series on epidemiology and health,""","""nan"""
127,a127,"""Discrete computational structures""","""Robert R. Korfhage""","""Second edition. Orlando : Academic Press, [1984] ©1984""","""Books""",9780124208605,"""Computer science and applied mathematics,Computer science and scientific computing,""","""nan"""
128,a128,"""Big data computing and communications : second International Conference, BigCom 2016, Shenyang, China, July 29-31, 2016, Proceedings""","""Yu Wang, Ge Yu, Yanyong Zhang, Zhui Han, Guoren Wang (eds.)""","""Cham : Springer, 2016.""","""Books""",9783319425535,"""Lecture notes in computer science ; 9784,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan"""
